Date,Open,High,Low,Close,Volume
2016-09-15,3493.35,3494.55,3446.0,3453.9,58225252.0
2016-09-16,3479.15,3506.55,3456.4,3470.85,123204065.0
2016-09-19,3479.5,3509.4,3477.45,3506.9,52634614.0
2016-09-20,3510.75,3529.35,3503.5,3510.1,91777447.0
2016-09-21,3515.85,3536.4,3493.9,3507.0,67478248.0
2016-09-22,3544.55,3558.65,3540.05,3552.75,70951459.0
2016-09-23,3553.4,3583.75,3549.25,3554.95,81381409.0
2016-09-26,3549.15,3577.2,3523.55,3535.5,79891051.0
2016-09-27,3551.2,3556.9,3507.9,3517.05,62964440.0
2016-09-28,3522.5,3546.2,3518.05,3541.05,60502625.0
2016-09-29,3559.9,3572.65,3446.25,3453.65,144302288.0
2016-09-30,3452.85,3505.2,3437.05,3497.6,78017021.0
2016-10-03,3513.15,3580.85,3505.25,3574.7,60387469.0
2016-10-04,3586.7,3628.6,3585.95,3623.4,79885391.0
2016-10-05,3632.6,3635.1,3602.1,3626.7,64310354.0
2016-10-06,3644.55,3707.15,3630.1,3650.75,83767700.0
2016-10-07,3665.9,3685.45,3624.6,3636.45,76153132.0
2016-10-10,3655.15,3663.1,3620.85,3625.7,56312658.0
2016-10-13,3621.4,3646.75,3571.45,3599.6,93677272.0
2016-10-14,3615.15,3646.95,3602.7,3635.65,55352260.0
2016-10-17,3654.2,3663.6,3618.15,3627.0,67880519.0
2016-10-18,3641.4,3650.85,3626.4,3643.45,67387403.0
2016-10-19,3657.1,3686.6,3651.6,3677.5,84043431.0
2016-10-20,3694.95,3699.3,3672.3,3685.85,55248753.0
2016-10-21,3689.65,3697.2,3671.1,3694.1,53216559.0
2016-10-24,3702.75,3752.8,3699.0,3746.4,58560368.0
2016-10-25,3749.3,3750.95,3711.1,3740.8,55542148.0
2016-10-26,3732.6,3742.4,3704.35,3714.45,53495792.0
2016-10-27,3710.55,3720.1,3677.45,3701.5,81481165.0
2016-10-28,3714.0,3750.95,3702.05,3738.25,70869998.0
2016-10-30,3751.1,3759.3,3736.2,3742.25,9117056.0
2016-11-01,3755.5,3779.7,3732.6,3769.1,75312551.0
2016-11-02,3731.2,3731.2,3695.05,3701.1,71776346.0
2016-11-03,3695.55,3708.75,3636.1,3640.5,67516514.0
2016-11-04,3644.25,3651.8,3579.2,3606.45,65536157.0
2016-11-07,3641.1,3675.85,3636.2,3645.45,51598666.0
2016-11-08,3654.8,3680.2,3646.95,3672.1,64837485.0
2016-11-09,3474.2,3682.4,3415.5,3667.35,117619817.0
2016-11-10,3715.15,3779.65,3713.85,3764.25,87393163.0
2016-11-11,3716.0,3724.1,3657.7,3673.1,80342838.0
2016-11-15,3660.25,3685.6,3563.85,3604.45,101326365.0
2016-11-16,3642.25,3652.55,3589.15,3596.95,74830279.0
2016-11-17,3595.0,3631.1,3586.3,3622.5,72747936.0
2016-11-18,3633.15,3677.35,3628.0,3664.65,86723359.0
2016-11-21,3680.45,3684.2,3569.15,3573.7,77309429.0
2016-11-22,3599.3,3612.75,3560.75,3598.35,82897388.0
2016-11-23,3617.25,3628.95,3556.0,3617.85,79838305.0
2016-11-24,3607.6,3638.0,3581.55,3612.35,151510847.0
2016-11-25,3628.0,3676.05,3618.15,3668.85,85823776.0
2016-11-28,3661.8,3736.35,3659.35,3719.7,78209934.0
2016-11-29,3727.45,3755.55,3709.6,3717.0,72406414.0
2016-11-30,3732.55,3747.55,3713.3,3743.6,150313770.0
2016-12-01,3752.35,3760.4,3691.65,3695.25,69343129.0
2016-12-02,3686.15,3692.8,3649.65,3655.75,67875697.0
2016-12-05,3646.7,3674.6,3635.1,3667.1,62034203.0
2016-12-06,3685.05,3709.7,3682.75,3688.75,57886787.0
2016-12-07,3706.4,3735.45,3689.95,3709.25,81906400.0
2016-12-08,3743.05,3762.35,3735.75,3759.5,68798526.0
2016-12-09,3771.7,3773.95,3738.45,3761.1,114632227.0
2016-12-12,3756.65,3773.95,3729.5,3739.75,75826034.0
2016-12-13,3749.0,3754.45,3730.4,3748.75,61659283.0
2016-12-14,3736.5,3741.35,3682.55,3685.55,73533366.0
2016-12-15,3663.4,3713.1,3660.15,3677.7,83238593.0
2016-12-16,3680.25,3682.0,3640.5,3649.25,90534595.0
2016-12-19,3670.15,3680.0,3650.85,3660.1,70128445.0
2016-12-20,3670.35,3678.7,3639.2,3651.95,57388024.0
2016-12-21,3665.35,3686.15,3643.15,3676.4,62579576.0
2016-12-22,3669.85,3671.5,3611.7,3618.5,53794355.0
2016-12-23,3624.05,3633.55,3600.6,3619.55,56569692.0
2016-12-26,3612.35,3615.95,3552.2,3555.2,52610897.0
2016-12-27,3556.45,3609.35,3537.25,3605.6,65546821.0
2016-12-28,3610.4,3644.45,3603.75,3611.5,65550391.0
2016-12-29,3609.3,3674.3,3609.2,3666.4,219037266.0
2016-12-30,3669.45,3697.1,3664.4,3692.7,86408882.0
2017-01-02,3705.2,3721.0,3693.9,3716.05,56675163.0
2017-01-03,3729.6,3794.4,3724.75,3784.6,70471023.0
2017-01-04,3789.25,3821.95,3780.55,3784.65,76692400.0
2017-01-05,3793.3,3852.85,3792.8,3850.25,70613398.0
2017-01-06,3852.85,3884.85,3825.9,3833.15,65244702.0
2017-01-09,3842.65,3844.95,3795.65,3797.9,49573502.0
2017-01-10,3817.25,3856.45,3817.15,3824.8,77783117.0
2017-01-11,3841.55,3885.25,3839.6,3881.5,99156578.0
2017-01-12,3890.15,3946.55,3887.8,3941.2,184535240.0
2017-01-13,3972.6,3972.65,3925.55,3940.4,107251695.0
2017-01-16,3949.8,3956.05,3937.6,3946.15,80353498.0
2017-01-17,3957.0,3967.45,3906.45,3924.2,75632429.0
2017-01-18,3926.85,3939.4,3897.85,3920.15,99160003.0
2017-01-19,3923.6,3970.05,3915.45,3963.8,84042545.0
2017-01-20,3962.55,3965.75,3892.4,3903.2,71835961.0
2017-01-23,3903.2,3962.3,3902.45,3954.95,64976858.0
2017-01-24,3966.6,4011.55,3961.25,4008.6,73638222.0
2017-01-25,4018.8,4088.85,4006.25,4076.05,166703887.0
2017-01-27,4085.25,4132.1,4081.25,4114.0,146307249.0
2017-01-30,4111.15,4122.9,4071.9,4084.75,71270354.0
2017-01-31,4104.1,4112.35,4010.9,4021.5,207770648.0
2017-02-01,4035.8,4074.6,4020.2,4068.85,108194722.0
2017-02-02,4075.25,4107.6,4068.9,4095.0,104235966.0
2017-02-03,4099.3,4121.0,4090.5,4103.6,85561984.0
2017-02-06,4124.15,4138.15,4106.3,4122.85,75960096.0
2017-02-07,4128.45,4155.2,4075.0,4091.35,142625972.0
2017-02-08,4105.3,4141.7,4098.15,4130.2,121224010.0
