Date,Open,High,Low,Close,Volume
2016-09-15,3222.2,3223.5,3161.55,3182.9,56256795.0
2016-09-16,3212.0,3259.4,3144.3,3154.45,100772806.0
2016-09-19,3180.3,3203.9,3166.55,3173.55,44024231.0
2016-09-20,3184.55,3186.65,3153.0,3161.3,44793902.0
2016-09-21,3162.65,3183.0,3117.65,3123.25,47384198.0
2016-09-22,3205.3,3216.85,3170.95,3212.1,69259224.0
2016-09-23,3222.1,3225.0,3168.9,3176.0,58999017.0
2016-09-26,3163.95,3176.95,3133.9,3143.2,52985282.0
2016-09-27,3160.95,3169.8,3104.65,3111.6,50295485.0
2016-09-28,3118.55,3208.25,3101.8,3187.85,87987316.0
2016-09-29,3206.95,3229.2,3032.9,3067.0,154730780.0
2016-09-30,3060.15,3144.35,3050.05,3129.65,80076308.0
2016-10-03,3155.9,3197.2,3153.15,3187.7,55213870.0
2016-10-04,3198.4,3268.85,3165.0,3245.5,120769747.0
2016-10-05,3276.6,3301.2,3237.7,3251.5,80477694.0
2016-10-06,3258.6,3263.25,3176.1,3192.85,59159370.0
2016-10-07,3198.8,3227.2,3175.1,3211.2,67601162.0
2016-10-10,3223.25,3234.6,3177.75,3185.45,39207019.0
2016-10-13,3162.55,3164.1,3034.25,3081.0,77216404.0
2016-10-14,3099.15,3127.95,3079.6,3103.05,52194125.0
2016-10-17,3120.7,3147.95,3075.1,3090.3,62145208.0
2016-10-18,3116.9,3159.15,3099.85,3152.5,60185820.0
2016-10-19,3168.8,3169.25,3129.85,3142.15,46814915.0
2016-10-20,3147.95,3215.25,3145.0,3208.9,74268193.0
2016-10-21,3207.65,3207.65,3157.9,3195.55,52142987.0
2016-10-24,3204.95,3268.0,3203.25,3242.3,65271996.0
2016-10-25,3252.75,3260.2,3214.65,3219.65,45455373.0
2016-10-26,3204.7,3257.95,3162.85,3180.45,69781819.0
2016-10-27,3168.05,3170.35,3126.4,3143.7,52417791.0
2016-10-28,3151.7,3184.1,3136.6,3177.3,45049367.0
2016-10-30,3189.7,3198.3,3163.75,3173.6,6847928.0
2016-11-01,3172.1,3207.35,3166.55,3177.55,35612191.0
2016-11-02,3121.35,3136.15,3062.85,3067.45,54343198.0
2016-11-03,3065.45,3091.0,2998.75,3005.85,54217553.0
2016-11-04,3017.85,3023.75,2937.65,2961.2,63255558.0
