Date,Open,High,Low,Close,Volume
2016-09-15,204.6,206.5,202.65,203.6,90481590.0
2016-09-16,205.75,207.6,203.1,205.55,78764134.0
2016-09-19,206.65,209.15,204.15,208.6,91488392.0
2016-09-20,209.1,209.15,203.05,205.5,66158691.0
2016-09-21,206.6,208.6,205.35,206.1,46532980.0
2016-09-22,208.35,209.5,207.2,208.9,42046004.0
2016-09-23,210.05,213.5,209.25,210.55,64503661.0
2016-09-26,209.6,210.5,205.0,205.55,50192757.0
2016-09-27,206.65,207.7,204.8,206.1,41337778.0
2016-09-28,206.6,210.8,206.15,209.8,62464375.0
2016-09-29,211.55,212.45,194.4,195.15,123982040.0
2016-09-30,194.8,203.55,194.7,202.7,73064781.0
2016-10-03,204.9,209.45,204.45,209.0,60305580.0
2016-10-04,209.85,210.4,207.65,209.8,51262821.0
2016-10-05,210.7,214.6,208.9,213.65,61816495.0
2016-10-06,214.05,215.75,209.0,210.45,48737114.0
2016-10-07,211.25,212.25,209.7,211.25,38191659.0
2016-10-10,212.1,212.4,208.0,208.5,31227884.0
2016-10-13,207.45,207.5,200.3,203.7,48558194.0
2016-10-14,204.75,206.15,202.65,205.4,35016658.0
2016-10-17,206.0,206.7,201.8,203.3,47810561.0
2016-10-18,204.5,207.0,204.4,205.75,41506299.0
2016-10-19,207.2,207.2,203.75,204.6,29002912.0
2016-10-20,206.25,208.3,205.95,207.95,59281026.0
2016-10-21,209.1,210.75,208.3,209.65,72146848.0
2016-10-24,210.25,212.05,208.95,210.8,52337388.0
2016-10-25,211.1,211.1,208.15,209.5,26665193.0
2016-10-26,209.6,212.75,207.9,208.95,45789719.0
2016-10-27,208.55,209.7,205.6,207.6,42958394.0
2016-10-28,208.05,210.9,207.2,210.45,41905889.0
2016-10-30,211.2,211.6,210.65,211.1,6184249.0
2016-11-01,211.25,211.85,208.5,209.05,29385309.0
2016-11-02,207.4,207.45,202.95,203.4,45259521.0
2016-11-03,203.5,205.45,200.7,201.05,45794045.0
2016-11-04,201.9,202.1,194.5,195.4,45716776.0
2016-11-07,198.25,199.95,197.9,198.6,31911057.0
2016-11-08,199.25,200.45,196.4,198.2,23908723.0
2016-11-09,175.45,177.55,164.5,175.2,145979327.0
2016-11-10,176.55,185.1,176.3,177.35,98738569.0
2016-11-11,172.8,172.95,166.2,168.35,95398636.0
2016-11-15,167.2,168.0,158.7,159.7,71575700.0
2016-11-16,162.1,163.75,157.6,158.1,58602226.0
2016-11-17,157.25,161.55,156.4,160.1,58880880.0
2016-11-18,161.35,163.15,158.8,162.3,47581243.0
2016-11-21,162.85,163.3,153.2,153.85,58041602.0
2016-11-22,154.6,159.75,151.5,158.45,60850991.0
2016-11-23,159.85,163.7,158.15,163.1,62993610.0
2016-11-24,161.65,163.35,160.2,160.95,68173732.0
2016-11-25,163.3,164.0,160.75,163.45,58089550.0
2016-11-28,163.1,167.65,162.55,166.4,37667819.0
2016-11-29,167.15,170.15,166.6,167.2,46289597.0
2016-11-30,168.0,168.85,166.2,167.85,38133968.0
2016-12-01,168.2,169.0,165.2,165.75,35004344.0
2016-12-02,164.15,164.75,162.05,162.7,41377852.0
2016-12-05,162.5,164.7,161.3,163.85,44922478.0
2016-12-06,164.8,167.4,164.8,166.2,34084239.0
2016-12-07,166.45,168.4,163.45,164.2,52522082.0
2016-12-08,165.05,167.05,164.8,166.65,38539572.0
2016-12-09,167.35,170.05,166.8,169.65,25042135.0
2016-12-12,169.65,170.45,168.1,168.75,33692014.0
2016-12-13,169.5,169.7,166.35,166.75,30391512.0
