Date,Open,High,Low,Close,Volume
2016-09-15,6284.35,6318.85,6250.7,6257.6,225789926.0
2016-09-16,6303.25,6346.35,6207.2,6240.15,287080860.0
2016-09-19,6277.6,6305.25,6253.4,6293.75,247555479.0
2016-09-20,6312.1,6321.85,6270.6,6291.45,247523493.0
2016-09-21,6312.3,6349.55,6275.95,6285.55,193514608.0
2016-09-22,6361.65,6390.3,6329.2,6368.1,194444983.0
2016-09-23,6392.15,6397.85,6327.5,6336.65,196347516.0
2016-09-26,6321.0,6344.6,6274.85,6286.35,186686787.0
2016-09-27,6315.95,6329.15,6263.05,6276.8,189802176.0
2016-09-28,6297.2,6377.5,6290.15,6365.35,200396029.0
2016-09-29,6409.6,6430.3,5957.8,5995.55,457312751.0
2016-09-30,5981.15,6149.05,5978.95,6137.3,193391257.0
2016-10-03,6191.15,6329.45,6190.75,6324.05,192382444.0
2016-10-04,6353.45,6370.55,6313.4,6354.7,163702830.0
2016-10-05,6383.85,6416.0,6346.35,6403.5,168976773.0
2016-10-06,6435.85,6447.45,6306.4,6344.95,169709595.0
2016-10-07,6368.65,6384.05,6323.65,6361.55,160048170.0
2016-10-10,6391.45,6404.15,6363.7,6370.95,123404320.0
2016-10-13,6350.35,6353.6,6180.1,6258.9,160282617.0
2016-10-14,6281.6,6300.7,6255.4,6285.7,128589210.0
2016-10-17,6315.4,6353.15,6254.35,6270.4,172479950.0
2016-10-18,6303.75,6362.0,6301.15,6354.15,138860746.0
2016-10-19,6378.9,6412.15,6362.8,6398.5,140747526.0
2016-10-20,6434.65,6471.0,6432.45,6447.75,189144366.0
2016-10-21,6465.8,6467.6,6432.1,6460.65,183978394.0
2016-10-24,6481.25,6539.35,6473.15,6515.95,174733842.0
2016-10-25,6528.5,6530.6,6471.2,6495.1,121539735.0
2016-10-26,6487.55,6521.6,6435.65,6452.25,153378479.0
2016-10-27,6445.15,6467.85,6385.6,6404.85,163233564.0
2016-10-28,6412.75,6460.35,6409.5,6448.05,103856266.0
2016-10-30,6488.45,6509.9,6488.45,6499.6,26164106.0
2016-11-01,6511.15,6544.8,6481.55,6501.7,113680126.0
2016-11-02,6444.25,6444.8,6367.15,6376.6,130663205.0
2016-11-03,6379.7,6434.3,6247.9,6254.45,163125553.0
2016-11-04,6276.45,6292.65,6037.4,6080.55,155497670.0
2016-11-07,6170.2,6201.3,6148.35,6156.45,100310485.0
2016-11-08,6193.5,6207.8,6130.0,6158.3,83248419.0
2016-11-09,5577.05,5973.95,5427.55,5952.2,273290794.0
2016-11-10,6089.1,6189.6,6089.1,6136.1,179962957.0
2016-11-11,6064.45,6114.9,5910.25,5932.0,180634788.0
2016-11-15,5948.85,5949.75,5647.85,5668.05,173760936.0
