Date,Open,High,Low,Close,Volume
2016-09-15,130.33,130.83,126.96,127.83,2688932
2016-09-16,128.79,130.79,127.0,127.54,6552680
2016-09-19,128.08,130.0,127.38,129.29,1850670
2016-09-20,129.08,129.17,127.5,127.83,3064785
2016-09-21,127.67,129.5,127.67,128.33,2773523
2016-09-22,130.62,131.08,129.17,130.83,2397711
2016-09-23,131.0,131.67,130.25,130.75,3864274
2016-09-26,129.58,130.42,126.08,126.79,4630941
2016-09-27,126.71,127.79,125.83,126.83,2450812
2016-09-28,127.08,128.0,126.79,127.25,1970697
2016-09-29,127.75,128.12,123.54,124.54,7538387
2016-09-30,124.33,126.54,122.75,123.33,3264954
2016-10-03,123.96,126.38,123.75,125.5,2048801
2016-10-04,125.67,127.38,125.38,126.88,2993822
2016-10-05,127.71,128.17,125.29,127.04,2883460
2016-10-06,127.67,128.21,123.75,124.12,4235921
2016-10-07,124.17,125.13,123.08,123.58,2354100
2016-10-10,124.0,124.54,121.58,122.21,4798163
2016-10-13,122.5,122.5,119.42,120.62,6351747
2016-10-14,121.08,121.33,119.58,120.83,3260310
2016-10-17,122.5,123.83,121.75,122.92,7877580
2016-10-18,123.33,124.0,122.63,123.33,8624846
2016-10-19,123.71,125.17,123.04,124.21,6718682
2016-10-20,124.79,124.92,123.62,124.17,2666676
2016-10-21,123.67,125.0,123.67,124.58,1520722
2016-10-24,124.88,126.67,124.75,126.12,1108296
2016-10-25,125.5,127.13,124.63,126.67,1694968
2016-10-26,126.21,127.42,125.92,126.54,1615435
2016-10-27,126.42,127.33,125.42,126.42,2751691
2016-10-28,126.58,129.12,125.21,126.88,6114822
2016-10-30,127.5,127.5,125.17,125.88,310599
2016-11-01,126.42,130.46,125.58,129.17,3399012
2016-11-02,128.29,131.33,127.63,130.42,6798198
2016-11-03,130.67,131.08,127.08,127.54,3610018
2016-11-04,128.0,129.58,127.33,127.92,1995230
2016-11-07,128.46,130.75,127.79,129.25,3806085
2016-11-08,129.5,130.5,127.96,128.46,3741753
