Date,Open,High,Low,Close,Volume
2016-09-15,195.5,196.9,193.25,195.97,427267
2016-09-16,196.0,202.8,196.0,201.6,1196823
2016-09-19,201.97,202.0,198.5,200.8,314812
2016-09-20,200.8,203.0,199.4,202.45,578073
2016-09-21,202.43,203.87,201.25,202.33,283976
2016-09-22,203.15,204.37,202.53,203.4,202660
2016-09-23,203.45,203.45,201.07,201.87,606150
2016-09-26,202.0,202.5,196.07,201.85,758941
2016-09-27,202.5,205.5,202.17,203.65,312537
2016-09-28,203.65,204.13,200.3,201.2,587996
2016-09-29,203.0,204.5,195.9,199.25,518301
2016-09-30,198.53,202.95,197.13,200.05,585874
2016-10-03,201.55,208.87,201.17,207.43,642836
2016-10-04,207.7,210.47,206.75,207.5,581452
2016-10-05,207.53,208.9,204.37,205.3,321575
2016-10-06,207.0,210.6,203.63,206.05,832709
2016-10-07,206.0,209.65,206.0,207.67,349696
2016-10-10,209.5,209.93,205.65,206.3,392003
2016-10-13,206.0,210.0,205.75,207.37,579270
2016-10-14,208.45,210.75,207.27,208.95,443069
2016-10-17,209.23,210.63,206.5,207.15,279259
2016-10-18,207.43,209.97,202.3,204.85,326567
2016-10-19,205.13,208.0,203.75,206.93,199882
2016-10-20,207.2,209.27,206.33,207.13,241486
2016-10-21,207.33,208.1,205.4,207.2,142832
2016-10-24,206.4,210.4,206.0,208.63,505554
2016-10-25,208.5,209.87,206.65,207.45,136358
2016-10-26,207.05,208.13,205.1,205.97,135783
2016-10-27,205.03,208.73,205.03,206.2,588857
2016-10-28,205.95,209.05,203.83,208.0,382885
2016-10-30,209.4,209.75,207.0,208.65,33017
2016-11-01,208.5,209.73,206.53,209.0,227543
2016-11-02,207.5,208.75,204.0,205.07,411580
2016-11-03,204.6,206.0,202.8,204.15,555458
2016-11-04,205.0,205.27,199.0,201.3,432817
2016-11-07,201.5,205.5,201.5,203.77,128535
2016-11-08,203.95,205.75,203.0,204.8,143445
2016-11-09,199.95,202.33,189.53,201.7,472332
2016-11-10,204.47,206.25,203.45,205.47,124358
2016-11-11,204.75,205.57,201.0,203.75,531378
2016-11-15,202.55,203.75,198.55,202.45,310065
2016-11-16,206.0,207.5,202.6,205.07,489482
2016-11-17,204.25,206.0,201.7,204.87,135149
2016-11-18,205.15,210.43,203.55,209.27,414508
2016-11-21,209.9,213.37,207.3,208.63,644100
2016-11-22,210.0,214.5,209.5,212.93,1028011
2016-11-23,215.05,215.73,211.27,213.6,521489
2016-11-24,220.27,223.0,218.6,219.67,1439953
2016-11-25,220.25,222.47,217.83,218.43,450660
2016-11-28,218.25,222.37,212.43,214.13,1501735
2016-11-29,212.37,213.95,206.57,207.5,881162
2016-11-30,209.0,210.65,205.57,209.67,694280
2016-12-01,213.25,217.73,211.57,214.07,1103414
2016-12-02,214.07,216.4,212.63,213.27,320305
2016-12-05,213.75,220.2,213.5,218.35,676052
2016-12-06,219.13,220.0,217.43,218.45,362536
2016-12-07,218.5,219.2,216.4,218.37,318824
2016-12-08,218.0,221.4,217.7,220.43,585757
2016-12-09,222.5,223.1,221.0,221.33,310531
2016-12-12,224.75,226.55,220.85,221.75,424494
2016-12-13,222.5,224.0,221.1,222.05,447133
2016-12-14,221.95,226.03,220.37,223.43,637101
2016-12-15,221.05,225.13,218.15,219.83,372204
2016-12-16,220.0,222.0,218.0,220.03,334129
2016-12-19,220.05,223.47,220.05,220.67,356093
2016-12-20,221.03,222.13,218.1,218.63,294988
2016-12-21,220.0,221.7,218.6,219.9,433025
2016-12-22,219.5,222.0,218.13,219.37,196509
2016-12-23,219.65,220.97,218.2,218.53,223487
2016-12-26,218.85,219.95,214.5,215.17,244883
2016-12-27,214.37,219.5,213.23,218.05,472854
2016-12-28,218.33,220.0,217.17,218.53,364058
2016-12-29,218.8,223.83,218.8,222.07,1084476
2016-12-30,221.87,226.75,221.17,226.05,218310
2017-01-02,226.35,230.9,226.33,227.63,411356
2017-01-03,227.93,231.37,227.4,229.23,578051
2017-01-04,231.03,232.5,227.3,228.25,761158
2017-01-05,228.47,235.75,228.47,233.57,589496
2017-01-06,235.95,240.37,234.0,237.55,1124895
2017-01-09,240.0,241.73,237.5,239.13,953582
2017-01-10,240.0,242.5,239.67,241.2,866684
2017-01-11,242.0,247.5,234.65,242.5,2229277
2017-01-12,230.77,237.33,226.67,231.27,1516083
2017-01-13,233.33,233.93,230.0,230.4,505364
2017-01-16,230.47,230.9,226.7,228.77,358668
2017-01-17,229.07,230.67,227.33,227.83,258901
2017-01-18,227.33,228.33,223.53,224.2,522306
2017-01-19,225.13,225.13,220.43,222.3,699626
2017-01-20,223.27,223.27,218.33,218.77,457768
2017-01-23,219.37,226.63,219.0,224.4,483284
2017-01-24,226.63,227.67,223.73,224.9,1134745
2017-01-25,225.2,228.97,224.67,225.13,1051831
2017-01-27,225.57,229.87,225.03,225.83,712864
2017-01-30,226.0,227.33,223.33,224.2,393599
2017-01-31,224.73,227.43,217.33,219.77,4205557
2017-02-01,221.33,221.6,217.83,220.77,795589
2017-02-02,221.5,228.53,221.5,226.87,898294
2017-02-03,229.27,230.67,227.57,229.83,748063
2017-02-06,232.0,233.8,230.77,231.8,799142
2017-02-07,233.2,234.33,221.43,223.47,924440
2017-02-08,222.9,226.07,222.27,224.6,380999
2017-02-09,225.33,230.6,223.33,229.5,1007262
2017-02-10,231.47,231.97,229.0,230.37,503167
2017-02-13,222.67,224.33,221.8,223.13,564562
2017-02-14,223.67,225.2,220.7,224.63,484102
2017-02-15,224.13,227.9,223.33,224.23,1118120
2017-02-16,224.27,225.97,222.23,223.1,484466
2017-02-17,224.77,224.77,220.93,222.27,453891
2017-02-20,223.0,223.27,213.47,218.1,1090649
2017-02-21,217.33,223.17,213.73,218.7,1367377
2017-02-22,220.57,221.3,217.33,217.67,338021
2017-02-23,217.8,220.2,216.67,217.93,661686
2017-02-27,217.57,219.8,216.7,218.8,936922
2017-02-28,219.9,219.93,216.33,218.07,541507
2017-03-01,220.4,222.67,218.67,222.1,841656
2017-03-02,223.8,224.67,218.93,220.63,900310
2017-03-03,220.67,223.93,220.0,222.43,292966
2017-03-06,222.9,226.0,222.87,225.57,794436
2017-03-07,226.67,227.13,222.03,223.37,629115
2017-03-08,223.37,224.3,217.4,218.03,612040
