Date,Open,High,Low,Close,Volume
2016-09-15,1890.05,1954.0,1876.9,1922.2,193097
2016-09-16,1929.6,1963.0,1862.3,1911.0,355972
2016-09-19,1895.4,1939.65,1881.95,1895.65,103018
2016-09-20,1910.0,1931.05,1865.0,1878.4,68073
2016-09-21,1909.0,1918.4,1859.05,1878.2,133397
2016-09-22,1904.9,1904.9,1871.0,1893.4,71907
2016-09-23,1907.55,1920.0,1880.0,1901.6,126064
2016-09-26,1895.15,1904.75,1866.0,1886.25,180207
2016-09-27,1895.25,1903.9,1886.0,1891.85,295203
2016-09-28,1900.35,1934.5,1864.0,1871.25,305559
2016-09-29,1890.0,1894.0,1757.35,1837.05,169073
2016-09-30,1837.0,1855.0,1803.25,1838.5,124781
2016-10-03,1859.9,1933.0,1850.0,1911.95,154745
2016-10-04,1900.0,1914.2,1873.2,1894.55,103859
2016-10-05,1896.25,1902.0,1865.4,1881.05,70669
2016-10-06,1887.85,1887.85,1840.0,1846.8,78075
2016-10-07,1866.4,1872.25,1826.0,1858.5,93917
2016-10-10,1878.0,1880.0,1837.0,1848.8,43759
2016-10-13,1849.0,1855.25,1783.85,1792.65,146858
2016-10-14,1818.0,1853.0,1803.3,1838.2,86253
2016-10-17,1838.2,1879.0,1822.25,1860.6,112800
2016-10-18,1862.6,1881.0,1855.0,1873.45,84001
2016-10-19,1878.05,1890.7,1847.4,1856.55,107036
2016-10-20,1864.75,1870.0,1830.0,1836.65,42866
2016-10-21,1841.0,1859.95,1822.5,1853.7,73597
2016-10-24,1854.0,1866.75,1811.0,1819.5,76536
2016-10-25,1842.0,1855.95,1823.35,1841.35,91497
2016-10-26,1843.3,1858.0,1775.45,1793.65,124701
2016-10-27,1804.0,1820.0,1760.75,1798.1,151237
2016-10-28,1813.95,1813.95,1766.1,1774.65,127799
2016-10-30,1800.0,1819.9,1790.05,1812.6,36670
2016-11-01,1800.55,1818.45,1737.8,1748.15,128930
2016-11-02,1745.0,1745.0,1675.0,1688.75,133538
2016-11-03,1680.1,1725.0,1605.0,1634.45,173048
2016-11-04,1634.0,1649.9,1586.4,1610.25,152244
2016-11-07,1629.9,1699.9,1629.9,1664.3,142178
2016-11-08,1668.0,1696.0,1655.0,1680.5,61117
2016-11-09,1560.0,1650.0,1426.0,1631.25,138362
2016-11-10,1663.35,1700.0,1585.0,1597.0,117574
2016-11-11,1594.65,1596.65,1520.0,1522.2,291929
2016-11-15,1519.05,1534.95,1366.05,1401.75,668455
2016-11-16,1444.0,1463.05,1410.0,1428.75,211469
2016-11-17,1428.0,1445.0,1403.35,1422.2,150497
2016-11-18,1412.0,1467.7,1412.0,1438.35,154996
2016-11-21,1451.1,1505.0,1430.05,1435.75,201593
2016-11-22,1479.0,1518.0,1436.0,1499.7,137648
2016-11-23,1521.25,1694.95,1521.25,1653.75,296781
2016-11-24,1655.0,1665.3,1611.25,1638.35,147905
2016-11-25,1649.95,1670.0,1640.0,1662.0,49916
2016-11-28,1670.0,1676.0,1642.0,1650.05,69386
2016-11-29,1660.0,1749.0,1627.1,1641.9,170326
2016-11-30,1659.4,1708.0,1650.0,1693.15,188351
2016-12-01,1698.0,1698.0,1622.1,1630.85,96902
2016-12-02,1631.1,1665.0,1623.95,1646.85,99078
2016-12-05,1652.0,1686.0,1636.0,1667.75,58482
2016-12-06,1671.05,1688.0,1664.05,1678.6,43237
2016-12-07,1685.0,1715.0,1685.0,1702.2,43242
2016-12-08,1704.2,1736.4,1700.5,1726.1,138824
2016-12-09,1733.0,1745.3,1674.55,1719.9,166379
2016-12-12,1720.0,1733.2,1700.0,1716.5,46386
2016-12-13,1718.35,1734.9,1708.85,1728.85,42662
2016-12-14,1730.0,1738.0,1701.0,1710.3,116413
2016-12-15,1701.15,1723.75,1675.1,1691.45,45742
2016-12-16,1692.0,1719.9,1679.35,1699.8,160722
2016-12-19,1701.1,1708.75,1590.0,1615.4,145958
2016-12-20,1615.0,1637.0,1586.15,1606.85,74678
2016-12-21,1612.15,1629.0,1535.0,1551.85,73637
2016-12-22,1553.05,1564.75,1475.05,1483.45,107335
2016-12-23,1500.0,1534.0,1455.2,1468.3,108075
2016-12-26,1468.3,1495.0,1445.0,1473.25,66575
2016-12-27,1477.0,1520.0,1460.1,1501.1,135928
2016-12-28,1507.05,1556.0,1507.05,1527.95,112753
2016-12-29,1531.05,1607.0,1523.7,1597.6,209421
2016-12-30,1596.0,1637.0,1596.0,1624.85,107858
2017-01-02,1624.95,1632.05,1586.0,1594.3,36380
2017-01-03,1600.0,1624.7,1571.4,1578.0,76750
2017-01-04,1589.0,1608.9,1580.1,1598.4,98801
2017-01-05,1601.05,1670.0,1590.55,1658.15,136908
2017-01-06,1697.0,1719.0,1666.35,1678.8,171872
2017-01-09,1693.9,1693.9,1662.0,1672.0,37323
2017-01-10,1680.0,1742.0,1674.0,1734.75,127979
2017-01-11,1750.0,1780.0,1733.15,1749.0,143727
2017-01-12,1749.9,1794.0,1735.0,1782.65,102674
2017-01-13,1797.95,1800.2,1765.0,1792.55,60322
2017-01-16,1790.0,1799.9,1776.0,1786.95,36416
2017-01-17,1776.5,1804.8,1760.3,1791.55,65573
2017-01-18,1790.0,1859.45,1790.0,1844.2,156233
2017-01-19,1835.0,1850.0,1817.4,1836.55,64541
2017-01-20,1816.35,1835.0,1751.0,1768.05,83276
2017-01-23,1759.0,1759.2,1683.1,1696.6,141359
2017-01-24,1699.0,1749.0,1699.0,1729.7,92592
2017-01-25,1741.0,1758.0,1693.0,1711.65,99888
2017-01-27,1725.2,1759.9,1712.4,1718.7,75145
2017-01-30,1719.85,1738.0,1695.0,1718.65,85140
2017-01-31,1735.0,1750.0,1673.85,1687.7,108242
2017-02-01,1699.8,1727.0,1677.0,1713.95,70417
