Date,Open,High,Low,Close,Volume
2016-09-15,166.58,168.65,164.55,167.65,1544524
2016-09-16,168.88,171.48,165.0,166.75,3663074
2016-09-19,166.95,170.08,165.82,169.45,2354713
2016-09-20,169.95,170.75,166.95,167.4,1165761
2016-09-21,168.45,168.78,165.5,166.92,1170075
2016-09-22,168.5,171.25,167.62,170.65,1050260
2016-09-23,171.0,173.5,169.28,172.0,1241266
2016-09-26,172.48,173.7,170.12,172.15,1273563
2016-09-27,172.65,174.9,172.02,173.15,1461515
2016-09-28,173.38,175.25,172.4,174.85,1151966
2016-09-29,174.5,177.18,167.12,169.12,3379355
2016-09-30,169.5,175.98,169.22,172.7,2526368
2016-10-03,172.72,177.85,172.72,176.52,1182385
2016-10-04,176.98,184.85,175.6,183.68,2604680
2016-10-05,183.75,186.15,182.0,185.15,1264574
2016-10-06,186.48,191.8,185.05,187.12,2080316
2016-10-07,187.4,190.58,185.82,186.55,849657
2016-10-10,186.98,188.75,182.18,184.55,1677352
2016-10-13,184.48,192.4,183.4,190.22,3843665
2016-10-14,190.85,202.5,190.85,200.32,7178774
2016-10-17,201.28,205.45,199.6,201.12,5104301
2016-10-18,202.55,204.5,198.62,200.15,3767707
2016-10-19,200.98,201.98,190.75,191.58,6098295
2016-10-20,192.2,194.12,188.25,192.48,2444704
2016-10-21,193.98,196.45,191.5,194.55,2221305
2016-10-24,195.52,196.42,192.68,193.5,1115188
2016-10-25,193.55,194.52,188.02,190.85,1829320
2016-10-26,191.5,193.68,188.8,191.58,878581
2016-10-27,191.58,192.5,188.02,190.32,1620469
2016-10-28,190.72,195.8,190.72,194.4,1154753
2016-10-30,195.0,195.32,191.5,193.5,58644
2016-11-01,196.2,197.2,190.32,191.4,1259641
2016-11-02,189.4,189.75,182.0,183.45,1376485
2016-11-03,182.78,184.8,176.0,178.1,2545933
2016-11-04,178.7,182.25,175.3,180.2,1427848
2016-11-07,182.45,182.68,176.5,177.95,2337791
2016-11-08,178.0,181.75,177.25,180.85,942576
2016-11-09,172.5,184.82,163.0,183.35,2511684
2016-11-10,184.92,195.95,183.78,194.05,1978963
2016-11-11,191.0,193.15,179.25,180.42,1005882
2016-11-15,180.0,185.45,166.28,180.3,2748551
2016-11-16,181.5,183.48,175.9,176.92,1439178
2016-11-17,177.62,178.5,171.45,173.88,1892477
2016-11-18,185.5,189.68,181.2,188.12,10322024
2016-11-21,188.75,191.32,182.58,183.52,4013048
