Date,Open,High,Low,Close,Volume
2016-09-15,119.25,120.65,117.7,118.95,1319345
2016-09-16,119.4,121.4,117.9,118.35,4847500
2016-09-19,119.0,120.3,118.1,119.9,2670728
2016-09-20,119.4,121.95,119.4,120.85,2699462
2016-09-21,121.5,122.95,120.3,120.6,4032165
2016-09-22,121.7,123.5,121.7,122.75,2976040
2016-09-23,123.3,124.2,122.1,122.65,3296934
2016-09-26,122.0,123.6,121.0,121.75,2494508
2016-09-27,121.8,122.4,118.3,119.85,3773152
2016-09-28,120.0,120.75,118.35,119.05,4581589
2016-09-29,119.9,120.7,112.3,114.0,5128509
2016-09-30,114.4,120.65,113.95,120.3,4601244
2016-10-03,120.5,123.15,120.5,122.35,2567455
2016-10-04,123.2,126.3,122.1,125.7,6135694
2016-10-05,126.5,127.6,124.9,126.45,4722711
2016-10-06,127.1,127.4,123.05,123.75,5112008
2016-10-07,124.0,125.3,121.85,123.05,2668875
2016-10-10,123.9,124.55,121.5,121.95,2172677
2016-10-13,122.65,125.35,120.2,123.45,4708792
2016-10-14,124.0,124.45,121.4,122.3,1307994
2016-10-17,122.7,125.4,121.8,122.95,3493217
2016-10-18,123.5,124.45,121.45,123.6,3539897
2016-10-19,123.95,125.1,122.3,122.85,3519362
2016-10-20,123.9,125.0,123.1,123.95,1275051
2016-10-21,124.9,127.9,123.4,127.65,4559437
2016-10-24,128.9,130.4,126.5,127.3,4192135
2016-10-25,128.2,128.35,125.75,126.4,1942847
2016-10-26,126.35,128.2,124.0,124.65,2227331
2016-10-27,124.6,125.2,121.3,124.3,5758201
2016-10-28,124.35,125.7,123.0,124.1,2491793
2016-10-30,125.65,125.65,124.2,124.5,206889
2016-11-01,124.6,124.95,121.6,122.2,2661206
2016-11-02,120.9,120.9,118.0,118.2,1575225
2016-11-03,117.85,119.4,115.2,115.6,2282480
2016-11-04,115.6,115.75,110.55,113.85,2989498
2016-11-07,116.0,117.25,114.8,115.2,2103401
2016-11-08,115.4,116.4,113.8,114.6,1710886
2016-11-09,110.0,117.65,103.15,116.4,4852876
2016-11-10,118.4,123.4,118.4,121.45,3826357
2016-11-11,119.9,122.85,117.5,118.25,4429038
2016-11-15,119.6,120.9,115.2,116.1,4897189
