Date,Open,High,Low,Close,Volume
2016-09-15,6685.1,6737.05,6674.0,6700.85,1929
2016-09-16,6700.0,6781.4,6660.1,6680.05,5700
2016-09-19,6649.7,6780.0,6640.05,6715.8,13676
2016-09-20,6652.5,6750.0,6652.5,6700.35,4345
2016-09-21,6747.9,6850.0,6730.0,6801.1,19570
2016-09-22,6829.9,6921.0,6803.7,6883.35,2960
2016-09-23,6883.35,7020.0,6832.9,6899.3,13126
2016-09-26,6975.0,6975.0,6870.0,6886.65,2479
2016-09-27,6923.3,7119.9,6890.0,6903.25,13016
2016-09-28,6911.0,7017.0,6806.6,6850.85,2249
2016-09-29,6900.0,6969.8,6610.05,6712.0,5643
2016-09-30,6712.0,6845.5,6709.85,6805.2,2506
2016-10-03,6939.95,6939.95,6767.3,6865.45,4864
2016-10-04,6944.95,6944.95,6820.0,6904.65,2722
2016-10-05,6925.0,7135.0,6925.0,7072.95,16614
2016-10-06,7156.0,7252.0,6900.0,6929.25,12641
2016-10-07,6950.8,7050.0,6950.0,6991.3,4073
2016-10-10,7000.0,7050.05,6999.95,7026.75,2816
2016-10-13,7026.05,7026.05,6866.5,6958.65,2725
2016-10-14,7026.0,7026.0,6821.3,6952.75,3689
2016-10-17,7024.0,7024.0,6941.0,6991.5,4385
2016-10-18,6991.0,7010.0,6961.55,6985.55,1411
2016-10-19,6985.0,7010.0,6950.0,6992.95,1181
2016-10-20,6970.0,7050.45,6955.0,7030.8,11968
2016-10-21,6951.0,7050.0,6951.0,7019.5,586
2016-10-24,7000.0,7090.0,6989.5,7055.95,1166
2016-10-25,7055.0,7073.35,6994.9,7042.25,2081
2016-10-26,7042.0,7047.0,6921.0,6998.45,5827
2016-10-27,6998.0,7004.9,6945.0,6963.2,601
2016-10-28,6940.0,7045.0,6940.0,7033.65,853
2016-10-30,7051.7,7060.0,7019.95,7047.35,492
2016-11-01,7020.05,7071.95,6976.25,7049.6,1400
2016-11-02,6995.05,7229.95,6995.0,7160.6,5708
2016-11-03,7112.9,7218.85,7015.05,7074.8,9057
2016-11-04,7074.8,7150.0,6965.35,7001.85,3246
2016-11-07,7100.0,7100.55,6865.5,6912.1,2012
2016-11-08,6959.65,6959.65,6870.0,6896.75,662
2016-11-09,6800.0,7170.0,6001.0,7091.0,4139
2016-11-10,7071.2,7129.95,6905.95,6979.15,1266
2016-11-11,6964.0,7000.05,6880.0,6898.15,1134
2016-11-15,6890.0,6890.0,6608.2,6728.35,2406
2016-11-16,6728.0,6878.95,6600.0,6617.95,1411
2016-11-17,6610.25,6627.4,6460.0,6500.1,10443
2016-11-18,6440.0,6550.0,6402.05,6528.3,4399
2016-11-21,6501.15,6571.35,6450.0,6544.55,2542
2016-11-22,6600.0,6619.9,6441.45,6592.45,4443
2016-11-23,6659.0,6659.0,6523.95,6556.55,1111
2016-11-24,6550.55,6558.0,6509.0,6535.6,11710
2016-11-25,6565.0,6629.95,6480.0,6524.6,3668
2016-11-28,6610.0,6610.0,6540.05,6596.45,920
2016-11-29,6621.55,6640.0,6565.05,6601.35,4228
2016-11-30,6679.0,6679.0,6575.0,6608.65,1211
2016-12-01,6698.0,6698.0,6540.75,6596.1,1093
2016-12-02,6551.0,6668.0,6551.0,6600.85,1981
2016-12-05,6695.0,6870.0,6601.5,6737.45,14149
2016-12-06,6720.1,6769.8,6675.0,6691.8,730
2016-12-07,6723.95,6959.5,6620.0,6864.85,2446
2016-12-08,6801.1,6879.95,6750.0,6786.5,1190
2016-12-09,6780.0,6864.95,6666.0,6717.4,971
2016-12-12,6700.0,6820.0,6627.0,6743.25,1309
2016-12-13,6811.0,6820.0,6635.15,6800.65,2808
2016-12-14,6950.0,6950.0,6761.0,6794.45,883
2016-12-15,6791.05,7000.0,6791.05,6986.05,14941
2016-12-16,6970.0,7050.0,6818.05,6836.75,6091
2016-12-19,6850.0,6919.95,6801.0,6889.85,1596
2016-12-20,6902.05,6902.05,6761.05,6800.0,1339
2016-12-21,6850.0,6850.0,6751.0,6766.2,745
2016-12-22,6752.0,6752.05,6565.55,6656.85,3512
2016-12-23,6676.95,6720.0,6570.0,6621.8,1861
2016-12-26,6669.0,6847.95,6500.0,6779.15,6264
2016-12-27,6794.0,7019.0,6605.05,6927.25,5433
2016-12-28,6929.0,7069.25,6890.0,6938.4,3061
2016-12-29,6930.0,7200.0,6912.55,7157.3,8520
2016-12-30,7054.85,7118.0,7020.0,7084.05,2443
2017-01-02,7100.0,7100.0,6953.7,6994.7,786
2017-01-03,6952.0,6992.1,6900.0,6935.7,934
2017-01-04,6935.75,6970.0,6900.0,6908.0,2989
2017-01-05,6947.95,6999.0,6852.0,6942.15,2177
2017-01-06,6930.0,6949.85,6850.0,6861.45,944
2017-01-09,6940.0,6940.0,6800.0,6809.6,26038
2017-01-10,6988.95,6988.95,6775.25,6798.05,1302
2017-01-11,6800.0,6800.05,6766.0,6781.2,1645
2017-01-12,6799.95,6800.0,6765.0,6788.6,1157
2017-01-13,6800.0,6800.0,6720.0,6734.7,1475
2017-01-16,6750.0,6800.05,6711.0,6786.6,1804
2017-01-17,6794.95,6798.0,6716.0,6749.15,3002
2017-01-18,6750.0,6790.0,6730.05,6769.1,1132
2017-01-19,6800.0,7028.9,6700.1,6974.3,4770
2017-01-20,6980.0,7000.0,6906.15,6999.45,10340
2017-01-23,7009.85,7009.85,6780.0,6813.65,15009
2017-01-24,6868.95,6975.0,6827.3,6939.3,1593
2017-01-25,6930.1,7087.95,6905.4,6999.0,3676
2017-01-27,7000.0,7020.0,6913.05,6978.55,6406
2017-01-30,7045.0,7045.0,6902.4,6953.4,2507
2017-01-31,6931.45,7000.0,6802.9,6954.1,4050
2017-02-01,6930.4,7015.0,6925.6,6995.8,1648
2017-02-02,7028.0,7028.0,6865.2,6981.5,1519
2017-02-03,6981.5,7020.0,6939.0,7000.4,4381
2017-02-06,7001.45,7070.0,6939.9,7005.35,17259
2017-02-07,7071.0,7071.0,6870.75,6945.15,3881
2017-02-08,7044.95,7045.0,6940.8,7004.65,13292
2017-02-09,7057.5,7057.5,6949.95,7014.65,1790
2017-02-10,6929.0,7040.2,6914.0,6961.9,30020
2017-02-13,6961.9,7047.0,6961.9,7005.2,5971
2017-02-14,7005.3,7027.15,6983.6,7018.75,5240
2017-02-15,7047.0,7047.0,6942.15,7016.85,1238
2017-02-16,7045.0,7045.0,6940.05,7013.85,8170
2017-02-17,7012.0,7018.0,6945.5,6985.2,3092
2017-02-20,7000.0,7020.0,6945.05,6987.35,50561
2017-02-21,7001.95,7015.0,6948.0,7001.0,8761
2017-02-22,7014.95,7088.0,6962.9,7037.2,4761
2017-02-23,7000.7,7080.0,7000.7,7051.0,2785
2017-02-27,7061.0,7150.0,6996.5,7073.65,2589
2017-02-28,7098.95,7120.0,7065.0,7092.2,3258
2017-03-01,7065.05,7179.9,7015.0,7056.05,1721
2017-03-02,7060.05,7100.0,7030.15,7073.55,2556
2017-03-03,7061.0,7081.0,6962.55,7024.1,14727
2017-03-06,6965.45,7072.1,6940.05,6965.2,2513
2017-03-07,7011.95,7012.5,6935.0,6948.75,2755
2017-03-08,6920.6,6964.75,6887.8,6909.2,3841
2017-03-09,6909.25,6914.85,6811.25,6835.8,1938
2017-03-10,6921.0,6921.0,6696.0,6742.7,6105
2017-03-14,6868.75,6868.8,6611.15,6800.05,7046
2017-03-15,6805.05,6878.0,6731.0,6841.6,2714
2017-03-16,6835.0,6995.2,6808.4,6907.3,12480
2017-03-17,6915.0,6945.6,6660.0,6802.15,5803
2017-03-20,6839.6,6844.95,6705.0,6783.65,1355
2017-03-21,6811.25,6950.0,6774.9,6835.1,1957
2017-03-22,6862.35,6868.55,6805.8,6830.1,1341
2017-03-23,6830.1,7025.0,6810.15,6962.9,4368
2017-03-24,7000.0,7079.0,6840.0,6924.0,4879
2017-03-27,6915.0,7066.45,6761.5,6891.55,5718
2017-03-28,6950.0,7090.0,6910.0,7051.15,7230
2017-03-29,7001.15,7344.3,6949.6,7260.25,37964
2017-03-30,7260.25,7497.35,7102.5,7462.4,13728
2017-03-31,7459.95,7635.7,7420.0,7592.15,14846
2017-04-03,7593.0,7635.0,7350.0,7386.8,9479
2017-04-05,7386.8,7500.1,7326.0,7414.55,8908
2017-04-06,7357.05,7426.05,7357.05,7377.4,2599
2017-04-07,7377.45,7420.0,7260.25,7354.7,2751
2017-04-10,7301.0,7420.0,7301.0,7385.25,1111
2017-04-11,7385.25,7400.0,7320.0,7343.3,1252
2017-04-12,7343.0,7479.9,7300.0,7338.8,7064
2017-04-13,7344.0,7434.0,7331.35,7389.2,1108
2017-04-17,7440.0,7440.0,7325.0,7402.65,1976
2017-04-18,7377.8,7480.0,7324.4,7329.0,1705
2017-04-19,7325.3,7375.0,7285.05,7299.35,13587
2017-04-20,7368.0,7468.25,7266.65,7378.85,3068
2017-04-21,7398.0,7479.95,7300.0,7318.2,2076
2017-04-24,7346.6,7348.9,7303.0,7332.9,956
2017-04-25,7338.05,7366.95,7306.0,7336.4,3895
2017-04-26,7360.0,7469.75,7339.95,7437.05,3671
2017-04-27,7500.0,7500.0,7289.5,7341.2,6774
2017-04-28,7439.5,7529.4,7335.1,7368.8,4272
2017-05-02,7361.0,7419.0,7319.9,7379.25,12607
2017-05-03,7405.0,7405.0,7316.0,7360.15,23895
2017-05-04,7400.0,7455.0,7345.0,7399.4,1068
2017-05-05,7400.45,7444.0,7325.0,7403.15,1675
2017-05-08,7684.0,7879.0,7551.0,7822.85,11955
2017-05-09,7850.0,8055.95,7836.0,7971.1,10175
2017-05-10,7999.9,8199.0,7877.05,7913.4,10284
2017-05-11,7988.0,8049.0,7680.0,7750.7,13325
2017-05-12,7777.85,7990.0,7750.0,7940.2,6350
2017-05-15,7940.0,8134.9,7940.0,8091.2,8415
2017-05-16,8118.0,8199.0,7989.0,8047.6,10002
2017-05-17,7711.2,7720.0,7606.05,7669.4,9681
2017-05-18,7666.0,7690.15,7620.05,7643.6,10689
2017-05-19,7718.15,7718.15,7590.0,7602.8,17760
2017-05-22,7560.25,7642.0,7451.0,7499.8,13930
2017-05-23,7461.8,7560.0,7362.65,7468.9,20906
2017-05-24,7468.95,7468.95,7351.0,7378.4,4297
2017-05-25,7352.05,7520.0,7352.0,7472.15,4556
2017-05-26,7451.2,7589.85,7451.2,7550.2,2701
2017-05-29,7551.35,7571.0,7431.35,7494.2,6460
2017-05-30,7452.55,7519.95,7429.0,7477.4,1011
2017-05-31,7427.0,7478.4,7402.0,7451.25,5324
2017-06-01,7549.6,7570.0,7460.05,7559.5,966
2017-06-02,7559.0,7744.0,7509.0,7716.3,2502
2017-06-05,7710.0,7768.4,7630.05,7736.4,2563
2017-06-06,7784.0,7850.0,7699.95,7801.95,3993
2017-06-07,7765.0,7947.0,7765.0,7901.05,5626
2017-06-08,7901.0,7980.0,7845.65,7914.5,2446
2017-06-09,7944.0,8143.9,7865.15,8040.6,5558
2017-06-12,8077.0,8140.0,8025.0,8058.45,2008
2017-06-13,8043.0,8100.0,8000.0,8021.35,693
2017-06-14,8021.3,8070.0,7971.55,8014.9,9536
2017-06-15,7975.0,8044.8,7895.15,7923.75,1415
2017-06-16,7866.2,7940.0,7821.05,7891.35,1010
2017-06-19,7888.05,8015.0,7840.0,7934.6,1340
2017-06-20,7922.0,7966.0,7920.0,7949.9,6366
2017-06-21,7975.0,8010.0,7925.05,8001.65,12767
2017-06-22,8029.9,8029.95,7962.05,8000.5,4465
2017-06-23,8000.0,8166.95,7970.65,8051.35,8986
2017-06-27,8050.0,8054.35,7980.0,8016.75,2014
2017-06-28,8000.0,8015.05,7966.2,8002.6,2093
2017-06-29,8044.5,8051.0,7992.0,8010.4,2099
2017-06-30,8045.05,8053.0,8010.8,8023.15,2526
2017-07-03,8050.0,8050.0,8002.0,8028.8,619
2017-07-04,8059.8,8108.0,8000.0,8011.6,1016
2017-07-05,8059.95,8083.7,7985.0,8048.7,20279
2017-07-06,8008.15,8049.9,7999.9,8038.8,1726
2017-07-07,7989.05,8050.0,7989.0,8018.7,3507
2017-07-10,7991.0,8098.0,7991.0,8030.4,181
2017-07-11,8015.2,8149.9,7992.0,8021.7,5500
2017-07-12,8000.0,8120.45,7991.7,8018.15,3655
