Date,Open,High,Low,Close,Volume
2016-09-15,180.4,180.4,174.05,174.8,5017570
2016-09-16,176.3,180.5,173.15,176.05,12201034
2016-09-19,175.7,178.2,174.25,177.4,2400079
2016-09-20,177.65,179.4,177.0,178.1,2682936
2016-09-21,178.1,180.1,174.55,175.3,2788843
2016-09-22,177.1,180.3,176.2,178.55,2630455
2016-09-23,178.25,179.4,175.7,175.95,4274739
2016-09-26,175.7,178.3,174.85,175.7,3562557
2016-09-27,176.65,178.15,175.85,176.2,3414102
2016-09-28,176.2,179.1,176.2,178.45,2540053
2016-09-29,178.75,182.1,171.7,173.4,7526759
2016-09-30,174.1,177.7,171.55,176.55,6655428
2016-10-03,177.15,182.9,175.6,181.2,5289415
2016-10-04,181.5,182.7,180.45,181.0,4481602
2016-10-05,181.15,183.4,180.4,181.4,3008118
2016-10-06,181.3,182.25,177.5,177.9,3180505
2016-10-07,177.9,179.6,176.3,176.95,2238796
2016-10-10,177.2,179.0,177.2,178.05,2508185
2016-10-13,177.55,177.85,173.7,175.0,8379738
2016-10-14,175.8,178.5,172.55,177.7,2789366
2016-10-17,176.3,177.65,174.8,176.05,2550834
2016-10-18,176.75,177.8,175.0,176.4,4100567
2016-10-19,176.95,180.75,176.1,178.55,5074138
2016-10-20,179.35,180.25,177.85,178.65,2271308
2016-10-21,179.35,179.35,176.1,176.95,5822010
2016-10-24,176.6,178.35,175.15,176.1,1656773
2016-10-25,176.55,178.95,175.6,178.35,1689115
2016-10-26,178.0,178.3,174.8,175.5,2209102
2016-10-27,175.1,176.85,173.7,175.5,3947345
2016-10-28,175.8,177.0,172.05,175.9,2408879
2016-10-30,175.95,176.4,174.5,175.05,89881
2016-11-01,175.25,179.55,174.15,176.9,2968560
2016-11-02,175.95,176.5,174.45,175.1,2733563
2016-11-03,175.15,175.7,174.3,174.95,2294222
2016-11-04,175.0,175.85,171.25,173.55,2351191
2016-11-07,174.3,174.6,173.55,174.0,4309203
2016-11-08,174.25,177.6,173.9,177.0,1837006
2016-11-09,170.0,181.3,166.95,180.2,7451560
2016-11-10,185.0,190.0,181.15,188.45,10151339
2016-11-11,186.0,188.5,181.5,183.1,4933450
2016-11-15,182.55,186.6,182.55,184.95,6462706
2016-11-16,186.55,190.5,183.35,188.5,5739276
2016-11-17,187.95,196.4,184.2,192.9,5283150
2016-11-18,193.75,195.3,191.4,191.95,6844863
2016-11-21,193.65,193.65,184.3,185.05,6855316
2016-11-22,185.9,186.7,180.75,183.75,6736503
2016-11-23,184.2,187.55,179.6,181.65,7664417
2016-11-24,181.95,186.9,180.3,185.05,10352496
2016-11-25,186.1,190.2,185.0,188.65,8278235
2016-11-28,187.0,194.8,186.95,190.5,5804101
2016-11-29,190.65,191.55,188.5,189.45,6978829
2016-11-30,190.8,192.7,187.6,191.9,4188831
2016-12-01,192.5,192.5,183.5,184.3,6219096
2016-12-02,185.0,185.9,182.5,183.8,5442961
2016-12-05,183.7,186.05,180.85,185.1,6909094
2016-12-06,185.4,186.6,182.5,182.9,2559578
2016-12-07,184.7,185.5,182.0,182.45,2399124
2016-12-08,183.95,185.95,181.55,185.65,3044967
2016-12-09,186.0,186.0,183.75,184.45,1941292
2016-12-12,184.25,185.45,183.4,184.75,2075290
2016-12-13,185.5,186.55,182.45,185.25,2484815
2016-12-14,185.0,185.4,181.45,181.95,4113378
2016-12-15,181.0,185.75,180.5,183.35,2955360
2016-12-16,183.55,186.25,181.7,183.8,14639366
2016-12-19,184.15,185.0,182.85,184.1,2040719
2016-12-20,184.0,184.45,181.75,181.95,3238334
2016-12-21,182.05,183.7,181.75,183.25,2969658
2016-12-22,183.0,183.45,181.1,181.75,1492698
2016-12-23,181.6,182.7,179.0,182.3,2703345
2016-12-26,182.35,182.35,178.25,178.8,3337280
2016-12-27,178.7,181.7,176.55,181.05,2562750
2016-12-28,181.05,183.0,179.1,180.0,2103738
2016-12-29,179.2,181.45,179.0,180.05,8289699
2016-12-30,180.4,185.1,180.25,183.5,2740839
2017-01-02,183.5,185.2,182.6,183.65,1019089
2017-01-03,184.9,188.5,184.5,188.05,4398598
2017-01-04,188.05,188.85,186.05,186.75,4404097
2017-01-05,187.05,191.25,186.1,190.85,3578806
2017-01-06,191.15,192.85,188.25,188.8,3542844
2017-01-09,189.2,189.2,185.1,186.55,1663023
2017-01-10,186.6,188.3,185.05,186.55,2602687
2017-01-11,187.3,191.4,185.9,189.8,12282587
2017-01-12,190.0,199.75,190.0,198.0,15107520
2017-01-13,199.9,199.9,196.05,197.15,13462319
2017-01-16,197.0,201.05,196.75,199.4,4766336
2017-01-17,199.4,200.65,195.1,197.75,5733905
2017-01-18,198.0,199.65,197.05,198.45,11941771
2017-01-19,198.9,203.7,197.25,201.8,4925804
2017-01-20,202.6,202.6,197.45,199.4,7305265
2017-01-23,199.85,202.2,199.05,200.2,4125463
2017-01-24,201.0,204.7,200.6,203.35,4006563
2017-01-25,203.65,204.05,201.9,203.1,5814207
2017-01-27,203.5,206.95,202.55,204.55,6241125
2017-01-30,204.3,206.45,202.5,205.7,3281017
2017-01-31,205.5,209.25,204.45,207.2,4271478
2017-02-01,208.6,208.6,204.75,205.8,4120570
2017-02-02,205.9,206.0,203.25,203.95,4372767
2017-02-03,203.2,205.8,201.1,201.7,2519680
2017-02-06,202.25,204.2,199.75,201.1,3564676
2017-02-07,201.65,203.6,199.2,199.9,3691648
2017-02-08,201.0,202.7,198.3,201.1,5076196
2017-02-09,202.4,205.6,200.8,202.15,7194785
2017-02-10,205.2,205.8,199.25,199.9,9459699
2017-02-13,201.7,203.95,199.5,203.05,5348680
2017-02-14,203.9,203.95,200.1,200.85,5289337
2017-02-15,201.4,202.6,199.75,201.45,4107574
2017-02-16,200.0,202.45,199.1,201.15,3528300
2017-02-17,202.0,203.25,199.55,202.55,2793812
2017-02-20,203.9,207.4,201.8,206.45,5578603
2017-02-21,206.45,207.8,204.55,206.15,4178721
2017-02-22,208.65,208.9,200.9,201.6,14819384
2017-02-23,202.0,202.0,198.55,199.15,7539925
2017-02-27,200.0,200.0,191.9,192.75,8324234
2017-02-28,191.9,194.85,191.55,192.15,5653926
2017-03-01,193.5,194.7,191.85,192.65,5820935
2017-03-02,194.0,194.0,189.0,189.75,5979012
2017-03-03,189.0,191.25,188.0,190.85,4755417
2017-03-06,191.85,196.2,191.1,193.85,8357674
2017-03-07,194.55,195.95,193.55,194.55,6607578
2017-03-08,195.3,197.6,194.15,195.6,4465285
2017-03-09,195.8,195.8,192.5,194.45,5499997
2017-03-10,195.0,195.7,190.05,192.55,9218511
2017-03-14,198.45,198.7,192.6,193.65,6686042
2017-03-15,194.0,194.05,192.5,192.95,4372081
2017-03-16,194.15,195.45,192.75,195.1,2903622
2017-03-17,196.8,197.0,193.1,194.0,5356239
2017-03-20,194.0,194.45,192.75,193.6,5275418
2017-03-21,194.0,194.55,192.9,193.25,4571337
2017-03-22,191.55,195.6,191.45,192.1,4614314
2017-03-23,193.0,193.5,191.6,193.05,3304889
2017-03-24,193.85,195.15,193.25,193.75,3467436
2017-03-27,194.0,196.1,193.65,194.85,3996112
2017-03-28,194.65,197.0,194.65,196.7,3386576
2017-03-29,197.3,197.45,195.75,196.85,3628726
2017-03-30,197.3,197.75,194.25,195.45,7321526
2017-03-31,195.65,199.9,195.65,197.3,4794118
2017-04-03,199.4,199.4,196.0,196.2,5594352
2017-04-05,196.85,197.9,194.2,195.0,3972362
2017-04-06,196.4,197.95,193.1,197.2,4199869
2017-04-07,196.05,196.25,194.5,195.0,5178132
2017-04-10,195.05,195.65,194.35,195.3,3241819
2017-04-11,195.35,201.6,194.5,199.15,6000806
2017-04-12,200.0,201.5,196.0,197.6,3724146
2017-04-13,197.8,201.05,196.8,200.0,3324576
2017-04-17,199.95,203.15,199.0,202.3,6265462
2017-04-18,202.5,204.3,201.65,202.35,4317244
2017-04-19,202.85,213.5,201.95,211.2,16368313
2017-04-20,212.0,212.4,205.45,208.9,6650189
2017-04-21,209.4,210.45,203.8,205.6,4465170
2017-04-24,206.5,206.95,204.1,204.85,4230467
2017-04-25,206.0,209.9,204.8,208.6,3540163
2017-04-26,208.5,208.5,204.25,205.7,3362263
2017-04-27,206.0,210.15,205.15,207.75,7676280
2017-04-28,207.0,208.7,205.95,208.0,3080976
2017-05-02,208.85,208.85,204.5,206.0,2881712
2017-05-03,206.9,213.8,206.3,211.05,6108347
2017-05-04,211.0,212.75,209.0,210.65,7285668
2017-05-05,212.0,212.0,207.55,209.0,2808568
2017-05-08,209.1,210.5,206.7,210.0,3856197
2017-05-09,210.05,211.5,207.75,208.35,2660264
2017-05-10,209.7,210.95,209.0,210.5,2600838
2017-05-11,211.0,211.5,206.2,208.2,2782233
2017-05-12,208.0,209.6,205.6,206.25,3029862
2017-05-15,208.9,209.0,206.35,206.7,3011544
2017-05-16,206.75,207.95,206.25,207.4,2293713
2017-05-17,207.6,209.7,206.15,208.8,2078381
2017-05-18,208.0,209.4,207.1,208.25,3261049
2017-05-19,209.7,211.75,204.1,205.75,10009102
2017-05-22,207.0,207.7,199.2,202.5,4175986
2017-05-23,202.95,203.5,197.35,201.4,3636830
2017-05-24,202.4,203.9,198.5,199.9,3740870
2017-05-25,200.7,200.95,195.65,198.95,5620657
2017-05-26,200.0,203.9,198.3,202.2,3637331
2017-05-29,203.15,210.75,203.1,209.1,8158940
2017-05-30,208.9,208.9,202.05,204.1,6122316
2017-05-31,204.95,209.3,204.95,207.95,4377016
2017-06-01,207.55,209.7,206.35,207.65,3583082
2017-06-02,208.1,208.35,205.3,206.1,3776497
2017-06-05,206.75,207.35,204.2,205.3,2865347
2017-06-06,205.55,205.65,202.3,203.45,2995008
2017-06-07,203.9,205.7,202.2,205.05,4278322
2017-06-08,205.0,207.7,203.6,207.35,4211647
2017-06-09,207.4,208.5,206.5,207.2,3618248
2017-06-12,206.4,207.9,205.0,206.2,2072763
2017-06-13,206.45,213.15,206.0,210.25,8873561
2017-06-14,211.0,213.0,209.5,210.5,7672014
2017-06-15,210.0,212.25,209.35,210.35,3147476
2017-06-16,210.0,211.5,207.6,209.95,3446852
2017-06-19,210.0,212.95,209.95,212.4,3596105
2017-06-20,212.25,215.0,205.6,208.3,7243086
2017-06-21,208.0,208.0,204.75,205.7,7793672
2017-06-22,205.85,208.7,200.0,202.3,18964075
2017-06-23,203.0,207.0,202.4,206.0,5081638
2017-06-27,206.0,206.7,201.5,205.75,3908109
2017-06-28,206.0,208.95,203.4,207.6,3995930
2017-06-29,208.0,210.5,206.9,208.0,4262447
2017-06-30,207.9,211.05,207.8,210.55,4359961
2017-07-03,210.0,212.65,209.5,211.45,4932161
2017-07-04,213.0,213.0,209.75,210.7,2548185
2017-07-05,211.45,211.45,209.5,210.05,3410005
2017-07-06,211.0,211.0,209.0,209.85,3137194
2017-07-07,209.7,210.4,208.2,209.45,4298277
2017-07-10,212.2,212.2,209.75,211.35,1601141
2017-07-11,212.5,213.35,210.9,211.95,7781416
2017-07-12,211.95,215.0,211.95,214.0,5181337
2017-07-13,216.95,217.0,214.45,215.1,5398258
2017-07-14,216.25,216.25,214.5,215.2,2750249
2017-07-17,215.25,217.45,215.25,216.7,3545194
