Date,Open,High,Low,Close,Volume
2016-09-15,583.05,591.8,583.05,586.95,55762
2016-09-16,585.2,595.0,580.4,587.4,113564
2016-09-19,587.4,592.0,574.0,581.8,131177
2016-09-20,581.8,588.7,575.15,582.75,26604
2016-09-21,585.0,591.4,577.0,579.7,23649
2016-09-22,582.0,618.7,575.9,609.55,540414
2016-09-23,613.85,622.8,609.5,617.95,237982
2016-09-26,622.8,622.8,595.0,597.8,157555
2016-09-27,597.75,611.05,597.75,601.5,32225
2016-09-28,601.45,606.5,595.25,600.35,26803
2016-09-29,608.9,608.9,562.25,591.3,133621
2016-09-30,581.1,615.0,581.1,595.4,146682
2016-10-03,605.0,619.1,592.0,615.4,93506
2016-10-04,615.45,641.8,615.45,634.65,223038
2016-10-05,639.0,640.8,619.0,626.25,141609
2016-10-06,630.0,632.35,617.3,622.1,163557
2016-10-07,622.1,626.0,615.0,618.85,90839
2016-10-10,623.8,634.0,616.85,630.3,71026
2016-10-13,634.9,640.0,619.6,633.4,184821
2016-10-14,625.05,685.0,625.05,660.65,417504
2016-10-17,664.0,664.95,640.0,646.75,169002
2016-10-18,652.0,653.7,633.0,637.0,127726
2016-10-19,640.0,652.0,636.55,643.85,98335
2016-10-20,647.0,650.0,633.1,635.6,83737
2016-10-21,637.0,641.4,624.0,626.2,546916
2016-10-24,630.0,633.0,615.1,620.7,56653
2016-10-25,621.2,635.0,618.25,630.2,34571
2016-10-26,634.7,634.7,614.95,622.1,185647
2016-10-27,614.15,626.75,614.15,618.9,93019
2016-10-28,622.9,626.2,606.55,615.05,88903
2016-10-30,619.95,638.0,616.05,634.55,31697
2016-11-01,639.5,639.5,623.0,628.4,54611
2016-11-02,625.0,625.0,608.25,610.25,112638
2016-11-03,614.5,615.2,600.7,602.8,314309
2016-11-04,597.0,610.0,595.25,601.3,176950
2016-11-07,607.0,622.95,606.9,613.85,208165
2016-11-08,619.8,621.5,609.0,615.9,207199
2016-11-09,590.0,607.0,570.05,604.3,244325
2016-11-10,613.5,624.95,611.0,616.45,497856
2016-11-11,605.0,610.9,578.75,587.35,237904
2016-11-15,589.9,589.9,472.8,547.8,730859
2016-11-16,567.7,572.85,527.0,566.65,289330
2016-11-17,564.9,569.05,541.0,554.0,114886
2016-11-18,550.0,552.35,518.2,525.1,280030
2016-11-21,528.0,542.75,506.25,523.25,201312
2016-11-22,527.15,559.9,523.85,553.8,388092
2016-11-23,546.95,568.75,535.85,561.6,175022
2016-11-24,551.3,574.0,551.3,563.95,148418
2016-11-25,572.65,585.0,541.25,575.4,376520
2016-11-28,574.95,590.9,570.05,582.15,307819
2016-11-29,582.15,597.8,573.25,583.35,403667
2016-11-30,590.5,623.9,585.15,610.2,217652
2016-12-01,605.2,619.25,593.0,599.05,672475
2016-12-02,595.0,595.0,575.25,582.45,53567
2016-12-05,578.0,588.3,565.1,568.6,88867
2016-12-06,568.65,588.0,568.0,572.75,43622
2016-12-07,580.7,580.7,557.55,559.6,61364
2016-12-08,564.95,570.2,556.15,561.8,310877
2016-12-09,566.95,566.95,556.8,560.4,25779
2016-12-12,560.4,570.0,556.5,559.75,25076
2016-12-13,559.75,560.0,528.0,532.4,126733
2016-12-14,532.0,548.4,518.0,521.05,91407
2016-12-15,513.0,532.9,513.0,520.1,129670
2016-12-16,521.0,527.0,511.0,524.25,141721
2016-12-19,530.5,530.5,511.25,521.7,36889
2016-12-20,518.5,530.0,513.55,519.0,103882
2016-12-21,524.55,541.8,522.0,538.75,111488
2016-12-22,536.0,543.9,512.55,522.05,210472
2016-12-23,519.65,534.8,515.0,529.5,63940
2016-12-26,528.9,528.9,501.0,506.4,94669
2016-12-27,506.4,529.0,506.4,517.95,1657104
2016-12-28,520.05,529.0,517.8,526.0,124707
2016-12-29,528.85,543.0,516.25,539.3,100043
2016-12-30,539.3,559.8,536.2,548.0,162346
2017-01-02,549.95,563.0,544.55,558.25,78271
2017-01-03,562.3,577.5,560.05,569.2,161677
2017-01-04,570.0,580.55,569.95,575.3,134482
2017-01-05,580.9,580.9,568.85,577.5,197231
2017-01-06,577.5,581.5,575.0,577.75,147545
2017-01-09,582.9,582.9,572.25,574.75,75558
2017-01-10,574.0,607.0,573.95,604.15,466027
2017-01-11,603.85,627.0,594.35,617.55,309311
2017-01-12,624.7,625.65,607.7,612.55,138319
2017-01-13,612.6,618.75,591.5,604.05,113025
2017-01-16,608.7,611.4,595.2,604.4,80498
2017-01-17,608.1,613.0,605.55,610.9,50626
2017-01-18,608.55,628.8,606.55,623.45,284166
2017-01-19,623.0,630.0,611.75,618.5,243601
2017-01-20,615.0,626.95,611.45,619.35,136802
2017-01-23,620.0,632.0,619.35,624.95,171790
2017-01-24,627.85,644.0,622.75,640.65,183267
2017-01-25,645.0,662.6,640.0,659.2,254027
2017-01-27,655.0,667.75,655.0,662.65,182085
2017-01-30,667.95,675.15,646.0,668.3,182660
2017-01-31,670.0,728.0,665.0,702.75,563610
2017-02-01,698.75,720.0,697.9,714.6,406034
2017-02-02,718.9,724.4,700.15,703.4,123534
2017-02-03,700.0,712.0,692.05,702.85,248283
2017-02-06,703.05,722.8,703.05,715.15,169124
2017-02-07,719.7,722.0,672.0,681.3,842410
2017-02-08,689.75,689.75,673.25,680.6,450489
2017-02-09,685.5,689.45,675.55,680.05,121800
2017-02-10,684.8,694.0,682.35,688.8,286303
2017-02-13,691.85,695.0,677.0,679.95,191467
2017-02-14,686.0,689.75,665.35,667.75,113534
2017-02-15,668.0,669.55,655.0,656.9,142761
2017-02-16,658.0,681.8,652.15,678.3,297700
2017-02-17,679.9,684.8,669.05,674.4,40206
2017-02-20,674.4,684.0,672.3,677.05,38105
2017-02-21,677.0,682.0,669.1,677.9,157374
2017-02-22,677.0,677.0,663.1,666.85,71464
2017-02-23,666.9,675.5,645.1,652.0,153686
2017-02-27,657.55,657.95,650.9,653.6,75958
2017-02-28,652.0,674.8,650.4,665.65,307002
2017-03-01,672.7,677.7,663.0,668.35,102166
2017-03-02,664.55,674.4,652.85,659.2,150937
2017-03-03,656.3,674.9,655.8,657.95,127513
2017-03-06,658.0,664.55,652.0,654.15,169406
2017-03-07,654.8,659.25,649.4,654.55,83840
2017-03-08,650.2,656.95,635.0,641.55,146817
2017-03-09,641.55,648.95,617.75,630.5,183695
2017-03-10,640.1,640.65,624.0,626.45,293967
2017-03-14,636.0,649.85,632.85,646.2,1179661
2017-03-15,644.05,649.45,635.0,638.05,244899
2017-03-16,640.5,647.0,638.55,643.5,249757
2017-03-17,643.0,646.8,625.25,634.7,320681
2017-03-20,639.4,658.3,632.55,655.35,397609
2017-03-21,660.0,668.7,648.5,655.1,301433
2017-03-22,655.0,662.0,643.15,656.95,109075
2017-03-23,652.5,663.95,649.0,655.45,221048
2017-03-24,651.5,659.0,648.35,651.15,49070
2017-03-27,650.0,655.0,639.0,641.85,87035
2017-03-28,644.45,668.6,643.75,662.9,162860
2017-03-29,668.9,671.1,654.25,657.65,205095
2017-03-30,657.7,666.9,646.0,664.95,284303
2017-03-31,660.0,680.0,660.0,672.65,192984
2017-04-03,678.0,705.0,670.25,674.65,448972
2017-04-05,681.0,685.0,665.2,671.7,301056
2017-04-06,674.95,681.0,665.0,671.95,97647
2017-04-07,676.0,679.85,660.95,674.1,148398
2017-04-10,675.0,677.95,670.95,676.9,87023
2017-04-11,675.0,681.0,663.85,671.8,137875
2017-04-12,670.0,671.95,663.65,666.6,574755
2017-04-13,666.0,677.95,666.0,674.1,604004
2017-04-17,670.0,674.3,660.2,663.75,141880
2017-04-18,670.0,678.0,664.4,671.2,289814
2017-04-19,670.0,675.0,664.5,670.75,136270
2017-04-20,675.0,696.0,671.3,686.05,265028
2017-04-21,686.05,691.95,670.0,670.9,138380
2017-04-24,677.0,697.0,674.5,692.0,180780
2017-04-25,696.9,703.0,690.0,699.65,431911
2017-04-26,699.5,704.8,693.1,700.8,233659
2017-04-27,698.7,703.95,681.85,688.85,93826
2017-04-28,687.0,694.7,676.3,687.3,97116
2017-05-02,692.5,693.9,678.0,687.75,209512
2017-05-03,695.0,695.0,676.0,688.1,88771
2017-05-04,686.0,688.15,678.0,681.15,161796
2017-05-05,691.0,691.0,673.7,679.05,249435
2017-05-08,679.05,689.85,679.05,686.55,93617
2017-05-09,689.0,709.95,683.55,705.1,300850
2017-05-10,705.1,721.35,705.1,716.55,232833
2017-05-11,719.95,725.0,714.0,721.0,188122
2017-05-12,718.0,720.0,703.0,708.1,62290
2017-05-15,715.0,716.35,696.7,702.2,165862
2017-05-16,703.1,729.75,700.0,722.95,155031
2017-05-17,718.1,722.0,707.0,709.75,112033
2017-05-18,705.0,710.9,695.5,699.8,58378
2017-05-19,709.05,709.3,680.0,691.1,112570
2017-05-22,692.5,697.0,667.05,673.45,248981
2017-05-23,676.0,686.8,663.9,682.5,125895
2017-05-24,686.7,686.7,670.0,677.95,99122
2017-05-25,677.3,703.0,667.8,698.85,290852
2017-05-26,701.25,704.0,675.3,696.35,174654
2017-05-29,691.5,697.0,678.15,681.35,148903
2017-05-30,678.1,697.2,668.2,690.9,349955
2017-05-31,677.0,743.5,674.45,724.15,763583
2017-06-01,728.0,749.95,715.0,722.35,484998
2017-06-02,722.35,734.95,708.0,719.75,278886
2017-06-05,719.75,721.8,689.4,713.6,256390
2017-06-06,717.8,717.8,688.3,697.4,278759
2017-06-07,695.15,698.3,678.4,680.4,233731
2017-06-08,681.0,716.25,675.35,709.45,357575
2017-06-09,707.25,722.35,698.0,713.05,293712
2017-06-12,714.95,714.95,700.1,702.8,91810
2017-06-13,706.0,721.0,690.0,694.15,259358
2017-06-14,698.95,709.0,690.05,699.1,163085
2017-06-15,699.9,705.0,688.05,701.8,110174
2017-06-16,705.0,707.45,691.35,693.75,110995
2017-06-19,698.8,704.0,689.95,696.5,65954
2017-06-20,695.9,706.5,691.3,694.0,146791
2017-06-21,693.0,699.4,682.65,697.3,157100
2017-06-22,698.0,699.2,684.15,687.5,102381
2017-06-23,689.05,691.45,679.55,683.75,540730
2017-06-27,680.1,689.1,665.7,680.7,357703
2017-06-28,680.45,692.45,670.7,682.65,164679
2017-06-29,684.9,689.25,673.35,675.95,283634
2017-06-30,666.35,709.5,666.35,694.95,378557
2017-07-03,702.95,702.95,691.0,696.9,122276
2017-07-04,691.05,719.5,691.0,696.35,207096
2017-07-05,697.65,714.45,697.6,709.75,100365
2017-07-06,709.75,717.9,701.65,705.1,164502
2017-07-07,706.2,712.4,699.65,705.85,139335
2017-07-10,693.5,770.0,693.5,708.7,23218
2017-07-11,715.0,719.0,700.0,708.7,177832
2017-07-12,710.4,713.45,702.8,707.0,118754
2017-07-13,707.1,717.65,707.1,712.35,202310
2017-07-14,715.05,715.1,702.05,710.75,151331
2017-07-17,710.75,710.75,697.0,700.05,263552
2017-07-18,700.0,705.4,697.0,698.75,132307
2017-07-19,699.95,701.1,691.5,696.15,352630
2017-07-20,693.5,700.0,671.6,680.25,341971
2017-07-21,685.05,690.1,674.4,678.55,166927
2017-07-24,674.1,687.1,670.0,675.5,373238
2017-07-25,675.0,681.9,665.0,667.0,567822
2017-07-26,667.0,674.75,665.25,669.65,135620
2017-07-27,669.4,682.35,655.0,658.15,217738
2017-07-28,663.5,673.9,656.2,668.9,285463
2017-07-31,677.0,683.5,670.0,678.7,214546
2017-08-01,678.65,691.5,678.25,687.0,76888
2017-08-02,689.05,713.35,684.1,699.1,347347
2017-08-03,700.0,702.65,680.55,688.25,343710
2017-08-04,680.0,696.25,679.5,688.55,109252
2017-08-07,695.0,702.45,683.0,692.0,137188
2017-08-08,694.7,699.45,681.5,687.3,133540
2017-08-09,688.0,688.0,670.0,672.65,243408
2017-08-10,676.75,676.75,654.0,666.9,221683
2017-08-11,654.05,669.25,647.6,661.4,129347
2017-08-14,674.95,681.3,663.25,673.8,179445
2017-08-16,672.35,702.0,672.35,693.5,174530
2017-08-17,695.6,700.0,688.45,694.5,102895
2017-08-18,691.7,693.6,680.95,684.3,97357
2017-08-21,692.0,692.0,659.0,662.3,368276
2017-08-22,656.0,669.9,656.0,660.85,344550
2017-08-23,664.0,669.4,660.25,666.2,196714
2017-08-24,667.0,673.7,663.0,667.4,237260
2017-08-28,666.0,684.55,663.0,678.9,374288
2017-08-29,679.85,692.95,675.95,685.65,237247
2017-08-30,691.0,714.65,689.0,693.9,329377
2017-08-31,687.2,698.15,682.1,690.8,339380
2017-09-01,694.5,698.75,689.1,692.6,128310
2017-09-04,687.05,701.0,682.2,696.65,107070
2017-09-05,697.35,729.95,696.75,727.1,857122
2017-09-06,734.9,737.95,716.3,721.45,407054
2017-09-07,726.45,732.3,722.7,730.45,288279
2017-09-08,738.0,738.0,715.3,724.8,398198
2017-09-11,730.0,743.5,725.15,739.2,201014
2017-09-12,739.2,749.0,734.8,742.75,413707
2017-09-13,742.9,764.35,741.25,747.3,485304
2017-09-14,747.55,755.3,738.1,752.4,258793
2017-09-15,733.0,765.05,733.0,749.55,272683
2017-09-18,751.1,758.2,748.0,749.45,114032
2017-09-19,750.0,754.4,730.5,737.25,249431
2017-09-20,738.7,740.0,725.0,733.2,246384
