Date,Open,High,Low,Close,Volume
2016-09-15,115.28,116.05,113.8,115.0,1682230
2016-09-16,115.7,117.88,115.52,116.35,6352343
2016-09-19,116.6,118.68,115.85,118.02,6911820
2016-09-20,118.38,120.38,118.1,119.62,4817121
2016-09-21,119.95,121.78,119.65,120.52,4950237
2016-09-22,121.62,124.22,121.6,123.78,5226742
2016-09-23,123.5,126.0,122.85,124.6,4831767
2016-09-26,125.12,126.48,124.05,124.62,6659954
2016-09-27,125.68,125.7,121.0,122.12,8709831
2016-09-28,120.6,123.4,119.85,122.15,8330442
2016-09-29,124.5,124.5,115.05,116.85,13014500
2016-09-30,116.0,120.7,115.7,120.3,8396600
2016-10-03,121.6,124.4,120.75,123.9,4251909
2016-10-04,124.5,130.5,123.7,129.35,7335093
2016-10-05,130.9,134.5,129.1,133.9,9945886
2016-10-06,134.3,134.65,130.0,131.35,8829256
2016-10-07,131.1,133.5,129.9,131.25,3981421
2016-10-10,131.6,133.4,130.3,131.8,3138374
2016-10-13,131.25,135.0,127.8,130.1,12003483
2016-10-14,130.8,132.6,128.5,130.5,4274475
2016-10-17,131.0,133.1,129.55,131.9,6242175
2016-10-18,132.05,134.85,132.05,134.6,4292518
2016-10-19,135.0,137.2,134.1,135.8,5714013
2016-10-20,136.8,137.8,135.0,135.75,3510383
2016-10-21,136.3,140.0,134.0,139.25,4311292
2016-10-24,139.95,140.9,136.6,137.5,3392963
2016-10-25,137.3,137.9,135.05,137.2,2512649
2016-10-26,135.75,137.2,133.0,134.1,3525701
2016-10-27,133.5,136.4,129.55,135.2,5668233
2016-10-28,135.9,136.0,132.65,134.9,1971018
2016-10-30,135.55,135.6,134.5,134.9,220648
2016-11-01,134.95,135.75,131.55,132.0,3773857
2016-11-02,129.5,130.9,127.4,127.85,3625398
2016-11-03,126.85,129.55,125.05,125.55,2732187
2016-11-04,125.1,125.4,119.5,123.95,6099812
2016-11-07,125.0,128.15,124.95,125.9,3676582
2016-11-08,126.4,127.65,124.8,125.4,3587160
2016-11-09,116.5,130.9,112.9,128.8,9127959
2016-11-10,131.0,138.5,130.75,137.0,7163499
2016-11-11,134.9,137.95,132.05,133.0,5664498
2016-11-15,133.9,134.55,124.65,125.6,8105246
2016-11-16,128.0,130.0,124.7,126.05,3550109
2016-11-17,126.8,132.5,126.25,129.05,7593954
2016-11-18,130.55,133.65,129.25,132.5,4707121
2016-11-21,133.75,133.8,125.15,126.0,5163148
2016-11-22,127.3,130.9,126.35,129.45,6625490
2016-11-23,130.7,134.85,128.5,133.15,4922643
2016-11-24,131.9,134.0,129.25,132.45,9523075
2016-11-25,133.4,139.9,132.9,138.4,7867682
2016-11-28,139.1,139.5,134.55,135.9,5318495
2016-11-29,136.25,139.0,135.6,136.15,3416629
2016-11-30,136.9,140.95,136.2,136.9,13817370
2016-12-01,138.5,138.6,135.1,135.7,3459995
2016-12-02,134.5,135.95,131.8,132.35,3092430
2016-12-05,131.6,134.25,130.4,133.4,3189097
2016-12-06,133.5,135.2,132.7,133.05,2280446
