Date,Open,High,Low,Close,Volume
2016-09-15,215.5,217.0,214.18,214.35,5700
2016-09-16,217.0,217.0,209.2,211.4,14136
2016-09-19,214.25,215.0,208.5,209.62,7527
2016-09-20,210.62,216.5,209.5,213.58,12148
2016-09-21,215.98,216.4,211.58,215.18,15699
2016-09-22,217.0,226.0,215.3,225.38,49613
2016-09-23,227.5,235.0,227.5,232.88,50845
2016-09-26,232.5,232.5,225.4,229.92,28815
2016-09-27,229.5,231.95,225.6,229.78,18951
2016-09-28,229.5,231.5,227.05,230.1,10952
2016-09-29,229.3,234.5,219.0,219.62,13004
2016-09-30,217.5,224.0,217.5,222.48,7238
2016-10-03,226.0,238.5,222.62,233.5,32592
2016-10-04,236.0,237.48,230.25,233.8,17639
2016-10-05,235.98,235.98,228.3,229.55,11135
2016-10-06,228.5,232.48,225.62,226.52,6563
2016-10-07,226.5,227.5,221.7,222.75,4736
2016-10-10,221.02,224.75,220.6,222.7,4868
2016-10-13,216.58,222.5,215.5,219.0,25286
2016-10-14,221.0,223.5,217.82,222.72,8063
2016-10-17,225.98,225.98,219.25,222.02,24916
2016-10-18,222.5,228.5,216.6,217.88,16921
2016-10-19,219.0,221.5,215.0,216.92,13890
2016-10-20,220.0,220.0,217.0,218.0,4324
2016-10-21,218.72,218.9,215.52,216.2,6212
2016-10-24,218.18,218.4,216.0,217.35,5157
2016-10-25,219.45,219.45,214.4,215.65,4514
2016-10-26,219.38,219.38,214.2,215.45,2495
2016-10-27,215.58,217.5,214.5,215.78,3217
2016-10-28,216.98,217.5,212.0,213.15,9143
2016-10-30,214.0,227.0,212.05,218.7,3557
2016-11-01,218.7,219.88,213.6,214.9,7245
2016-11-02,215.5,215.5,210.0,211.22,5871
2016-11-03,214.25,214.25,206.5,208.6,11803
2016-11-04,207.82,208.7,204.05,205.18,12814
2016-11-07,207.0,207.0,202.5,203.22,18649
2016-11-08,203.55,206.5,196.5,201.42,25808
2016-11-09,197.5,202.45,175.0,201.6,31117
2016-11-10,206.5,207.2,200.8,205.4,8731
2016-11-11,205.4,206.0,197.25,200.28,4809
2016-11-15,200.0,204.7,192.5,201.2,39829
2016-11-16,197.5,204.5,197.5,199.92,8178
2016-11-17,205.92,205.92,197.62,200.82,4411
2016-11-18,204.5,204.8,198.52,203.92,7813
2016-11-21,203.92,204.95,180.02,195.05,37002
