Date,Open,High,Low,Close,Volume
2016-09-15,523.5,535.1,523.5,532.5,7170885
2016-09-16,533.5,546.92,529.55,537.78,8988926
2016-09-19,536.28,544.0,535.5,541.2,3812324
2016-09-20,542.0,542.38,534.52,537.1,2635854
2016-09-21,537.0,542.45,534.5,536.12,2501476
2016-09-22,541.5,547.9,539.5,544.48,4288544
2016-09-23,544.5,554.72,544.5,551.4,7105725
2016-09-26,551.7,564.78,550.12,553.6,8734943
2016-09-27,558.5,562.98,553.3,555.25,4428693
2016-09-28,553.95,554.0,543.15,545.33,5673488
2016-09-29,547.5,555.38,533.7,536.22,4859746
2016-09-30,534.0,547.28,533.15,541.85,2560105
2016-10-03,543.5,553.98,538.12,545.35,4143109
2016-10-04,546.52,554.15,546.0,548.17,2997544
2016-10-05,552.0,553.25,542.9,544.7,2466397
2016-10-06,546.0,563.12,546.0,555.4,4825630
2016-10-07,557.0,561.52,553.25,554.5,3492838
2016-10-10,557.0,561.0,547.0,548.17,2640973
2016-10-13,544.5,544.52,526.0,528.58,5014667
2016-10-14,531.5,541.0,530.83,538.83,3489473
2016-10-17,540.0,540.4,529.38,530.33,2246237
2016-10-18,533.0,541.38,531.02,540.55,2531133
2016-10-19,542.22,547.35,540.7,543.67,3902656
2016-10-20,546.98,549.0,542.02,543.78,2314521
2016-10-21,548.5,548.5,529.2,532.1,9968242
2016-10-24,535.0,537.0,530.33,531.65,2403099
2016-10-25,532.5,532.62,527.1,530.42,1750711
2016-10-26,528.02,529.72,526.05,527.02,2502055
2016-10-27,525.55,526.95,521.7,524.35,2935574
2016-10-28,525.0,529.0,521.9,527.48,1857917
2016-10-30,529.38,529.38,523.15,525.6,362170
2016-11-01,525.65,527.98,523.7,525.5,2337011
2016-11-02,520.5,521.42,510.5,511.88,1609225
2016-11-03,511.92,517.38,510.3,511.98,1671371
2016-11-04,510.12,513.45,500.0,502.78,2636911
2016-11-07,507.0,508.28,499.52,500.58,2172921
2016-11-08,502.85,502.85,499.15,501.75,3070346
2016-11-09,475.0,504.5,465.0,502.3,4946573
2016-11-10,509.3,514.48,503.5,505.2,2231907
2016-11-11,498.92,508.75,497.55,500.88,3377392
2016-11-15,498.25,500.0,489.78,492.7,3311592
2016-11-16,497.5,498.4,490.35,493.28,3783226
2016-11-17,493.0,499.08,487.2,488.88,2886635
2016-11-18,492.5,496.35,491.0,493.75,4151928
2016-11-21,493.78,496.78,491.6,495.75,3024712
2016-11-22,498.85,503.9,496.65,500.72,4033660
2016-11-23,502.5,505.25,499.78,504.5,2996248
2016-11-24,502.78,502.78,491.1,493.68,4323375
2016-11-25,495.0,497.95,492.18,496.85,2389829
2016-11-28,496.5,500.3,492.05,493.32,1900161
2016-11-29,494.5,502.15,494.02,498.85,2259609
2016-11-30,499.98,499.98,493.32,495.02,6308004
2016-12-01,500.0,507.5,497.5,498.88,2886513
2016-12-02,497.95,502.5,495.9,497.38,2853045
2016-12-05,497.5,499.85,493.25,496.92,911410
2016-12-06,498.0,503.28,497.3,502.6,1537535
2016-12-07,502.0,503.8,498.18,499.58,1127113
2016-12-08,502.52,510.9,502.18,510.02,2000230
2016-12-09,511.0,515.92,510.15,514.48,1883333
2016-12-12,510.25,520.85,510.25,513.6,2062700
2016-12-13,514.0,520.5,513.78,519.9,2369453
2016-12-14,519.9,532.22,519.1,529.75,5517829
2016-12-15,526.2,533.8,524.33,526.48,4418967
2016-12-16,526.0,531.0,526.0,528.58,3415537
2016-12-19,527.5,533.48,527.17,531.28,3430950
2016-12-20,527.35,530.5,526.58,528.95,2671719
2016-12-21,530.05,533.65,528.6,531.62,4655758
2016-12-22,529.0,531.33,525.48,526.67,6604416
2016-12-23,526.0,534.48,526.0,528.65,2346414
2016-12-26,527.17,533.0,522.33,523.72,3502299
2016-12-27,523.92,533.55,523.5,532.35,3987142
2016-12-28,533.95,534.78,523.55,524.85,2202927
2016-12-29,525.0,534.4,524.75,532.72,2005206
2016-12-30,532.4,542.5,531.55,541.2,3591493
2017-01-02,542.0,545.0,536.17,542.55,1622458
2017-01-03,544.92,548.5,540.55,544.7,1470751
2017-01-04,546.45,546.5,532.15,533.58,2375547
2017-01-05,535.5,539.95,534.38,538.7,1996483
2017-01-06,537.1,542.5,536.55,537.48,1793427
2017-01-09,538.5,543.0,535.5,538.85,1195257
2017-01-10,540.0,547.2,540.0,544.92,2594400
2017-01-11,547.5,547.85,542.0,543.02,2623211
2017-01-12,543.5,545.17,539.9,541.65,999364
2017-01-13,542.28,548.75,542.28,545.2,1653669
2017-01-16,544.98,546.98,536.98,538.12,2746005
2017-01-17,532.5,534.0,519.25,520.62,8968290
2017-01-18,521.3,524.0,514.38,516.28,3627071
2017-01-19,517.58,522.65,515.5,516.85,3493728
2017-01-20,516.98,518.72,511.95,512.9,2008082
2017-01-23,510.9,515.5,506.4,507.95,3133533
2017-01-24,508.5,514.4,508.5,513.65,2153091
2017-01-25,516.0,516.35,508.08,508.65,5453230
2017-01-27,510.12,514.45,509.5,512.55,4997239
2017-01-30,512.48,523.22,512.4,522.4,3583756
2017-01-31,523.42,526.9,520.15,522.6,3457365
2017-02-01,523.05,525.45,517.6,524.83,2585798
2017-02-02,525.0,525.4,519.12,521.75,2079908
2017-02-03,523.0,525.22,515.05,516.83,3021751
2017-02-06,518.5,522.45,516.02,520.83,2283982
2017-02-07,521.0,521.17,513.6,515.45,2264245
2017-02-08,515.45,519.12,511.0,512.58,3710094
2017-02-09,514.0,517.0,513.4,516.38,2254216
2017-02-10,517.5,517.78,512.78,515.08,2861531
2017-02-13,516.5,517.0,511.0,514.92,1957988
2017-02-14,517.5,526.45,514.95,524.9,4170414
2017-02-15,526.45,528.75,522.62,525.65,3482845
2017-02-16,526.28,534.72,526.28,533.75,4492847
2017-02-17,533.25,539.1,529.22,537.75,3393856
2017-02-20,535.28,539.42,533.25,537.7,2663127
2017-02-21,537.6,545.48,536.52,544.1,3242790
2017-02-22,546.5,605.83,546.0,603.75,29103926
2017-02-23,606.8,611.0,589.67,591.38,14229234
2017-02-27,595.25,628.4,595.17,619.45,19068911
2017-02-28,616.0,624.0,614.25,619.02,8254531
2017-03-01,620.05,622.2,615.0,617.25,5574153
2017-03-02,618.95,627.35,613.52,618.38,4129033
2017-03-03,620.78,643.9,620.78,629.28,19270851
2017-03-06,634.5,656.0,632.62,652.67,15252154
2017-03-07,659.42,663.5,648.08,652.48,9616850
2017-03-08,653.85,653.85,643.05,645.6,9906103
2017-03-09,645.0,649.0,640.75,643.38,7107670
2017-03-10,645.12,648.0,630.6,640.83,5665568
2017-03-14,659.38,659.5,642.62,644.75,6346620
2017-03-15,645.52,658.15,645.2,652.48,5510658
2017-03-16,655.0,655.2,646.8,648.83,3639964
2017-03-17,654.0,659.98,649.02,650.35,5195076
2017-03-20,653.0,653.12,639.17,640.4,2941714
2017-03-21,641.1,641.95,629.65,631.9,5165107
2017-03-22,626.0,632.95,623.28,629.85,4638338
2017-03-23,631.58,638.78,629.0,636.65,2699090
2017-03-24,637.05,646.0,634.22,643.38,3721911
2017-03-27,635.55,639.38,623.6,625.55,7418122
2017-03-28,629.0,632.0,621.05,622.88,4961934
2017-03-29,625.85,630.0,616.67,628.33,4325787
2017-03-30,627.5,637.38,626.5,635.33,6368859
2017-03-31,633.0,668.82,633.0,660.45,10375519
2017-04-03,671.0,690.25,668.52,687.32,10260327
2017-04-05,697.6,709.0,690.05,707.5,9217360
2017-04-06,704.5,724.45,701.1,719.25,11571075
2017-04-07,710.65,717.0,701.28,703.3,7286151
2017-04-10,705.0,712.45,688.65,690.68,7033141
2017-04-11,693.92,700.22,685.05,686.18,7371727
2017-04-12,691.4,693.22,675.58,677.0,6274215
2017-04-13,677.0,686.7,673.68,682.4,2906188
2017-04-17,682.5,697.78,682.5,695.92,2705854
2017-04-18,699.98,705.0,683.5,685.1,3661083
2017-04-19,684.5,691.28,678.78,684.4,2645292
2017-04-20,689.5,693.4,682.05,684.78,1918612
2017-04-21,690.25,710.5,689.28,701.25,6910277
2017-04-24,704.52,717.5,700.1,708.7,5831731
2017-04-25,730.0,733.88,713.05,716.4,8403704
2017-04-26,717.5,720.02,701.3,708.22,3831775
2017-04-27,708.5,712.08,701.1,704.75,2873655
2017-04-28,704.88,710.15,695.5,697.6,2708404
2017-05-02,701.0,701.0,683.15,685.28,4249684
2017-05-03,688.45,690.38,682.5,685.05,2171549
2017-05-04,687.5,689.8,677.02,678.98,3283811
2017-05-05,680.8,683.68,662.5,664.12,3565543
2017-05-08,665.0,669.75,659.18,660.7,3672585
2017-05-09,662.0,666.82,660.12,665.18,4824511
2017-05-10,667.4,681.8,665.32,679.55,5235932
2017-05-11,682.05,684.88,675.82,679.78,3150756
2017-05-12,680.02,682.0,672.02,675.22,1719729
2017-05-15,678.2,678.2,666.75,672.05,1540213
2017-05-16,673.02,688.45,670.5,678.15,2892947
2017-05-17,676.5,682.98,673.88,676.55,2250304
2017-05-18,670.12,675.0,662.05,663.68,2237916
2017-05-19,666.5,667.85,655.0,659.42,2928883
2017-05-22,663.25,666.8,657.6,662.08,2011859
2017-05-23,662.85,664.92,651.0,652.78,2108223
2017-05-24,653.75,656.85,647.55,648.85,3274804
2017-05-25,650.0,656.2,648.22,651.22,5925335
2017-05-26,651.98,672.2,650.0,668.65,4898639
2017-05-29,668.5,682.72,667.8,678.45,5491170
2017-05-30,677.95,682.35,674.25,679.68,2207727
2017-05-31,683.5,683.98,667.9,670.35,3754099
2017-06-01,666.35,670.0,661.5,664.12,2179328
2017-06-02,667.5,669.35,658.5,662.38,2627565
2017-06-05,663.12,670.5,657.92,664.68,2476706
2017-06-06,666.98,666.98,655.5,656.4,2192356
2017-06-07,655.6,671.0,654.5,669.5,2559954
2017-06-08,670.0,672.4,664.02,665.85,1806521
2017-06-09,672.55,676.48,665.5,667.85,3162802
2017-06-12,663.28,664.88,658.5,659.72,1927513
2017-06-13,660.3,663.5,655.5,657.18,1377291
2017-06-14,657.95,680.0,657.95,678.75,12101027
2017-06-15,680.0,697.5,679.55,691.98,6466804
2017-06-16,694.55,697.9,684.65,694.4,7477157
2017-06-19,695.1,707.9,695.1,704.62,3482912
2017-06-20,704.5,711.05,703.72,706.18,2318399
2017-06-21,703.9,714.0,702.12,711.0,4569943
2017-06-22,714.72,722.7,713.85,716.32,5055942
2017-06-23,718.0,721.0,715.3,717.92,7118832
2017-06-27,716.0,721.5,712.5,718.58,7449878
2017-06-28,719.98,719.98,697.78,699.25,3558538
2017-06-29,700.0,705.0,695.05,696.35,2948322
2017-06-30,696.0,696.2,687.52,690.0,1786211
2017-07-03,694.1,697.35,685.5,690.52,2101886
2017-07-04,695.0,713.55,694.5,710.98,4301200
2017-07-05,714.72,723.72,712.0,721.32,6219522
2017-07-06,724.35,725.0,719.0,721.28,3106517
2017-07-07,721.5,748.88,720.0,745.58,8193635
2017-07-10,765.0,775.0,744.55,746.42,815433
2017-07-11,750.5,752.2,743.5,747.18,4799229
2017-07-12,749.7,762.5,748.75,755.55,3909797
2017-07-13,754.38,762.5,753.08,761.05,5259759
2017-07-14,760.0,768.0,757.78,766.88,4693011
2017-07-17,768.5,779.8,768.5,775.88,4285809
2017-07-18,773.4,775.9,755.5,759.95,4489412
2017-07-19,756.3,769.0,756.3,766.48,2695041
2017-07-20,769.88,775.0,761.85,764.45,3114686
2017-07-21,775.0,795.85,772.48,792.5,22205112
2017-07-24,800.0,812.45,792.5,807.62,9927229
2017-07-25,812.35,812.48,798.8,801.08,4586079
2017-07-26,802.1,814.95,800.55,811.38,5018389
2017-07-27,814.0,815.75,794.18,797.4,4208071
2017-07-28,795.62,802.98,789.0,797.22,3276023
2017-07-31,800.98,809.4,798.0,807.6,3787034
2017-08-01,811.38,811.38,795.75,801.8,2814298
2017-08-02,805.0,817.85,804.05,814.6,4751385
2017-08-03,813.42,832.45,808.52,825.05,4504776
2017-08-04,831.5,831.5,807.55,811.08,4247045
2017-08-07,815.8,815.8,806.28,808.18,2180018
2017-08-08,809.0,810.52,793.4,801.28,2505568
2017-08-09,800.75,810.0,792.5,799.4,2385643
2017-08-10,796.52,803.32,788.98,792.18,2328843
2017-08-11,775.48,790.0,766.5,773.12,3885064
2017-08-14,780.5,792.25,780.5,786.52,3072299
2017-08-16,786.0,788.0,775.1,783.05,3103394
2017-08-17,784.5,798.82,780.58,783.55,3618179
2017-08-18,782.0,788.9,776.58,787.7,1814011
2017-08-21,788.5,792.08,780.12,782.2,1731188
2017-08-22,786.0,789.95,778.02,780.02,2179230
2017-08-23,782.42,793.28,776.58,791.02,1901824
2017-08-24,795.0,796.55,782.25,784.02,2892571
2017-08-28,789.52,790.98,780.6,783.28,2815328
2017-08-29,780.92,783.75,765.0,766.08,3466421
2017-08-30,773.78,784.4,770.62,782.05,2362387
2017-08-31,787.5,798.72,787.0,797.25,5738495
2017-09-01,799.92,808.3,799.5,805.05,3527477
2017-09-04,807.75,818.08,797.92,806.68,4928375
2017-09-05,815.0,817.42,810.52,816.3,5764131
2017-09-06,813.2,826.25,811.4,822.7,11142512
2017-09-07,823.0,832.5,815.0,818.1,7408536
2017-09-08,820.0,823.25,812.1,816.9,6056729
2017-09-11,821.3,826.85,816.55,817.9,5801712
2017-09-12,822.75,825.0,817.0,823.75,2971669
2017-09-13,824.0,859.9,822.0,849.0,13430225
2017-09-14,855.8,861.5,842.0,843.85,5425486
2017-09-15,842.0,852.85,834.75,841.8,13072853
2017-09-18,850.0,851.05,843.1,845.55,2314174
2017-09-19,848.7,848.75,837.0,838.6,3528729
2017-09-20,856.1,872.5,845.1,847.15,11402965
2017-09-21,847.0,851.7,836.25,841.35,5920552
2017-09-22,839.9,839.9,813.2,817.4,5620443
2017-09-25,815.0,827.95,805.2,821.55,6505309
2017-09-26,821.7,827.05,812.2,820.1,4829571
2017-09-27,825.6,825.7,795.5,799.15,8434196
2017-09-28,799.65,802.9,780.2,786.45,13508179
2017-09-29,791.75,793.4,779.1,780.9,7619230
2017-10-03,795.0,803.85,785.35,798.35,8387059
2017-10-04,799.2,824.95,795.6,818.85,8643924
2017-10-05,825.0,828.45,818.65,824.15,4860479
2017-10-06,824.0,839.35,822.6,837.05,5942106
2017-10-09,839.0,839.8,828.0,830.65,4046109
2017-10-10,831.0,847.3,831.0,843.2,6734986
2017-10-11,845.3,858.4,836.0,840.15,7049800
2017-10-12,842.1,876.8,842.1,872.75,8522926
2017-10-13,879.3,890.7,873.35,876.45,9833512
2017-10-16,879.0,892.0,861.3,876.8,14633539
2017-10-17,878.0,884.0,867.2,874.35,6354084
2017-10-18,877.4,917.9,875.0,914.5,16765178
2017-10-19,915.8,921.9,903.0,909.9,3664082
2017-10-23,912.9,944.7,909.1,939.75,12551649
2017-10-24,947.7,947.7,928.2,934.25,6335308
2017-10-25,940.1,945.9,929.5,939.9,4577050
2017-10-26,940.0,957.8,931.0,947.4,7698704
2017-10-27,950.0,956.7,925.7,929.85,5256749
2017-10-30,934.0,945.55,930.6,942.5,3576533
2017-10-31,944.95,945.75,932.2,940.85,4345360
2017-11-01,947.75,957.8,945.75,952.55,8033040
2017-11-02,952.8,956.5,944.25,946.6,4698609
2017-11-03,955.95,955.95,940.15,945.3,2193730
2017-11-06,942.5,942.5,929.0,932.5,4460799
2017-11-07,933.35,935.0,903.05,906.7,9347943
2017-11-08,902.5,906.0,884.1,887.8,8115980
2017-11-09,894.75,909.9,892.05,900.5,6860798
2017-11-10,900.95,900.95,879.2,883.85,6365174
2017-11-13,885.0,891.9,873.5,875.25,4155011
2017-11-14,875.0,895.0,873.0,886.7,5706105
2017-11-15,884.5,890.6,877.95,883.7,6981872
2017-11-16,885.5,906.0,885.5,903.85,6931038
2017-11-17,918.95,924.9,908.5,911.9,5586242
2017-11-20,906.2,924.35,905.0,920.85,4220192
2017-11-21,926.8,939.65,925.5,932.55,5980763
2017-11-22,937.45,938.65,923.45,930.75,5055490
2017-11-23,931.0,949.9,926.65,947.0,7329126
2017-11-24,950.0,959.5,947.4,951.1,6394443
2017-11-27,947.25,957.5,944.0,951.35,4680074
2017-11-28,949.85,951.35,938.1,943.35,4641893
2017-11-29,941.85,950.0,941.0,946.0,3674864
2017-11-30,941.45,941.45,919.5,921.55,9434893
2017-12-01,924.45,931.25,907.7,910.1,5081389
2017-12-04,913.5,913.8,897.35,901.6,4618847
2017-12-05,901.05,920.75,895.45,913.7,8369174
2017-12-06,910.0,930.3,908.8,926.65,11007689
2017-12-07,930.05,936.0,923.0,931.55,5529565
2017-12-08,933.85,936.95,919.05,921.0,5588486
2017-12-11,922.45,926.0,913.55,916.15,4933853
2017-12-12,915.95,929.0,908.0,915.6,7215014
2017-12-13,916.9,924.95,910.7,914.65,4182097
2017-12-14,919.0,924.9,908.75,921.5,5021130
2017-12-15,931.0,932.95,917.7,919.75,11158706
2017-12-18,911.95,932.65,862.65,921.0,8494801
2017-12-19,923.6,927.0,920.0,925.95,4064982
2017-12-20,925.9,927.4,917.0,918.15,4774414
2017-12-21,918.45,923.95,910.0,912.95,4147162
2017-12-22,914.65,922.4,909.3,920.4,4872675
2017-12-26,924.85,938.9,918.15,929.8,5301456
2017-12-27,933.0,937.5,919.0,923.75,4352384
2017-12-28,925.25,934.4,919.1,924.2,7091515
2017-12-29,926.5,932.3,918.5,921.05,5069838
2018-01-01,922.7,922.7,907.5,909.75,4321686
2018-01-02,913.0,919.55,906.4,911.15,4342815
2018-01-03,925.0,926.0,913.05,914.8,6175312
2018-01-04,918.15,921.8,915.7,920.3,4118581
2018-01-05,921.8,926.9,920.25,923.25,3401905
2018-01-08,926.1,931.0,923.5,928.55,4035417
2018-01-09,928.15,943.9,924.0,940.95,6534997
2018-01-10,943.0,947.4,935.5,942.35,5361502
2018-01-11,941.8,942.65,935.0,937.75,3588727
2018-01-12,943.0,952.8,938.25,949.0,6890028
2018-01-15,950.0,958.5,945.2,949.15,5084113
2018-01-16,947.7,947.7,920.0,922.95,4948895
