Date,Open,High,Low,Close,Volume
2016-09-15,1250.0,1258.7,1242.6,1250.05,99852
2016-09-16,1254.1,1266.0,1249.8,1258.4,232662
2016-09-19,1267.0,1268.3,1246.85,1264.1,174759
2016-09-20,1263.0,1263.9,1242.0,1247.4,89308
2016-09-21,1234.65,1278.85,1234.65,1262.25,264414
2016-09-22,1271.1,1273.95,1247.0,1262.35,170899
2016-09-23,1262.35,1280.0,1255.0,1275.95,197487
2016-09-26,1273.95,1285.35,1265.2,1271.9,129438
2016-09-27,1274.0,1286.9,1272.4,1280.9,286306
2016-09-28,1280.0,1291.4,1271.2,1288.55,178648
2016-09-29,1291.0,1299.95,1202.15,1217.8,354738
2016-09-30,1233.95,1250.0,1212.5,1240.3,173806
2016-10-03,1246.95,1261.75,1239.35,1255.8,167013
2016-10-04,1255.0,1260.55,1247.1,1257.1,155421
2016-10-05,1261.3,1268.95,1248.1,1261.4,185669
2016-10-06,1263.1,1267.0,1235.45,1244.65,101012
2016-10-07,1243.7,1249.0,1235.0,1243.1,71008
2016-10-10,1246.0,1247.7,1231.25,1239.25,78032
2016-10-13,1232.0,1244.0,1220.0,1225.5,135622
2016-10-14,1230.0,1232.0,1213.2,1227.3,68638
2016-10-17,1227.5,1236.75,1203.6,1209.5,63112
2016-10-18,1212.0,1237.9,1203.65,1229.85,106556
2016-10-19,1236.9,1237.2,1222.5,1229.2,92782
2016-10-20,1235.0,1236.4,1218.0,1220.2,92074
2016-10-21,1223.0,1231.7,1217.15,1228.1,47006
2016-10-24,1226.5,1231.55,1209.05,1211.45,96563
2016-10-25,1214.0,1219.75,1205.55,1212.3,57669
2016-10-26,1207.9,1211.2,1186.8,1196.5,92259
2016-10-27,1190.1,1197.1,1152.5,1175.65,179962
2016-10-28,1175.0,1191.6,1169.05,1183.7,56067
2016-10-30,1185.9,1192.0,1180.0,1187.4,19878
2016-11-01,1195.0,1196.15,1158.65,1164.6,88578
2016-11-02,1164.6,1175.0,1151.25,1158.35,121732
2016-11-03,1157.0,1164.0,1125.0,1133.45,141033
2016-11-04,1131.4,1132.8,1107.0,1110.4,118893
2016-11-07,1116.9,1128.95,1101.95,1107.15,108211
