Date,Open,High,Low,Close,Volume
2016-09-15,1655.0,1677.9,1635.5,1640.3,118371
2016-09-16,1650.0,1685.0,1612.85,1624.9,317481
2016-09-19,1630.0,1649.0,1625.0,1636.2,85229
2016-09-20,1635.0,1644.7,1623.0,1626.45,59262
2016-09-21,1626.0,1630.05,1597.0,1609.4,92222
2016-09-22,1630.0,1650.0,1616.05,1624.2,88903
2016-09-23,1644.8,1800.0,1628.8,1787.85,1428246
2016-09-26,1779.0,1811.0,1762.9,1787.6,574713
2016-09-27,1791.2,1824.8,1758.25,1766.5,568101
2016-09-28,1773.1,1809.0,1772.1,1795.55,203241
2016-09-29,1807.0,1823.15,1670.0,1752.8,406675
2016-09-30,1752.05,1785.0,1745.35,1777.7,197869
2016-10-03,1790.0,1925.0,1775.1,1908.4,572860
2016-10-04,1919.0,1927.95,1855.4,1866.9,276290
2016-10-05,1876.7,1970.0,1873.1,1924.45,853189
2016-10-06,1937.5,1946.3,1872.0,1890.45,355072
2016-10-07,1898.8,1945.6,1880.0,1893.9,394783
2016-10-10,1910.0,1927.75,1890.0,1896.3,185931
2016-10-13,1894.8,1899.0,1850.6,1876.2,193400
2016-10-14,1889.0,1894.0,1863.05,1870.1,119367
2016-10-17,1877.0,1889.95,1815.7,1839.75,157446
2016-10-18,1838.9,1878.3,1824.65,1870.5,182707
2016-10-19,1871.2,1884.9,1845.0,1870.05,134698
2016-10-20,1870.5,1937.7,1861.1,1924.85,361719
2016-10-21,1929.0,1958.4,1903.2,1913.6,358333
2016-10-24,1930.35,1930.35,1878.05,1882.9,130654
2016-10-25,1881.0,1893.35,1865.6,1875.2,92395
2016-10-26,1878.0,1880.0,1837.85,1847.75,62079
2016-10-27,1844.0,1854.0,1790.55,1809.75,139338
2016-10-28,1810.0,1846.4,1805.15,1820.95,116308
2016-10-30,1829.8,1840.9,1820.5,1826.5,13462
2016-11-01,1835.7,1850.0,1807.6,1813.6,65441
2016-11-02,1795.05,1800.0,1722.45,1735.25,131560
2016-11-03,1712.25,1777.0,1712.25,1738.15,120266
2016-11-04,1751.0,1751.0,1651.5,1703.4,212470
2016-11-07,1729.0,1739.15,1705.0,1719.0,294130
2016-11-08,1735.0,1765.0,1720.0,1743.9,167138
2016-11-09,1572.6,1730.25,1572.6,1706.5,252535
2016-11-10,1750.0,1784.0,1732.0,1751.2,139459
2016-11-11,1740.0,1749.05,1680.0,1690.55,141318
2016-11-15,1666.0,1666.2,1599.85,1616.0,411882
2016-11-16,1640.0,1678.05,1516.05,1524.8,310529
2016-11-17,1506.1,1519.0,1415.0,1463.05,723859
2016-11-18,1472.0,1472.0,1351.0,1426.15,682876
2016-11-21,1426.25,1499.0,1404.6,1435.05,705022
2016-11-22,1454.95,1468.8,1415.45,1437.6,214472
2016-11-23,1454.0,1476.8,1442.0,1464.5,218892
2016-11-24,1457.0,1481.0,1437.15,1452.0,228539
2016-11-25,1465.0,1548.9,1456.15,1529.95,298435
2016-11-28,1540.0,1555.2,1521.1,1528.45,295674
2016-11-29,1539.8,1564.8,1525.65,1543.15,159087
2016-11-30,1556.0,1616.8,1548.55,1574.95,338785
2016-12-01,1581.4,1591.6,1546.0,1582.75,188928
2016-12-02,1575.0,1576.0,1515.0,1528.5,177390
2016-12-05,1517.85,1542.05,1501.0,1535.05,451807
2016-12-06,1542.0,1558.65,1519.0,1525.1,83730
2016-12-07,1533.55,1549.0,1501.05,1513.9,130507
2016-12-08,1528.0,1574.3,1516.95,1540.2,311445
2016-12-09,1554.5,1554.5,1521.1,1534.7,121949
2016-12-12,1533.9,1546.0,1499.55,1518.35,139083
2016-12-13,1533.0,1546.0,1517.0,1524.5,160849
2016-12-14,1525.55,1552.6,1520.1,1526.1,295299
2016-12-15,1505.2,1537.75,1505.2,1509.25,108022
2016-12-16,1522.6,1522.6,1491.1,1507.45,126112
2016-12-19,1514.0,1522.0,1505.0,1508.4,60083
2016-12-20,1510.55,1514.9,1475.55,1480.9,125964
2016-12-21,1492.0,1504.7,1450.4,1484.6,190733
2016-12-22,1472.0,1498.7,1472.0,1484.9,165029
2016-12-23,1487.0,1511.75,1483.2,1493.95,187208
2016-12-26,1490.0,1490.0,1451.0,1459.35,118026
2016-12-27,1460.0,1521.0,1444.0,1511.0,184190
2016-12-28,1516.0,1534.4,1496.45,1502.75,180202
2016-12-29,1502.0,1535.0,1485.5,1528.45,249609
2016-12-30,1529.0,1554.65,1527.9,1546.45,97273
2017-01-02,1550.0,1564.0,1531.15,1558.4,96634
2017-01-03,1559.85,1573.0,1545.6,1550.2,112184
2017-01-04,1553.2,1572.0,1540.0,1549.45,97995
2017-01-05,1549.45,1595.0,1548.05,1584.5,158877
2017-01-06,1588.0,1613.5,1560.0,1565.25,163558
2017-01-09,1565.3,1582.95,1552.95,1570.55,77182
2017-01-10,1572.25,1588.0,1566.4,1576.0,59099
2017-01-11,1581.0,1659.0,1578.55,1652.05,448570
2017-01-12,1660.0,1665.0,1615.5,1634.7,260212
2017-01-13,1637.85,1648.25,1608.0,1620.25,109975
2017-01-16,1620.3,1642.0,1612.0,1624.3,125155
2017-01-17,1639.85,1705.75,1637.65,1655.95,776537
2017-01-18,1656.9,1679.9,1646.6,1656.15,207143
2017-01-19,1656.15,1675.0,1647.05,1668.85,145266
2017-01-20,1670.0,1692.95,1638.7,1644.3,281903
2017-01-23,1643.75,1663.0,1635.1,1653.15,117331
2017-01-24,1654.95,1676.0,1628.35,1665.0,168044
2017-01-25,1668.2,1715.0,1655.1,1709.7,315277
2017-01-27,1710.0,1760.0,1696.1,1706.9,204007
2017-01-30,1706.0,1715.0,1683.75,1691.0,110820
2017-01-31,1691.0,1745.0,1688.0,1715.3,266527
2017-02-01,1728.95,1728.95,1678.3,1700.35,190698
2017-02-02,1700.35,1729.0,1687.0,1703.45,145755
2017-02-03,1702.4,1719.9,1687.7,1698.0,123121
2017-02-06,1706.0,1738.0,1705.45,1730.9,167735
2017-02-07,1738.5,1783.6,1738.5,1751.6,331329
2017-02-08,1766.0,1772.95,1746.25,1758.75,122570
2017-02-09,1760.65,1772.0,1732.7,1743.4,113069
2017-02-10,1744.0,1768.9,1734.7,1752.05,135452
2017-02-13,1715.0,1737.6,1552.0,1600.7,1217033
2017-02-14,1603.0,1633.95,1567.8,1583.85,514438
2017-02-15,1583.85,1600.0,1520.1,1529.25,309504
2017-02-16,1535.0,1553.55,1506.15,1542.6,371440
2017-02-17,1550.0,1601.6,1530.0,1591.0,376028
2017-02-20,1592.0,1617.85,1576.0,1600.35,296088
2017-02-21,1600.0,1618.55,1595.45,1605.3,96869
2017-02-22,1606.9,1614.4,1568.0,1573.0,98138
2017-02-23,1575.0,1585.9,1547.0,1552.2,205186
2017-02-27,1548.5,1574.0,1548.5,1552.2,227346
2017-02-28,1559.0,1565.0,1551.0,1556.15,55498
2017-03-01,1556.95,1571.4,1542.1,1550.0,123405
2017-03-02,1555.05,1617.0,1552.0,1573.3,352871
2017-03-03,1567.7,1582.4,1558.05,1573.55,111527
2017-03-06,1574.7,1594.6,1555.65,1581.2,116468
2017-03-07,1580.0,1603.9,1578.55,1588.85,120254
2017-03-08,1588.85,1592.95,1561.4,1567.35,129614
2017-03-09,1565.1,1583.95,1562.05,1576.2,107486
2017-03-10,1576.0,1590.0,1556.3,1565.0,131756
2017-03-14,1589.9,1591.95,1570.0,1571.55,114354
2017-03-15,1568.0,1581.85,1563.05,1566.85,154031
2017-03-16,1574.1,1629.9,1570.3,1621.4,319535
2017-03-17,1630.0,1640.55,1602.8,1615.1,569571
2017-03-20,1620.1,1646.4,1610.25,1616.25,181190
2017-03-21,1627.7,1634.15,1590.0,1602.15,149186
2017-03-22,1597.0,1624.05,1560.0,1582.95,264180
2017-03-23,1584.95,1600.7,1577.05,1590.75,123992
2017-03-24,1590.75,1603.9,1588.35,1591.15,135222
2017-03-27,1602.7,1640.45,1589.95,1601.9,372287
2017-03-28,1601.9,1619.9,1591.8,1598.55,184340
2017-03-29,1600.0,1619.95,1593.35,1600.7,88913
2017-03-30,1602.45,1622.8,1580.0,1604.1,226374
2017-03-31,1605.85,1638.9,1602.55,1627.15,203767
2017-04-03,1631.9,1674.45,1630.0,1662.05,282430
2017-04-05,1670.0,1682.95,1647.15,1652.95,280360
2017-04-06,1655.0,1667.85,1636.0,1647.75,190860
2017-04-07,1650.0,1658.9,1631.6,1637.1,179539
2017-04-10,1642.0,1655.0,1624.7,1632.7,198982
2017-04-11,1635.0,1644.7,1628.0,1638.2,145766
2017-04-12,1642.0,1668.05,1625.0,1646.95,224242
2017-04-13,1650.0,1700.0,1642.0,1693.35,404798
2017-04-17,1706.35,1717.65,1693.95,1704.5,180964
2017-04-18,1714.0,1724.4,1634.0,1649.3,181124
2017-04-19,1662.45,1683.45,1636.55,1676.15,158787
2017-04-20,1680.0,1722.05,1675.85,1711.1,193236
2017-04-21,1712.0,1723.0,1688.55,1699.65,119931
2017-04-24,1705.0,1732.9,1695.9,1714.45,221772
2017-04-25,1719.7,1745.0,1710.05,1732.9,261003
2017-04-26,1735.0,1771.4,1730.35,1748.95,328283
2017-04-27,1750.0,1824.95,1745.05,1793.95,489924
2017-04-28,1800.1,1809.55,1761.6,1771.4,129113
2017-05-02,1780.9,1799.8,1756.9,1768.6,132513
2017-05-03,1779.9,1793.0,1765.35,1773.15,101466
2017-05-04,1772.1,1786.35,1739.7,1749.1,89584
2017-05-05,1767.4,1785.0,1744.7,1757.25,109111
2017-05-08,1759.15,1774.0,1731.5,1739.35,76182
2017-05-09,1750.0,1775.0,1736.05,1761.6,83855
2017-05-10,1769.2,1788.95,1713.9,1779.7,119076
2017-05-11,1797.95,1817.95,1767.05,1776.95,143410
2017-05-12,1785.0,1795.0,1755.0,1766.8,71168
2017-05-15,1767.0,1810.0,1767.0,1802.2,114845
2017-05-16,1790.2,1850.0,1790.2,1841.35,264205
2017-05-17,1845.0,1859.0,1815.85,1831.8,132462
2017-05-18,1832.0,1842.0,1761.0,1777.8,159614
2017-05-19,1785.9,1808.0,1732.0,1738.65,180610
2017-05-22,1754.5,1773.0,1700.5,1707.1,130389
2017-05-23,1689.4,1689.4,1594.15,1611.9,537896
2017-05-24,1606.0,1620.0,1579.1,1588.35,236385
2017-05-25,1614.95,1625.7,1583.25,1617.05,172240
2017-05-26,1619.1,1671.0,1607.1,1661.3,171025
2017-05-29,1663.1,1702.6,1603.4,1608.9,137266
2017-05-30,1615.0,1635.0,1590.0,1630.1,111725
2017-05-31,1634.0,1644.8,1616.0,1634.0,72631
2017-06-01,1637.0,1642.1,1622.65,1627.7,64132
2017-06-02,1647.95,1648.0,1626.75,1643.7,44597
2017-06-05,1654.0,1670.0,1645.15,1661.15,50196
2017-06-06,1665.0,1670.0,1622.5,1629.5,55530
2017-06-07,1630.0,1650.0,1625.0,1640.05,65961
2017-06-08,1640.05,1697.35,1635.0,1688.4,200372
2017-06-09,1690.5,1696.0,1665.0,1672.75,64024
2017-06-12,1665.0,1680.0,1630.1,1635.95,76992
2017-06-13,1645.95,1665.95,1632.5,1652.95,125235
2017-06-14,1652.0,1662.15,1623.0,1631.8,103250
2017-06-15,1631.8,1635.2,1607.4,1623.25,180013
2017-06-16,1620.05,1653.25,1620.05,1631.75,71973
2017-06-19,1631.75,1641.75,1626.15,1633.05,38103
2017-06-20,1638.0,1649.6,1624.0,1628.85,57787
2017-06-21,1618.0,1648.0,1618.0,1632.7,83515
2017-06-22,1632.7,1646.0,1620.0,1625.45,76192
2017-06-23,1628.0,1631.9,1570.0,1591.65,133679
2017-06-27,1594.95,1597.0,1533.5,1537.45,130375
2017-06-28,1536.0,1545.0,1503.1,1514.95,88181
2017-06-29,1514.95,1547.45,1514.95,1534.15,110429
