Date,Open,High,Low,Close,Volume
2016-09-15,1155.9,1157.8,1131.4,1146.25,499203
2016-09-16,1162.0,1165.0,1126.1,1133.55,926737
2016-09-19,1133.55,1145.55,1116.65,1130.2,724353
2016-09-20,1140.0,1157.4,1118.6,1139.8,593780
2016-09-21,1148.0,1160.6,1131.55,1141.45,772381
2016-09-22,1157.0,1192.9,1154.3,1186.85,1537859
2016-09-23,1197.0,1214.45,1179.9,1186.75,1235954
2016-09-26,1185.0,1195.9,1150.0,1159.55,415799
2016-09-27,1162.6,1167.2,1138.9,1147.95,477276
2016-09-28,1150.1,1185.2,1150.1,1179.9,400361
2016-09-29,1185.45,1197.4,1102.15,1123.5,733919
2016-09-30,1123.0,1170.0,1122.3,1162.65,508298
2016-10-03,1173.7,1230.0,1150.0,1219.15,703820
2016-10-04,1222.7,1235.0,1201.55,1213.35,495379
2016-10-05,1214.0,1242.0,1207.5,1232.2,453929
2016-10-06,1233.0,1255.0,1197.35,1206.4,770141
2016-10-07,1206.4,1219.1,1184.4,1191.0,596362
2016-10-10,1202.35,1203.95,1175.5,1178.05,205380
2016-10-13,1169.4,1169.4,1139.9,1151.3,449932
2016-10-14,1155.0,1161.9,1142.8,1156.95,486687
2016-10-17,1152.3,1168.15,1123.8,1131.5,457011
2016-10-18,1132.0,1159.95,1112.3,1153.75,799939
2016-10-19,1163.0,1175.0,1133.85,1141.7,638906
2016-10-20,1155.0,1159.5,1132.8,1139.45,1019974
2016-10-21,1135.5,1155.0,1132.3,1151.45,384834
2016-10-24,1158.5,1170.0,1148.4,1154.6,487344
2016-10-25,1154.2,1164.0,1143.1,1157.15,482804
2016-10-26,1155.3,1155.3,1119.6,1127.95,695243
2016-10-27,1129.0,1129.0,1081.05,1091.05,624831
2016-10-28,1085.0,1109.5,1069.0,1079.8,602676
2016-10-30,1080.0,1090.6,1079.7,1085.45,27390
2016-11-01,1081.25,1098.55,1050.1,1053.75,572547
2016-11-02,1049.0,1067.9,1034.05,1062.95,882644
2016-11-03,1052.5,1075.0,1041.1,1046.65,470281
2016-11-04,1047.1,1055.05,1015.05,1030.85,450783
2016-11-07,1039.15,1061.8,1018.55,1035.05,369956
2016-11-08,1038.95,1065.6,1037.95,1056.45,537350
2016-11-09,1010.0,1010.0,845.2,987.95,1610601
2016-11-10,1000.0,1037.55,958.6,966.45,1624320
2016-11-11,956.4,956.4,822.45,882.05,2433820
2016-11-15,896.0,896.0,805.0,837.4,2232043
2016-11-16,860.0,885.95,841.1,852.2,1349980
2016-11-17,858.95,884.95,837.45,845.05,1546576
2016-11-18,847.0,855.45,828.25,831.75,928369
2016-11-21,839.85,839.85,795.0,828.55,1350735
2016-11-22,845.0,852.95,805.5,825.5,545788
2016-11-23,839.95,858.95,817.0,852.35,1341405
2016-11-24,851.75,882.95,844.05,871.65,1681771
