Date,Open,High,Low,Close,Volume
2016-09-15,784.0,792.6,782.15,786.35,1479337
2016-09-16,790.05,794.0,781.25,783.8,2303954
2016-09-19,784.55,789.7,780.55,782.5,1283403
2016-09-20,785.0,786.6,777.0,778.75,2078649
2016-09-21,782.0,784.5,776.35,778.85,1572757
2016-09-22,786.05,788.85,783.3,786.75,1730313
2016-09-23,790.1,790.75,778.0,780.05,1768021
2016-09-26,781.0,784.25,764.6,766.15,2308824
2016-09-27,766.5,776.9,766.15,770.15,1556490
2016-09-28,766.2,773.75,763.4,764.8,2342694
2016-09-29,769.0,770.0,732.0,735.85,5321213
2016-09-30,739.95,745.0,735.1,742.7,2051308
2016-10-03,750.0,761.0,750.0,757.05,1856097
2016-10-04,762.0,773.0,759.25,764.3,2557812
2016-10-05,768.5,768.5,757.3,759.45,1847125
2016-10-06,765.0,766.55,750.1,752.9,1755184
2016-10-07,756.0,756.2,748.8,751.2,1554398
2016-10-10,752.95,758.0,750.0,755.45,1365905
2016-10-13,749.2,753.9,735.1,739.7,2996697
2016-10-14,740.9,747.0,737.4,745.5,1849542
2016-10-17,747.3,747.4,732.0,733.95,1510291
2016-10-18,735.95,745.3,735.5,743.5,1901132
2016-10-19,748.4,759.0,747.05,750.25,2267328
2016-10-20,754.75,755.9,742.95,745.5,1360596
2016-10-21,747.0,749.0,740.55,747.75,1807639
2016-10-24,749.9,753.7,745.25,747.15,1014731
2016-10-25,749.1,759.0,746.25,747.4,1924646
2016-10-26,749.0,749.0,736.1,738.7,1206610
2016-10-27,742.0,750.7,737.2,746.9,2686399
2016-10-28,747.0,752.0,741.95,743.4,1900094
2016-10-30,749.0,750.0,747.0,748.1,276367
2016-11-01,749.0,749.0,732.1,733.75,2566651
2016-11-02,732.8,732.8,713.1,714.05,3286334
2016-11-03,714.0,717.0,700.4,703.65,4374269
2016-11-04,679.9,679.9,647.1,651.5,17908933
2016-11-07,676.0,677.0,653.0,654.9,6663505
2016-11-08,660.0,663.05,632.3,635.4,9896681
2016-11-09,600.0,669.15,571.9,660.75,14963330
2016-11-10,680.0,693.6,664.1,666.2,9357587
2016-11-11,690.0,708.0,680.0,688.0,13184334
2016-11-15,697.95,705.55,674.65,682.45,5816519
2016-11-16,691.0,694.75,660.0,667.4,4722902
2016-11-17,668.75,681.35,660.0,669.25,3756250
2016-11-18,671.5,692.5,662.05,688.85,6150792
2016-11-21,692.0,697.1,676.05,690.35,5090705
2016-11-22,699.0,699.4,685.0,689.9,3359143
2016-11-23,696.0,704.9,691.05,701.3,4496512
2016-11-24,699.5,699.5,680.0,682.5,3783616
2016-11-25,689.5,717.0,685.1,714.15,4410579
2016-11-28,713.65,720.2,710.05,715.15,2607872
2016-11-29,719.9,721.5,702.0,706.5,3674024
2016-11-30,710.9,719.5,706.3,709.8,4359468
2016-12-01,709.8,724.5,707.0,721.5,2796906
2016-12-02,719.3,730.95,716.1,720.35,3163480
2016-12-05,722.0,725.0,710.35,713.1,2946490
2016-12-06,716.55,721.7,704.15,706.15,2939600
2016-12-07,700.0,700.0,660.0,664.0,12922300
2016-12-08,664.0,679.6,658.85,675.7,6865033
2016-12-09,678.0,682.8,671.25,673.0,3298719
2016-12-12,673.2,681.9,670.0,676.4,2155130
2016-12-13,676.0,685.7,666.55,684.35,4508196
2016-12-14,685.95,692.65,675.0,678.4,3202343
2016-12-15,672.8,673.6,645.0,649.95,9539189
2016-12-16,650.85,651.9,633.6,647.35,10780836
2016-12-19,644.0,644.0,630.1,632.25,4214766
2016-12-20,635.0,638.0,622.1,627.9,3984283
2016-12-21,632.0,633.9,613.05,614.45,7404147
2016-12-22,616.25,625.0,608.0,609.15,5479188
2016-12-23,614.0,629.5,611.2,623.5,6105681
2016-12-26,624.55,624.9,610.0,611.25,3005547
2016-12-27,614.0,622.2,612.6,621.1,2289086
2016-12-28,624.0,628.65,619.05,621.35,2516753
2016-12-29,621.5,624.95,611.85,614.7,4788982
2016-12-30,619.0,632.0,616.65,630.0,3523510
2017-01-02,633.0,640.35,627.0,634.05,2266225
2017-01-03,637.0,641.95,631.85,636.1,2821892
2017-01-04,638.0,643.8,634.8,637.35,2500456
2017-01-05,646.1,647.9,641.5,643.45,2589560
2017-01-06,648.1,649.75,639.45,640.75,1864378
2017-01-09,641.1,646.9,631.0,632.05,1827405
2017-01-10,635.0,639.9,627.1,638.55,2559697
2017-01-11,640.0,649.55,639.3,648.2,2784843
2017-01-12,629.0,646.9,629.0,644.75,6269913
2017-01-13,647.0,657.4,642.45,653.0,3524996
2017-01-16,651.0,654.9,642.2,643.5,1349694
2017-01-17,645.0,652.7,644.45,649.7,3016496
2017-01-18,649.0,654.0,644.5,649.95,4013631
2017-01-19,647.0,653.7,641.1,643.45,2089653
2017-01-20,642.85,647.4,640.0,641.55,3671360
2017-01-23,640.0,645.25,632.5,633.65,2955807
2017-01-24,636.0,644.5,636.0,641.4,2187797
2017-01-25,644.0,646.7,634.2,635.85,3068071
2017-01-27,638.3,643.0,633.8,640.5,2362371
2017-01-30,640.05,654.9,639.0,644.75,2406083
2017-01-31,644.5,649.0,630.0,631.5,1926978
2017-02-01,631.0,637.45,618.4,625.55,3507275
