Date,Open,High,Low,Close,Volume
2016-09-15,137.35,138.5,136.3,137.0,1451283
2016-09-16,138.35,141.7,137.85,139.85,3029995
2016-09-19,139.85,141.3,138.95,139.9,1362666
2016-09-20,139.7,140.35,137.5,138.0,1787917
2016-09-21,138.0,140.35,137.6,138.05,1635459
2016-09-22,139.15,139.95,137.7,138.9,1204798
2016-09-23,138.9,144.0,138.1,142.4,3538509
2016-09-26,143.45,144.25,140.0,140.65,2769361
2016-09-27,140.9,146.4,140.55,144.55,3316650
2016-09-28,148.1,149.15,145.6,146.75,6464628
2016-09-29,147.9,148.0,134.35,137.0,4753568
2016-09-30,136.95,140.9,136.2,139.6,1471713
2016-10-03,140.95,143.15,139.8,142.35,1927658
2016-10-04,142.5,143.25,138.75,141.8,2678079
2016-10-05,141.95,154.4,140.45,153.3,9741635
2016-10-06,153.95,155.45,148.6,150.9,6256632
2016-10-07,152.3,154.5,150.6,151.25,4097231
2016-10-10,151.9,153.95,151.1,151.65,2063455
2016-10-13,151.45,153.0,145.1,147.85,3116651
2016-10-14,149.0,154.2,147.4,153.2,3968866
2016-10-17,153.0,154.25,149.2,150.25,3180180
2016-10-18,150.95,152.7,150.75,151.9,2736835
2016-10-19,152.0,157.7,150.85,154.6,6685790
2016-10-20,155.95,156.65,151.95,152.35,2780284
2016-10-21,152.45,154.2,151.15,152.5,1751366
2016-10-24,152.9,156.0,152.0,154.05,2715234
2016-10-25,149.05,151.75,148.4,150.0,3234883
2016-10-26,148.0,151.2,144.05,145.4,3586046
2016-10-27,139.5,141.2,135.65,137.75,8524741
2016-10-28,138.0,141.3,138.0,139.95,2281364
2016-10-30,140.65,141.0,139.0,139.4,428310
2016-11-01,139.4,140.75,138.3,138.6,1497745
2016-11-02,138.0,138.0,134.5,134.95,2026448
2016-11-03,134.1,136.25,130.8,131.35,2063211
2016-11-04,131.0,132.0,126.0,126.85,4614456
2016-11-07,127.7,130.4,127.25,128.0,1948286
2016-11-08,130.0,131.0,126.55,127.45,2758553
2016-11-09,118.0,122.9,114.95,121.9,5272740
2016-11-10,124.0,127.1,123.65,125.4,2170482
2016-11-11,123.0,125.35,117.25,118.65,3058329
2016-11-15,119.8,119.8,114.25,117.0,2405650
2016-11-16,123.1,125.3,120.4,121.3,4703414
2016-11-17,121.7,122.8,115.2,118.6,1306586
2016-11-18,118.9,121.0,118.3,120.1,2008909
2016-11-21,120.1,121.8,114.9,115.65,1976322
2016-11-22,117.8,118.8,116.05,117.3,3411500
2016-11-23,118.8,118.9,116.85,117.65,2170944
2016-11-24,117.65,117.65,114.5,115.1,2220419
2016-11-25,116.0,119.2,115.6,118.5,1474301
2016-11-28,118.55,121.8,117.5,120.95,1738935
2016-11-29,122.8,124.2,121.5,121.95,1993986
2016-11-30,122.95,124.4,122.5,123.85,1616908
2016-12-01,124.65,124.65,121.55,121.9,1205710
2016-12-02,121.5,123.4,120.3,121.55,1343432
2016-12-05,121.45,124.85,121.1,123.65,1401882
2016-12-06,123.8,125.25,122.8,123.4,1486818
2016-12-07,124.35,124.5,120.75,122.3,1217621
2016-12-08,123.0,125.1,123.0,123.85,1090370
2016-12-09,124.35,124.6,123.5,123.9,920060
2016-12-12,123.9,125.0,122.1,123.35,760874
2016-12-13,124.05,125.0,123.05,123.35,502421
2016-12-14,123.85,124.8,122.4,122.75,826188
2016-12-15,122.5,126.85,122.2,124.45,2212399
2016-12-16,125.0,125.0,122.95,124.3,804735
2016-12-19,124.8,126.1,124.0,124.3,923038
2016-12-20,124.8,125.0,120.75,121.25,646197
2016-12-21,120.75,122.95,120.75,121.6,677057
2016-12-22,122.4,122.4,119.0,119.4,839802
2016-12-23,119.5,119.8,118.0,118.85,749376
2016-12-26,118.8,118.85,116.3,117.0,425216
2016-12-27,117.0,121.05,116.45,120.55,728501
2016-12-28,119.2,122.0,119.2,119.6,866902
2016-12-29,119.6,122.15,119.6,121.1,1025503
2016-12-30,121.1,123.3,121.1,122.0,1017447
2017-01-02,122.8,124.2,121.35,123.55,1102178
2017-01-03,122.8,125.4,122.8,124.45,580430
2017-01-04,125.0,126.05,123.8,124.45,656213
2017-01-05,124.75,125.65,124.55,125.2,503565
2017-01-06,125.4,126.95,124.05,124.65,1255021
2017-01-09,124.75,125.5,123.95,124.75,414927
2017-01-10,125.5,125.5,123.8,124.45,533212
2017-01-11,125.0,127.9,124.55,127.55,839283
2017-01-12,128.3,128.4,124.05,125.15,1403598
2017-01-13,126.9,130.9,126.65,128.35,3617760
2017-01-16,128.2,128.4,127.0,127.65,538746
2017-01-17,128.6,129.4,126.55,127.6,851814
2017-01-18,128.0,130.45,127.7,128.65,1059940
2017-01-19,129.8,131.55,129.15,130.5,1308883
2017-01-20,130.25,131.35,126.0,126.4,961631
2017-01-23,127.6,128.4,126.6,127.9,746313
2017-01-24,128.8,128.95,126.85,128.45,996229
2017-01-25,129.25,129.25,127.45,128.35,909771
2017-01-27,128.35,129.95,128.35,129.2,759876
2017-01-30,129.1,131.8,128.1,130.45,1256759
2017-01-31,130.5,132.0,128.5,128.85,1614154
2017-02-01,129.05,130.65,127.35,130.1,1221969
2017-02-02,132.45,138.8,132.4,137.65,6652685
2017-02-03,138.2,143.9,137.1,141.85,3569132
2017-02-06,141.9,144.75,141.2,142.75,2127506
2017-02-07,142.1,145.8,140.1,141.65,2205918
2017-02-08,141.95,146.9,141.35,146.15,2162887
2017-02-09,146.0,147.15,143.05,143.9,1726818
2017-02-10,143.95,145.5,142.6,143.95,1367413
2017-02-13,144.9,146.85,141.25,141.95,2224197
2017-02-14,142.4,143.7,139.95,141.2,1395593
2017-02-15,140.9,142.85,138.0,138.75,1193620
2017-02-16,139.2,140.7,138.1,140.1,942382
2017-02-17,140.9,141.95,139.65,140.15,952450
2017-02-20,141.0,142.6,139.8,141.6,1517679
2017-02-21,142.15,143.2,141.0,141.6,1671915
2017-02-22,142.55,142.75,139.6,140.0,1296093
2017-02-23,140.05,140.9,138.7,139.25,1340126
2017-02-27,139.0,140.45,138.35,138.9,1129032
2017-02-28,139.15,139.85,136.75,138.05,1513693
2017-03-01,138.5,145.8,138.25,143.6,4919352
2017-03-02,145.45,145.75,140.05,141.1,1765255
2017-03-03,141.1,144.2,140.1,143.35,1672938
2017-03-06,143.95,145.2,142.1,143.25,2043052
2017-03-07,143.0,144.15,142.2,142.75,727617
2017-03-08,142.4,143.0,140.05,141.4,1103877
2017-03-09,140.6,142.35,140.2,140.8,1073015
2017-03-10,140.85,142.25,136.75,137.1,1671172
2017-03-14,140.2,140.4,138.6,139.5,838219
2017-03-15,139.6,142.1,139.3,140.9,1279451
2017-03-16,141.6,145.5,141.35,144.7,3987646
2017-03-17,145.7,145.7,142.25,144.8,1898811
2017-03-20,144.8,147.45,144.8,146.45,2675495
2017-03-21,147.0,148.45,145.1,145.9,2955856
2017-03-22,145.55,145.55,142.2,143.1,2306755
2017-03-23,143.9,152.5,143.2,151.6,6422298
2017-03-24,152.9,153.15,150.5,151.15,3485991
2017-03-27,151.0,151.9,148.0,148.6,2933289
2017-03-28,149.9,153.9,148.0,150.55,2740120
2017-03-29,151.7,153.0,149.5,150.6,2092924
2017-03-30,151.45,152.75,149.7,150.15,3022795
2017-03-31,151.45,152.1,150.1,150.55,1193137
2017-04-03,150.65,153.5,150.3,151.9,1788548
2017-04-05,152.8,154.8,151.0,152.65,2011288
2017-04-06,152.9,154.35,151.25,153.05,2295942
2017-04-07,152.8,154.45,150.0,150.6,1444642
2017-04-10,151.5,152.25,149.4,150.95,1857915
2017-04-11,151.5,153.75,151.05,153.4,2064221
2017-04-12,153.95,153.95,150.3,151.75,1907247
2017-04-13,152.0,153.0,149.8,150.5,1272204
2017-04-17,151.0,151.0,148.55,149.45,830703
2017-04-18,149.1,152.5,147.5,148.15,1563947
2017-04-19,147.9,150.8,147.5,150.2,1092317
2017-04-20,150.25,153.6,150.25,152.15,1540540
2017-04-21,153.5,153.9,149.7,151.3,1293698
2017-04-24,151.0,153.25,151.0,151.95,1079887
2017-04-25,152.4,153.15,151.0,151.7,945527
2017-04-26,152.45,156.6,151.6,153.75,4161713
2017-04-27,155.0,155.4,151.55,152.1,1388038
2017-04-28,153.4,154.7,152.0,153.1,1132516
2017-05-02,154.3,161.45,153.75,157.7,6827849
2017-05-03,158.85,158.85,155.55,156.2,1523044
2017-05-04,156.3,158.3,154.8,155.35,1653237
2017-05-05,156.5,156.5,151.1,152.3,1349536
2017-05-08,152.8,154.15,151.95,152.6,1239593
2017-05-09,153.2,155.15,152.55,154.05,939148
2017-05-10,154.9,156.35,153.9,154.85,1186929
2017-05-11,155.0,156.2,153.2,154.0,589464
2017-05-12,154.0,154.75,151.65,152.65,940916
2017-05-15,152.65,155.0,152.45,154.6,1012554
2017-05-16,154.6,155.45,153.0,154.45,1306020
2017-05-17,154.0,154.65,152.5,152.85,1161590
2017-05-18,152.0,152.6,147.0,147.5,1233917
2017-05-19,149.5,153.8,148.35,149.5,2744849
2017-05-22,149.8,151.15,147.2,147.8,1098727
2017-05-23,148.05,148.4,143.65,144.75,1355129
2017-05-24,145.2,146.1,140.2,141.7,1755862
2017-05-25,143.45,144.65,142.1,143.05,1842806
2017-05-26,144.0,147.25,143.5,146.9,1417686
2017-05-29,147.2,147.5,143.9,145.4,977041
2017-05-30,145.0,146.2,143.7,145.55,1513053
2017-05-31,148.55,151.0,147.55,149.4,3325237
2017-06-01,148.35,154.0,148.25,152.4,2952069
2017-06-02,153.1,158.35,152.15,154.85,3603942
2017-06-05,155.05,156.5,152.9,154.95,1647207
2017-06-06,155.0,155.65,152.2,153.0,1290705
2017-06-07,152.65,156.4,152.4,155.55,1943703
2017-06-08,155.1,156.9,153.4,154.6,1479812
2017-06-09,154.9,155.65,152.8,154.4,1319642
2017-06-12,153.5,154.5,151.75,152.1,1438107
2017-06-13,152.45,157.7,151.7,156.45,3463217
2017-06-14,156.95,160.45,155.05,158.45,4815053
2017-06-15,158.45,162.75,157.6,159.1,3647423
2017-06-16,159.95,161.8,157.7,158.2,1968954
2017-06-19,159.0,159.55,155.9,156.4,1362450
2017-06-20,156.75,158.65,155.55,156.85,1212404
2017-06-21,156.8,159.4,156.05,156.8,2770731
2017-06-22,157.0,158.6,154.0,154.75,2216575
2017-06-23,154.6,155.0,149.8,151.15,1980476
2017-06-27,151.15,151.95,145.75,147.35,1465569
2017-06-28,147.25,150.2,146.4,149.15,2135161
2017-06-29,149.95,151.7,147.9,148.5,2280933
2017-06-30,148.0,151.7,147.1,150.65,1854572
2017-07-03,152.5,155.65,150.75,151.6,8680232
2017-07-04,153.7,154.15,149.75,150.05,3080845
2017-07-05,151.5,157.1,150.0,156.15,5849123
2017-07-06,156.5,157.8,152.75,153.35,4873097
2017-07-07,153.15,158.9,153.1,157.75,6442241
2017-07-10,159.0,167.85,157.1,166.55,4761386
2017-07-11,167.05,172.8,167.05,169.5,12571250
2017-07-12,171.05,174.8,169.0,173.75,10623109
2017-07-13,175.35,176.7,171.2,175.4,5222043
2017-07-14,175.9,175.9,172.05,174.2,2831387
2017-07-17,174.25,179.3,172.6,177.0,4882663
2017-07-18,176.1,178.7,173.05,173.75,3264325
2017-07-19,173.8,177.4,173.7,175.15,4161102
2017-07-20,175.4,176.25,170.3,171.3,2791324
2017-07-21,171.9,173.85,169.7,172.2,4670938
2017-07-24,172.2,174.3,169.45,170.0,2636591
2017-07-25,170.5,172.25,169.2,171.15,2103806
2017-07-26,172.0,175.35,170.75,172.2,3803339
2017-07-27,173.85,173.85,167.7,168.4,2370296
2017-07-28,167.9,170.65,166.85,169.15,2290563
2017-07-31,169.5,172.4,168.35,169.55,1896521
2017-08-01,171.0,171.75,166.75,167.5,2140964
2017-08-02,168.0,168.55,164.2,165.1,2009220
2017-08-03,165.95,169.4,164.5,166.65,2895078
2017-08-04,164.7,167.6,163.85,166.45,2298689
2017-08-07,167.0,171.7,167.0,170.45,2548868
2017-08-08,171.8,171.8,165.6,166.0,2372930
2017-08-09,165.5,166.9,160.45,162.1,1267995
2017-08-10,161.85,163.5,153.2,156.0,2470478
2017-08-11,155.1,164.8,152.05,164.2,6027593
2017-08-14,166.0,180.3,165.1,178.75,9368807
2017-08-16,182.5,196.75,181.5,193.85,29191015
2017-08-17,194.0,197.4,189.8,190.6,10381703
2017-08-18,189.8,196.4,188.05,194.4,10030010
2017-08-21,196.65,203.0,194.4,196.15,15744338
2017-08-22,197.15,199.5,188.85,189.85,7466196
2017-08-23,191.5,197.45,189.15,196.55,7522673
2017-08-24,197.3,198.3,193.7,194.25,4587179
2017-08-28,195.0,196.3,192.05,193.3,3684762
2017-08-29,192.95,197.5,189.35,190.35,5679382
2017-08-30,193.0,198.15,192.35,197.05,7173447
2017-08-31,198.5,200.7,196.1,198.0,7760949
2017-09-01,198.25,200.65,196.3,197.6,3401210
2017-09-04,198.0,198.4,190.5,193.3,4372250
2017-09-05,194.3,197.4,193.3,196.7,3442385
2017-09-06,195.1,207.2,194.6,205.95,14490021
2017-09-07,207.95,209.3,204.8,205.75,5862028
2017-09-08,206.1,210.8,205.45,206.9,6430260
2017-09-11,209.2,211.05,207.3,209.25,3393087
2017-09-12,212.0,213.65,210.15,212.05,4884083
2017-09-13,214.65,214.95,206.2,207.3,4637092
2017-09-14,208.5,213.8,207.35,212.05,2980684
2017-09-15,211.0,213.7,208.85,210.55,2608124
2017-09-18,212.65,215.0,210.7,213.3,2491966
