Date,Open,High,Low,Close,Volume
2016-09-15,562.0,566.25,555.4,557.55,5258859
2016-09-16,562.4,568.2,546.35,548.7,10931845
2016-09-19,553.8,556.4,549.45,554.45,6979269
2016-09-20,555.0,556.3,545.5,548.45,6874462
2016-09-21,548.6,556.4,544.0,549.9,5919149
2016-09-22,561.2,562.95,551.35,558.45,6012388
2016-09-23,558.5,558.5,551.2,553.05,4840360
2016-09-26,549.95,549.95,533.75,535.3,6858574
2016-09-27,537.7,542.0,530.25,531.95,4912743
2016-09-28,533.0,545.4,531.5,540.0,6604953
2016-09-29,543.0,546.9,516.65,526.3,9315794
2016-09-30,525.6,536.55,521.2,534.85,5659248
2016-10-03,539.4,546.0,539.0,540.8,4505939
2016-10-04,547.4,552.4,540.65,549.95,5715454
2016-10-05,555.3,562.4,549.75,559.65,5929204
2016-10-06,563.1,564.2,549.1,551.45,4273945
2016-10-07,554.5,567.3,552.6,565.7,9122002
2016-10-10,571.1,571.1,560.9,562.05,3673211
2016-10-13,556.9,556.9,537.0,544.85,9510827
2016-10-14,546.0,557.45,545.0,556.1,5872827
2016-10-17,557.85,557.85,545.9,547.55,3463154
2016-10-18,549.2,556.0,549.2,554.25,3965424
2016-10-19,552.05,554.9,545.05,550.5,4275157
2016-10-20,553.05,554.0,546.0,546.85,2770011
2016-10-21,549.0,550.0,541.5,544.5,2789747
2016-10-24,544.0,564.0,543.55,559.8,5161299
2016-10-25,549.85,561.0,549.1,553.8,5690576
2016-10-26,548.0,548.0,523.15,530.05,6665017
2016-10-27,515.6,525.75,510.75,522.0,18470182
2016-10-28,527.0,539.95,525.1,537.0,5665910
2016-10-30,536.4,536.4,529.5,531.95,622999
2016-11-01,534.4,537.9,525.05,530.6,6848662
2016-11-02,522.6,526.0,512.35,513.3,4750117
2016-11-03,509.8,521.45,505.2,510.2,6909458
2016-11-04,509.25,516.35,501.6,512.3,7564243
2016-11-07,513.0,521.3,505.05,506.35,5507954
2016-11-08,518.4,543.0,517.0,540.2,12739083
2016-11-09,501.15,544.0,500.0,533.5,10276017
2016-11-10,536.0,549.35,531.5,533.7,6906437
2016-11-11,526.5,530.0,505.0,507.3,7823667
2016-11-15,484.9,484.9,453.0,457.4,15356070
2016-11-16,468.45,471.7,450.0,458.45,10855618
2016-11-17,460.0,476.0,459.65,472.85,8949767
2016-11-18,469.9,473.85,461.85,471.25,7246244
2016-11-21,468.0,472.8,451.5,456.95,7325876
2016-11-22,464.05,471.0,453.3,464.85,6644867
2016-11-23,467.0,475.3,462.0,471.5,6727083
2016-11-24,466.35,466.35,449.7,452.95,8046995
2016-11-25,454.1,456.35,443.15,452.35,7426347
2016-11-28,451.25,460.0,450.5,454.7,5025929
2016-11-29,455.0,466.3,451.35,459.85,8570549
2016-11-30,460.0,463.8,455.1,459.3,8377510
2016-12-01,457.0,457.7,446.9,448.2,7706825
2016-12-02,445.0,453.5,431.15,432.9,10450654
2016-12-05,436.0,441.0,428.3,439.3,8211182
2016-12-06,441.0,445.9,438.1,441.1,4209420
2016-12-07,440.0,449.2,439.25,445.35,5559803
2016-12-08,451.2,464.4,451.2,461.55,8176055
2016-12-09,464.95,468.55,460.6,464.1,5690877
2016-12-12,461.95,461.95,451.05,454.4,3837786
2016-12-13,476.8,486.25,462.25,470.65,63880404
2016-12-14,470.2,476.8,462.65,472.35,7660437
2016-12-15,464.0,473.6,462.5,463.2,6539067
2016-12-16,465.0,474.9,464.2,473.15,9015744
2016-12-19,470.9,478.55,465.5,471.8,5445624
2016-12-20,473.0,475.0,469.1,473.15,3690160
2016-12-21,473.5,474.5,467.1,468.5,3492856
2016-12-22,468.15,472.95,464.8,469.6,5436494
2016-12-23,464.95,468.3,460.0,465.65,3957854
2016-12-26,465.5,465.5,455.6,457.85,3282425
2016-12-27,460.0,468.75,457.4,466.95,3164664
2016-12-28,467.0,468.65,462.0,463.35,3772181
2016-12-29,462.75,472.7,459.35,470.9,4763171
2016-12-30,471.0,475.0,467.5,472.0,3605555
2017-01-02,472.0,488.7,469.05,487.05,4024156
2017-01-03,491.0,492.7,479.9,481.1,5814518
2017-01-04,484.65,493.7,484.1,486.65,4769872
2017-01-05,496.0,503.4,495.55,502.15,7961242
2017-01-06,502.95,507.95,496.25,497.75,4907475
2017-01-09,499.4,504.6,492.15,500.15,3932710
2017-01-10,506.55,518.0,505.95,516.25,7973024
2017-01-11,520.25,523.95,517.15,519.25,4886398
2017-01-12,521.7,524.0,513.2,518.25,4219627
2017-01-13,523.25,523.25,507.5,514.85,6367248
2017-01-16,518.65,529.45,517.0,526.4,6084582
2017-01-17,528.1,530.8,521.0,523.7,4297426
2017-01-18,523.05,529.6,521.2,522.45,5874608
2017-01-19,523.0,535.6,522.7,531.45,5810128
2017-01-20,527.4,529.3,521.25,523.2,5013928
2017-01-23,523.2,534.95,523.0,532.7,4209879
