Date,Open,High,Low,Close,Volume
2016-09-15,1169.97,1171.05,1158.38,1163.47,1409482
2016-09-16,1168.35,1188.0,1160.0,1180.85,2179002
2016-09-19,1182.5,1213.5,1175.0,1205.72,1401273
2016-09-20,1205.5,1208.45,1192.7,1203.25,592276
2016-09-21,1203.85,1212.0,1200.35,1206.7,839010
2016-09-22,1212.62,1214.0,1185.55,1189.0,1428787
2016-09-23,1191.0,1201.92,1185.58,1199.05,900363
2016-09-26,1200.55,1209.55,1197.5,1200.55,876738
2016-09-27,1200.55,1224.0,1200.55,1218.05,1019396
2016-09-28,1215.5,1218.75,1207.6,1211.53,865664
2016-09-29,1217.5,1228.25,1209.8,1218.9,1801979
2016-09-30,1218.53,1224.9,1211.55,1215.4,1087682
2016-10-03,1225.0,1228.82,1200.55,1205.85,909440
2016-10-04,1210.0,1212.53,1199.0,1202.58,890359
2016-10-05,1204.0,1207.7,1188.05,1193.18,588177
2016-10-06,1197.5,1201.2,1186.38,1194.38,1133786
2016-10-07,1194.0,1194.0,1179.1,1183.9,908256
2016-10-10,1184.95,1193.45,1177.53,1190.15,601071
2016-10-13,1181.65,1184.95,1160.45,1164.45,2586667
2016-10-14,1157.5,1193.5,1145.5,1183.1,3870607
2016-10-17,1184.45,1187.9,1172.2,1181.22,1364173
2016-10-18,1188.0,1207.85,1177.4,1200.1,1064316
2016-10-19,1200.5,1205.0,1185.15,1197.55,992529
2016-10-20,1198.45,1204.68,1193.0,1200.58,632927
2016-10-21,1200.0,1215.95,1199.12,1214.32,629830
2016-10-24,1214.1,1217.45,1201.28,1213.85,626595
2016-10-25,1202.5,1207.3,1190.5,1199.22,886233
2016-10-26,1199.3,1201.38,1186.25,1198.12,718565
2016-10-27,1189.85,1214.75,1182.75,1209.05,1470801
2016-10-28,1205.0,1207.55,1194.0,1199.35,876051
2016-10-30,1199.35,1204.47,1191.0,1195.53,42676
2016-11-01,1199.85,1199.85,1167.08,1175.0,1467388
2016-11-02,1170.5,1172.0,1147.5,1152.03,1162538
2016-11-03,1147.0,1167.5,1142.25,1159.72,731655
2016-11-04,1160.0,1168.08,1147.0,1165.28,591876
2016-11-07,1168.95,1172.45,1130.03,1138.53,1024026
2016-11-08,1140.22,1153.5,1130.0,1141.6,966817
2016-11-09,1090.0,1137.5,1071.42,1084.92,2250113
2016-11-10,1102.4,1108.75,1070.4,1077.72,1086213
2016-11-11,1073.53,1073.53,1043.1,1050.58,1199212
2016-11-15,1058.45,1078.78,1025.95,1060.65,3145162
2016-11-16,1072.55,1104.45,1069.0,1094.8,2009979
2016-11-17,1092.5,1104.3,1065.08,1068.6,1252344
2016-11-18,1071.0,1075.0,1052.1,1062.55,1070267
2016-11-21,1063.1,1070.0,1052.5,1066.45,896683
2016-11-22,1066.0,1088.72,1061.03,1067.5,659430
2016-11-23,1074.5,1081.47,1063.6,1078.18,637904
2016-11-24,1077.45,1103.8,1068.5,1094.22,1513117
2016-11-25,1106.0,1153.62,1096.1,1150.18,2138074
2016-11-28,1147.0,1159.72,1125.95,1141.3,962148
2016-11-29,1137.5,1146.0,1126.28,1129.92,721148
2016-11-30,1132.5,1147.38,1121.15,1138.03,1722916
2016-12-01,1138.5,1145.0,1127.03,1131.72,561526
2016-12-02,1129.0,1135.4,1102.6,1110.92,999016
2016-12-05,1114.5,1118.92,1085.0,1093.0,1124763
2016-12-06,1095.0,1101.97,1084.95,1091.18,796722
2016-12-07,1091.1,1092.22,1072.82,1077.28,1032853
2016-12-08,1080.25,1099.5,1080.0,1097.88,1619773
2016-12-09,1102.5,1109.95,1086.65,1097.62,794359
2016-12-12,1097.4,1108.8,1081.5,1104.1,655879
2016-12-13,1109.0,1109.0,1091.5,1100.15,1073767
2016-12-14,1107.0,1112.35,1094.5,1103.8,935183
2016-12-15,1101.0,1136.05,1101.0,1129.65,2147705
2016-12-16,1138.5,1145.0,1126.0,1141.32,993615
2016-12-19,1140.0,1148.85,1130.65,1144.45,667105
2016-12-20,1146.0,1172.5,1143.53,1169.65,1461380
2016-12-21,1171.9,1171.9,1152.8,1156.8,1017451
2016-12-22,1153.0,1162.5,1143.1,1153.85,934150
2016-12-23,1150.0,1158.88,1139.4,1144.05,559477
2016-12-26,1133.0,1150.8,1133.0,1146.55,448704
2016-12-27,1140.75,1165.0,1140.75,1161.7,647346
2016-12-28,1163.35,1174.95,1151.58,1156.7,675209
2016-12-29,1151.5,1179.95,1151.5,1175.85,981758
2016-12-30,1177.45,1189.3,1172.82,1182.78,702874
2017-01-02,1183.3,1187.55,1176.2,1180.68,411566
2017-01-03,1180.62,1185.85,1171.65,1184.12,737662
2017-01-04,1184.85,1194.42,1179.15,1189.75,710033
2017-01-05,1192.0,1194.97,1160.2,1167.2,1108202
2017-01-06,1160.5,1164.68,1128.55,1140.7,1504948
2017-01-09,1137.5,1155.65,1128.5,1151.85,927289
2017-01-10,1152.0,1164.9,1145.75,1157.68,766957
2017-01-11,1157.5,1164.8,1140.1,1162.2,965648
2017-01-12,1162.2,1180.0,1152.0,1172.18,1285187
2017-01-13,1174.0,1178.97,1118.92,1124.65,5117790
2017-01-16,1125.0,1136.95,1114.0,1129.28,1682404
2017-01-17,1127.45,1143.9,1126.4,1139.38,1504978
2017-01-18,1139.0,1149.0,1132.72,1147.55,1568287
2017-01-19,1147.5,1147.58,1141.47,1145.5,1125838
2017-01-20,1143.5,1150.0,1132.5,1142.68,1018623
2017-01-23,1132.5,1156.75,1129.9,1153.35,1159273
2017-01-24,1152.0,1161.5,1145.0,1159.18,1141319
2017-01-25,1161.3,1180.0,1159.03,1176.5,2055824
2017-01-27,1172.53,1189.38,1172.53,1178.9,1435829
2017-01-30,1170.5,1175.97,1159.08,1166.45,1288978
2017-01-31,1160.0,1166.03,1100.03,1114.9,2333402
2017-02-01,1110.0,1119.97,1077.78,1083.95,2432076
2017-02-02,1085.03,1109.5,1076.5,1103.82,3004741
2017-02-03,1104.85,1121.5,1095.5,1116.28,1076686
2017-02-06,1129.0,1129.25,1107.47,1120.38,1204455
2017-02-07,1122.0,1126.3,1113.0,1122.3,907319
2017-02-08,1122.45,1141.3,1122.03,1135.47,1106292
2017-02-09,1137.5,1164.0,1135.1,1158.65,2016601
2017-02-10,1155.5,1212.22,1155.5,1198.97,2891080
2017-02-13,1198.0,1214.5,1191.18,1207.12,1909906
2017-02-14,1209.82,1209.82,1199.0,1203.12,1016664
2017-02-15,1198.5,1214.0,1187.55,1206.85,962486
2017-02-16,1230.0,1239.0,1217.8,1223.88,2087840
2017-02-17,1236.0,1237.8,1201.0,1203.95,1361662
2017-02-20,1212.5,1277.5,1204.05,1251.1,1986974
2017-02-21,1257.0,1262.95,1227.58,1232.68,2750556
2017-02-22,1232.95,1235.0,1200.08,1205.75,2252748
2017-02-23,1207.5,1246.62,1207.5,1240.9,2426676
2017-02-27,1239.55,1251.0,1235.03,1244.92,1069946
2017-02-28,1244.75,1245.0,1225.0,1233.12,1177414
2017-03-01,1239.95,1250.95,1235.0,1239.78,565187
