Date,Open,High,Low,Close,Volume
2016-09-15,417.9,417.9,404.4,406.4,1551475
2016-09-16,408.5,410.8,403.2,407.6,1324334
2016-09-19,406.0,409.5,401.5,402.85,860013
2016-09-20,401.0,406.5,399.7,402.85,515849
2016-09-21,405.7,409.9,402.25,406.45,1052732
2016-09-22,409.85,417.0,408.55,414.4,1140943
2016-09-23,414.0,419.0,407.3,409.0,834603
2016-09-26,408.5,410.85,401.5,404.75,555483
2016-09-27,402.0,406.75,402.0,405.35,599703
2016-09-28,405.0,410.9,402.0,409.7,1071066
2016-09-29,413.0,413.95,391.05,393.15,1437151
2016-09-30,393.05,399.2,383.2,395.1,1517886
2016-10-03,398.0,408.55,395.1,406.6,1133074
2016-10-04,407.35,408.2,400.6,406.55,784343
2016-10-05,406.7,408.85,400.7,405.9,734681
2016-10-06,406.5,408.9,395.1,398.85,903119
2016-10-07,399.9,400.95,392.3,395.3,1412940
2016-10-10,395.3,408.6,395.0,403.7,1317724
2016-10-13,403.5,404.05,385.5,388.2,4769967
2016-10-14,392.4,392.4,380.15,385.25,3113531
2016-10-17,385.25,389.0,380.3,386.1,1651931
2016-10-18,389.9,390.9,385.0,390.1,864701
2016-10-19,391.1,393.35,385.95,388.4,1428598
2016-10-20,388.9,394.0,387.65,389.6,1130359
2016-10-21,390.1,392.9,377.15,379.4,997847
2016-10-24,381.65,381.65,372.65,377.55,1511482
2016-10-25,375.0,375.5,367.5,373.3,1613924
2016-10-26,372.1,380.45,367.35,375.55,1874976
2016-10-27,373.0,375.7,361.1,369.2,1476366
2016-10-28,370.45,376.7,368.55,373.55,1479061
2016-10-30,377.45,383.8,376.0,382.25,290336
2016-11-01,379.5,381.1,370.55,372.7,2554087
2016-11-02,371.5,384.3,369.15,377.6,2464297
2016-11-03,377.45,383.5,373.8,377.2,1629999
2016-11-04,377.2,378.0,360.05,369.05,5181261
2016-11-07,372.6,383.5,368.0,370.5,1702175
2016-11-08,372.0,374.6,364.8,371.15,725837
2016-11-09,334.05,356.25,315.5,348.8,6105180
2016-11-10,355.4,359.8,347.5,349.35,3548040
2016-11-11,342.0,343.2,323.85,334.95,2165568
2016-11-15,332.0,333.65,301.65,329.4,4023810
2016-11-16,333.5,338.1,313.15,320.3,1715484
2016-11-17,319.95,322.0,308.3,315.9,1965715
2016-11-18,319.3,319.5,299.0,303.3,5298478
2016-11-21,304.0,306.3,296.15,304.1,3322407
2016-11-22,306.0,311.7,300.65,306.9,1945517
2016-11-23,309.0,314.0,306.25,312.5,1250719
2016-11-24,311.0,314.7,306.0,307.55,2751768
2016-11-25,310.9,319.2,306.3,316.15,1285140
2016-11-28,316.95,318.0,303.75,306.55,1676934
2016-11-29,306.0,316.25,305.25,313.85,1450559
2016-11-30,314.45,328.55,311.45,323.5,3265106
2016-12-01,323.0,333.4,317.25,324.9,2650987
2016-12-02,320.0,328.2,307.15,313.2,2033226
2016-12-05,314.8,328.5,308.0,325.85,2844583
2016-12-06,325.8,327.25,321.05,323.5,1159353
2016-12-07,324.85,327.9,321.65,324.2,903190
2016-12-08,325.55,335.5,324.35,326.6,1684964
2016-12-09,326.2,330.7,322.7,326.55,648772
2016-12-12,325.3,330.85,317.2,321.7,819985
2016-12-13,322.0,327.9,318.4,320.05,894222
2016-12-14,318.9,325.2,318.3,322.15,1104507
2016-12-15,320.7,323.8,314.1,315.35,1010984
2016-12-16,316.0,322.8,315.2,321.7,1225800
2016-12-19,320.7,321.5,316.1,316.85,563223
2016-12-20,318.0,322.45,316.1,317.95,572858
2016-12-21,319.7,327.9,313.0,319.7,1494083
2016-12-22,318.7,322.9,308.4,309.8,2326292
2016-12-23,310.9,315.5,308.5,314.3,966581
2016-12-26,313.0,314.4,307.1,307.85,672698
2016-12-27,311.0,317.0,308.1,316.35,722421
2016-12-28,312.8,317.95,312.8,314.25,949474
2016-12-29,314.95,323.4,312.35,320.95,1462224
2016-12-30,322.6,328.0,321.7,326.8,498203
2017-01-02,328.95,336.3,325.5,333.95,656084
2017-01-03,341.0,354.6,339.15,348.15,2773103
2017-01-04,350.4,361.95,349.2,359.65,2371009
2017-01-05,360.5,361.5,355.45,358.05,1187872
2017-01-06,359.0,363.0,352.6,355.2,1089982
2017-01-09,355.95,357.35,351.6,354.6,388058
2017-01-10,355.25,363.45,354.0,361.45,680201
2017-01-11,363.5,365.45,359.1,360.75,1059399
2017-01-12,360.95,365.8,359.5,363.7,1138752
2017-01-13,363.35,366.45,355.0,358.35,701469
2017-01-16,358.4,364.6,357.05,362.85,577654
2017-01-17,362.85,364.5,358.3,359.95,1393756
2017-01-18,360.3,370.65,359.05,367.0,865079
2017-01-19,365.1,374.9,365.1,372.7,1091633
2017-01-20,371.0,371.0,358.25,360.7,829787
2017-01-23,356.9,364.95,356.9,363.95,768682
2017-01-24,369.5,369.9,361.8,364.35,883274
2017-01-25,366.0,378.45,361.75,372.15,2920137
2017-01-27,372.0,375.65,366.55,372.8,386491
2017-01-30,370.0,374.0,368.1,371.45,361868
2017-01-31,370.9,370.9,359.35,362.05,788682
2017-02-01,363.75,372.25,359.0,369.95,931350
2017-02-02,370.95,394.4,369.0,389.3,1863055
2017-02-03,389.0,389.0,377.5,379.75,719064
2017-02-06,385.0,397.0,383.15,391.05,1765785
2017-02-07,393.95,397.0,386.65,393.45,2246432
2017-02-08,410.0,431.55,406.35,425.6,12272324
2017-02-09,422.4,429.5,418.65,427.0,1899826
2017-02-10,427.0,435.4,423.75,432.0,1554723
2017-02-13,432.0,432.0,422.6,428.35,725350
2017-02-14,429.7,431.85,420.6,428.35,860400
2017-02-15,429.95,431.4,410.5,412.45,1647015
2017-02-16,408.55,426.0,408.55,424.0,1360235
2017-02-17,424.0,433.8,421.4,431.5,1184805
2017-02-20,431.9,438.4,426.45,434.45,1216989
2017-02-21,433.95,458.5,430.1,457.3,2381361
2017-02-22,457.2,458.0,438.5,440.0,2543124
2017-02-23,440.4,441.6,431.0,432.95,3737985
2017-02-27,433.0,438.55,425.75,435.35,891399
2017-02-28,434.95,439.9,432.65,437.2,995271
2017-03-01,438.1,442.6,435.65,438.15,602504
2017-03-02,441.0,446.0,428.0,430.45,1145833
2017-03-03,430.45,441.0,428.8,439.85,853988
2017-03-06,440.7,444.0,436.2,438.05,767048
2017-03-07,440.0,444.85,434.6,439.55,1118365
2017-03-08,439.0,443.7,435.25,440.95,727813
2017-03-09,442.0,447.5,438.05,442.25,998661
2017-03-10,441.25,447.25,440.25,445.3,798924
2017-03-14,450.05,463.7,447.4,462.2,1865638
2017-03-15,465.0,467.0,460.5,462.05,1372111
2017-03-16,463.0,470.6,462.6,465.8,885731
2017-03-17,465.95,467.8,459.0,463.5,1047995
2017-03-20,465.95,470.0,461.8,465.55,464420
2017-03-21,466.9,466.9,459.6,463.7,907074
2017-03-22,460.0,460.0,441.9,445.75,2027879
2017-03-23,449.6,454.0,446.15,452.0,1420121
2017-03-24,453.1,457.75,446.95,447.95,854519
2017-03-27,446.0,451.0,440.75,447.95,505757
2017-03-28,450.0,456.0,447.85,453.65,1419986
2017-03-29,455.0,456.55,451.1,455.0,502071
2017-03-30,455.0,462.0,453.6,457.3,1328990
2017-03-31,457.3,466.8,452.55,462.75,942301
2017-04-03,459.5,461.25,455.8,459.35,563933
2017-04-05,478.0,495.55,471.0,491.75,4809506
2017-04-06,490.0,490.9,483.05,487.4,1996260
2017-04-07,489.0,492.35,483.6,485.4,1100640
