Date,Open,High,Low,Close,Volume
2016-09-15,3949.0,3955.0,3885.0,3928.65,202147
2016-09-16,3951.9,4028.0,3883.1,3924.0,400208
2016-09-19,3941.0,4005.0,3892.15,3990.45,276012
2016-09-20,4019.45,4030.0,3969.45,3988.7,298515
2016-09-21,3992.8,4023.9,3938.5,3960.75,305282
2016-09-22,4009.0,4009.0,3960.05,3980.0,292974
2016-09-23,4010.0,4013.95,3951.0,3964.2,268107
2016-09-26,3954.1,3957.95,3905.5,3923.15,124089
2016-09-27,3910.5,3975.0,3902.0,3914.8,182333
2016-09-28,3906.0,3987.0,3906.0,3972.65,262247
2016-09-29,3990.1,4000.3,3843.65,3861.3,367284
2016-09-30,3850.0,3895.4,3838.05,3851.55,241074
2016-10-03,3874.9,3935.0,3853.6,3928.45,249528
2016-10-04,3932.5,3990.0,3932.5,3953.2,224189
2016-10-05,3958.5,4044.75,3939.05,4033.15,325419
2016-10-06,4037.3,4044.0,3945.95,3960.2,192924
2016-10-07,3980.0,3980.0,3905.55,3933.9,117828
2016-10-10,3934.95,3995.0,3934.95,3976.75,202224
2016-10-13,3969.6,4014.95,3942.55,3985.75,345562
2016-10-14,3989.0,4057.95,3970.05,4036.5,214434
2016-10-17,4045.0,4074.7,3963.3,4012.85,648256
2016-10-18,4030.0,4050.0,3986.9,4022.75,218098
2016-10-19,4011.0,4050.0,4005.1,4032.55,269986
2016-10-20,4034.0,4046.45,3993.75,4007.1,199695
2016-10-21,4008.0,4025.25,3950.0,3980.9,231846
2016-10-24,3994.95,4017.85,3961.05,3971.5,108882
2016-10-25,3981.0,4031.85,3964.8,4017.05,110334
2016-10-26,3980.05,3999.9,3929.9,3937.55,268883
2016-10-27,3950.0,3970.0,3913.0,3941.55,355002
2016-10-28,3941.0,3989.8,3890.0,3982.7,189117
2016-10-30,3996.7,3999.0,3938.2,3964.25,10230
2016-11-01,3984.0,3990.0,3952.0,3976.75,166098
2016-11-02,3958.9,3964.8,3878.0,3896.1,214701
2016-11-03,3888.0,3932.75,3881.0,3906.65,246707
2016-11-04,3925.0,3928.85,3818.25,3854.55,227359
2016-11-07,3884.7,3945.0,3870.1,3908.5,254951
2016-11-08,3910.25,3969.0,3901.0,3958.95,171969
2016-11-09,3799.7,3870.0,3584.25,3765.75,747032
2016-11-10,3930.0,3930.0,3815.85,3841.25,382638
2016-11-11,3800.3,3801.15,3610.9,3634.1,623318
2016-11-15,3615.0,3615.0,3343.5,3364.15,1362707
2016-11-16,3400.0,3466.9,3343.0,3370.25,833115
2016-11-17,3370.0,3405.7,3317.0,3335.85,745885
2016-11-18,3329.6,3405.15,3275.0,3392.8,683557
2016-11-21,3400.0,3408.0,3303.05,3322.3,525360
2016-11-22,3335.25,3434.1,3300.0,3422.75,540794
2016-11-23,3469.0,3475.15,3381.0,3452.2,430852
2016-11-24,3436.0,3505.0,3404.95,3483.75,688901
2016-11-25,3500.0,3509.95,3451.1,3497.45,497488
2016-11-28,3479.0,3563.8,3475.5,3504.85,416351
2016-11-29,3485.0,3563.0,3485.0,3536.25,378409
2016-11-30,3569.9,3640.0,3555.6,3603.45,5134859
2016-12-01,3619.7,3620.85,3561.2,3570.7,267124
2016-12-02,3550.0,3599.25,3528.0,3585.65,266078
2016-12-05,3588.0,3632.25,3551.5,3582.75,296963
2016-12-06,3600.0,3617.8,3556.45,3601.9,234462
2016-12-07,3605.65,3668.0,3554.6,3568.05,381973
2016-12-08,3588.0,3631.0,3576.3,3593.0,206057
2016-12-09,3604.7,3607.95,3554.25,3568.95,149963
2016-12-12,3576.0,3576.05,3441.35,3462.35,207281
2016-12-13,3468.0,3477.9,3355.55,3366.75,366724
2016-12-14,3380.85,3380.85,3302.05,3315.05,209745
2016-12-15,3290.0,3311.0,3255.0,3264.5,335980
