Date,Open,High,Low,Close,Volume
2016-09-15,468.73,473.8,454.83,456.5,2481208
2016-09-16,457.7,467.0,455.03,461.87,3224824
2016-09-19,466.47,466.47,452.6,454.83,1953697
2016-09-20,457.33,460.83,451.73,453.2,1396637
2016-09-21,454.93,464.67,450.5,456.13,1933873
2016-09-22,460.67,464.2,453.87,456.17,1694575
2016-09-23,458.67,471.27,455.4,461.6,2740874
2016-09-26,462.8,462.8,452.43,454.77,1229284
2016-09-27,457.8,463.27,453.83,455.8,1391126
2016-09-28,458.67,460.57,452.87,455.33,1854121
2016-09-29,458.3,458.37,428.77,433.53,2010374
2016-09-30,430.0,451.33,429.43,449.23,890121
2016-10-03,450.6,457.47,449.37,453.47,770968
2016-10-04,455.13,455.13,442.13,451.0,974764
2016-10-05,454.0,459.2,450.5,453.6,1141880
2016-10-06,454.67,455.53,444.23,447.67,911842
2016-10-07,449.0,454.0,445.57,448.13,603127
2016-10-10,452.2,452.93,446.67,447.27,263590
2016-10-13,445.27,448.87,431.87,446.23,1318319
2016-10-14,446.67,457.33,444.2,455.57,1146193
2016-10-17,452.53,462.0,452.0,457.9,1817729
2016-10-18,460.0,462.9,458.07,461.73,1109599
2016-10-19,462.0,475.17,455.5,473.5,2494933
2016-10-20,474.67,480.6,470.53,476.63,2416259
2016-10-21,474.67,481.47,474.0,478.9,1191762
2016-10-24,478.07,487.13,475.5,480.97,879910
2016-10-25,477.73,481.4,467.63,475.27,859918
2016-10-26,473.7,478.93,462.33,466.1,1076459
2016-10-27,466.0,476.1,463.37,471.0,1677187
2016-10-28,469.4,475.77,442.93,465.2,6093817
2016-10-30,463.33,468.83,459.27,464.13,173110
2016-11-01,465.93,472.97,465.53,470.83,1575977
2016-11-02,464.0,467.6,451.23,453.43,1541761
2016-11-03,455.97,458.0,441.07,446.23,2615531
2016-11-04,450.0,450.67,439.2,448.3,1262242
2016-11-07,450.0,456.6,443.47,445.57,1065436
2016-11-08,447.33,458.23,437.6,456.27,1642646
2016-11-09,427.67,446.67,416.03,440.8,2249007
2016-11-10,447.8,468.87,445.73,462.83,1545779
2016-11-11,461.33,461.37,428.7,431.4,1525662
2016-11-15,431.33,431.33,397.33,400.23,2089813
2016-11-16,400.7,424.2,396.0,413.8,2233058
2016-11-17,413.8,417.73,406.33,411.4,945261
2016-11-18,416.6,419.47,411.67,415.73,828521
2016-11-21,415.67,419.0,399.73,405.9,1088943
2016-11-22,406.77,415.33,389.47,404.13,2288495
2016-11-23,409.27,413.67,405.37,407.37,1615159
2016-11-24,407.27,409.87,398.33,406.17,1313739
2016-11-25,406.23,420.67,400.93,419.13,1092235
2016-11-28,416.73,423.0,413.37,419.1,721679
2016-11-29,413.47,425.8,413.47,416.97,1696319
2016-11-30,418.67,424.0,416.1,422.63,1605002
2016-12-01,420.67,436.07,420.0,433.67,2180181
2016-12-02,431.87,440.3,428.67,434.8,1784642
2016-12-05,432.67,444.57,432.63,442.43,735061
2016-12-06,444.87,453.33,440.63,448.37,1113924
2016-12-07,451.47,452.07,444.03,448.13,466868
2016-12-08,452.97,469.0,451.37,466.77,1340805
2016-12-09,468.33,474.67,460.33,463.67,1127650
2016-12-12,463.33,468.67,458.0,463.7,641528
2016-12-13,463.33,468.3,449.57,452.03,1053489
2016-12-14,453.33,453.37,432.0,434.07,1721417
2016-12-15,425.33,440.0,425.33,429.9,2182228
2016-12-16,433.13,444.63,426.57,442.27,1667478
2016-12-19,441.9,441.9,424.07,427.33,1047989
2016-12-20,427.33,432.73,420.5,422.87,785850
2016-12-21,423.33,425.6,416.9,420.73,685134
2016-12-22,418.73,420.6,410.87,412.63,648979
2016-12-23,415.33,424.23,406.9,418.0,1103100
2016-12-26,419.27,419.27,404.33,408.2,879938
2016-12-27,406.67,426.67,404.03,424.3,995647
2016-12-28,428.03,430.67,419.17,420.87,1775517
2016-12-29,421.4,426.67,420.07,425.33,838184
2016-12-30,429.87,435.67,428.0,431.33,793645
2017-01-02,432.87,440.3,430.0,439.1,630573
2017-01-03,440.33,442.93,435.1,436.67,646417
2017-01-04,435.67,447.63,434.57,445.03,1753095
2017-01-05,445.33,451.33,443.4,449.73,1248822
2017-01-06,450.67,451.8,438.53,439.93,1102393
2017-01-09,441.33,450.97,440.03,448.6,587555
2017-01-10,448.6,453.33,440.4,442.33,927771
2017-01-11,444.0,448.33,438.67,446.13,2114062
2017-01-12,450.87,458.0,444.07,457.03,1477860
2017-01-13,459.33,464.63,455.73,458.7,1483522
2017-01-16,458.53,469.93,454.1,468.47,1712230
2017-01-17,470.83,491.33,470.67,489.7,4665850
2017-01-18,491.57,491.57,482.6,487.0,1545659
2017-01-19,486.63,498.33,483.37,493.07,1853796
2017-01-20,490.23,496.6,486.0,489.17,1427685
2017-01-23,487.27,489.83,478.0,484.03,1101389
2017-01-24,487.2,489.9,480.67,486.37,1468981
2017-01-25,486.83,503.0,482.93,493.47,3886150
2017-01-27,493.67,501.1,484.17,485.63,2002366
2017-01-30,485.87,494.13,485.87,492.03,1123250
2017-01-31,494.37,494.37,481.57,483.17,861064
2017-02-01,483.77,496.6,476.13,494.2,2270029
2017-02-02,492.87,501.1,489.33,493.4,1576538
2017-02-03,493.97,496.6,488.4,492.13,1338656
2017-02-06,493.33,493.53,478.13,484.23,1726012
2017-02-07,486.0,492.67,481.37,486.03,1604701
2017-02-08,486.0,487.83,482.03,485.13,803715
2017-02-09,486.0,494.1,483.43,492.3,2152286
2017-02-10,493.33,493.73,482.27,484.63,1301800
2017-02-13,486.67,488.5,480.87,486.73,511470
2017-02-14,486.6,486.67,473.47,477.23,801530
2017-02-15,478.93,480.4,466.83,472.73,928990
2017-02-16,469.73,472.63,461.47,466.6,2170027
2017-02-17,466.53,475.77,463.33,473.53,851471
2017-02-20,473.67,480.77,473.2,476.5,725029
2017-02-21,475.9,476.67,470.77,474.23,638541
2017-02-22,474.2,477.03,469.33,472.6,1524113
2017-02-23,474.63,481.83,470.03,478.73,1770114
2017-02-27,479.67,480.03,472.0,477.03,1407519
2017-02-28,476.67,484.33,475.97,478.87,922229
2017-03-01,477.87,483.0,475.33,478.23,700967
2017-03-02,481.27,483.33,458.9,467.7,1218854
2017-03-03,464.2,467.03,456.17,460.4,1597291
2017-03-06,461.07,462.5,453.6,456.1,1145144
2017-03-07,456.67,470.0,456.63,468.6,1841179
2017-03-08,471.6,476.23,468.83,471.87,1829216
2017-03-09,472.9,480.37,471.9,475.63,1126295
2017-03-10,472.07,477.83,467.5,469.7,732956
2017-03-14,477.33,479.0,465.67,468.07,2052711
2017-03-15,464.83,475.33,462.2,473.87,1047007
2017-03-16,476.67,479.9,470.67,472.47,2030009
2017-03-17,475.6,487.07,472.9,477.57,3459822
2017-03-20,478.0,480.93,473.4,477.9,577631
2017-03-21,478.0,485.93,477.9,484.97,2352808
2017-03-22,481.67,485.0,476.77,478.83,888548
2017-03-23,481.93,488.33,476.73,486.17,1058512
2017-03-24,487.13,490.4,479.73,481.4,984813
