Date,Open,High,Low,Close,Volume
2016-09-15,179.93,179.93,177.84,179.42,1814622
2016-09-16,180.49,180.86,179.25,179.78,2310804
2016-09-19,180.0,180.74,178.58,179.99,2118736
2016-09-20,180.94,180.94,179.29,180.39,1092998
2016-09-21,181.11,181.69,180.09,181.44,1625366
2016-09-22,181.88,181.95,179.85,180.66,1431194
2016-09-23,181.22,181.39,179.64,180.08,2306416
2016-09-26,180.15,180.38,178.54,179.74,2238608
2016-09-27,180.14,181.88,179.63,181.58,1852179
2016-09-28,181.65,181.76,180.14,181.39,795943
2016-09-29,181.39,181.49,176.25,177.08,4940828
2016-09-30,177.38,180.0,177.38,179.61,2103183
2016-10-03,180.0,180.04,177.86,179.61,1000629
2016-10-04,179.63,181.86,179.63,180.68,1330496
2016-10-05,180.68,181.19,178.74,179.84,1413444
2016-10-06,180.0,180.23,178.89,179.25,1386753
2016-10-07,179.25,179.89,178.35,178.86,1043681
2016-10-10,178.95,179.91,178.54,178.88,663376
2016-10-13,178.88,179.63,177.9,179.34,1374255
2016-10-14,179.18,180.45,177.86,178.13,1290787
2016-10-17,178.14,178.37,176.85,177.06,1555949
2016-10-18,177.41,181.54,177.38,181.04,1087752
2016-10-19,181.88,186.34,181.41,185.63,2320995
2016-10-20,186.71,187.94,184.58,185.78,1172322
2016-10-21,187.44,187.88,184.99,187.2,1990718
2016-10-24,183.75,183.75,179.1,181.49,3483647
2016-10-25,181.5,181.73,179.7,180.53,3487360
2016-10-26,180.29,180.29,176.46,176.84,1374261
2016-10-27,176.74,177.62,172.5,173.14,1883031
2016-10-28,173.14,174.9,170.29,173.29,2310047
2016-10-30,174.39,174.75,173.7,174.15,111006
2016-11-01,174.39,174.92,172.5,172.79,710011
2016-11-02,171.64,172.82,169.65,171.71,1410681
2016-11-03,171.75,172.49,167.27,167.85,1510121
2016-11-04,167.91,170.16,166.58,169.69,1227647
2016-11-07,170.63,170.79,168.17,168.75,1337733
2016-11-08,169.88,170.96,167.42,169.41,1296795
2016-11-09,159.38,168.92,153.04,167.59,2167264
2016-11-10,169.19,169.28,165.04,166.86,1559321
2016-11-11,165.71,166.56,162.77,165.89,1966056
2016-11-15,165.56,169.28,164.84,167.99,7069827
2016-11-16,168.38,170.44,165.79,166.99,1655458
2016-11-17,166.16,166.86,162.68,164.4,2076829
2016-11-18,164.99,165.75,162.23,163.94,1080583
2016-11-21,164.06,166.41,163.95,165.68,1670546
2016-11-22,165.75,169.88,164.66,168.9,1104664
2016-11-23,168.9,169.44,165.79,168.34,1266901
2016-11-24,168.17,170.59,167.48,169.04,1382663
2016-11-25,169.88,175.13,169.13,174.29,1279236
2016-11-28,175.5,175.5,170.85,172.73,1150410
2016-11-29,173.03,174.94,172.69,174.44,625064
2016-11-30,174.38,176.61,173.25,174.47,2172696
2016-12-01,176.14,176.61,174.09,175.61,619149
2016-12-02,176.44,176.63,171.94,172.65,757738
2016-12-05,172.5,172.5,169.89,171.24,595522
2016-12-06,171.0,173.57,170.96,171.68,629585
2016-12-07,171.9,172.41,169.5,170.01,589671
2016-12-08,170.63,172.29,170.29,171.98,1049331
2016-12-09,171.79,172.95,171.19,171.79,1018176
2016-12-12,170.63,170.96,169.31,170.09,718375
2016-12-13,171.19,174.02,170.64,173.91,1175447
2016-12-14,174.06,175.64,173.72,174.86,1032733
2016-12-15,172.73,176.96,172.73,174.79,1033371
2016-12-16,174.86,176.31,172.49,173.81,1653535
2016-12-19,173.54,174.94,173.42,173.84,777104
2016-12-20,175.09,176.21,173.12,174.99,812684
2016-12-21,175.69,176.44,172.95,173.42,1028742
2016-12-22,173.48,174.83,172.24,173.14,808616
2016-12-23,174.24,174.38,170.78,172.04,672211
2016-12-26,171.9,172.69,169.99,171.04,621902
2016-12-27,170.63,174.75,170.29,174.45,553523
2016-12-28,174.75,178.29,174.39,176.01,1191369
2016-12-29,175.88,178.88,174.02,177.14,2045230
2016-12-30,177.62,178.69,176.64,177.92,521181
2017-01-02,178.14,179.4,176.44,176.84,461428
2017-01-03,177.38,177.79,174.64,175.13,691301
2017-01-04,175.13,179.1,174.79,178.35,1134495
2017-01-05,178.91,182.21,178.91,180.15,978187
2017-01-06,179.44,180.04,175.88,176.24,1571573
2017-01-09,175.88,177.92,173.18,177.0,735422
2017-01-10,177.23,179.57,176.72,178.69,661572
2017-01-11,179.21,180.56,178.13,178.58,845068
2017-01-12,178.5,181.59,177.84,181.2,701527
2017-01-13,181.91,182.42,180.14,181.74,810523
2017-01-16,181.09,182.89,179.93,181.79,605125
2017-01-17,182.01,182.89,180.19,180.9,552927
2017-01-18,180.9,182.63,180.0,181.11,536929
2017-01-19,181.28,181.67,178.22,179.63,897240
2017-01-20,178.71,179.93,178.13,179.21,764479
2017-01-23,177.21,181.61,176.91,179.91,1145339
2017-01-24,180.99,181.13,178.5,180.56,735219
2017-01-25,180.75,181.5,176.7,177.64,2044971
2017-01-27,176.06,177.64,174.11,174.59,1926030
2017-01-30,174.0,175.5,171.56,174.66,1847613
2017-01-31,174.68,174.68,167.01,171.75,2742827
2017-02-01,172.88,172.88,168.75,171.0,1640767
2017-02-02,171.0,171.74,167.29,170.87,1532200
2017-02-03,171.0,172.35,170.29,171.66,877960
2017-02-06,171.99,173.55,170.44,172.91,1237410
2017-02-07,173.25,173.25,170.84,171.96,836207
2017-02-08,171.89,174.44,171.41,172.69,1313945
2017-02-09,171.86,175.07,171.51,174.75,988901
2017-02-10,175.26,177.08,174.15,175.97,767522
2017-02-13,175.5,178.5,175.22,177.92,848151
2017-02-14,178.94,179.14,177.08,178.76,866074
2017-02-15,178.71,179.74,175.73,178.01,1057592
2017-02-16,177.38,180.71,177.38,180.3,1062565
2017-02-17,180.75,181.37,177.77,178.26,789505
2017-02-20,178.13,179.03,177.39,178.37,572727
2017-02-21,178.13,180.29,177.81,178.43,1280515
2017-02-22,178.16,179.09,176.33,177.94,1042271
2017-02-23,177.94,183.47,176.84,182.29,1630100
2017-02-27,180.0,184.73,179.87,183.66,1411538
2017-02-28,183.75,184.58,182.64,183.3,1012714
2017-03-01,183.0,185.69,182.18,183.21,1017432
2017-03-02,185.25,185.79,183.04,183.83,1016827
2017-03-03,184.05,185.87,182.7,185.19,740118
2017-03-06,184.24,184.74,183.23,184.46,589369
2017-03-07,185.06,187.35,184.46,185.69,1650203
2017-03-08,185.49,186.08,183.49,185.66,574626
2017-03-09,184.88,184.88,181.26,181.69,704895
2017-03-10,181.91,183.36,181.35,182.64,546451
2017-03-14,183.75,189.23,183.53,188.01,1228734
2017-03-15,189.64,189.71,184.65,185.55,1801427
2017-03-16,186.49,188.59,185.63,187.71,1659167
2017-03-17,189.0,190.13,187.11,189.09,1664216
2017-03-20,189.0,189.09,185.7,186.56,703478
2017-03-21,184.91,188.25,184.91,186.99,1115886
2017-03-22,185.06,188.78,184.5,187.71,1991266
2017-03-23,188.63,192.0,187.84,191.25,2798039
2017-03-24,191.04,192.75,191.04,192.47,1511636
2017-03-27,190.64,192.17,188.55,189.0,981134
2017-03-28,189.38,191.63,188.51,190.34,623110
2017-03-29,190.67,192.71,188.33,192.09,1008883
2017-03-30,191.54,194.51,189.9,193.49,2679436
2017-03-31,192.08,194.12,191.18,193.39,1511559
2017-04-03,193.67,193.69,189.62,190.16,780054
2017-04-05,189.75,192.0,188.29,191.49,1219278
2017-04-06,190.16,193.33,189.92,193.01,1496305
2017-04-07,192.53,192.56,190.84,191.96,2286934
2017-04-10,193.11,194.18,188.44,189.15,2587277
2017-04-11,188.93,191.78,187.58,191.31,1181999
2017-04-12,191.14,191.19,187.24,187.79,1360936
2017-04-13,187.79,188.99,184.61,185.78,1814019
2017-04-17,185.91,185.91,183.79,184.61,1462174
2017-04-18,184.13,186.66,183.98,185.25,1178496
