Symbol,Date,Open,High,Low,Close,Close_Chg,ATR,Vol10_Sig,Range_ATR,Fib_Status,EMA20_Sig,EMA20_Cnt,High_Low,Support,Break_Sup_Res,Brakeout_10,Resistance,Brakeout_20,Bull_Signal,Bear_Signal
HDFCLIFE,12/10/2020,656.1,661.0,645.65,659.45,1.05,20.97,Normal Volume,0.7,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
HDFCLIFE,12/11/2020,663.9,668.35,655.25,664.5,0.77,20.41,Normal Volume,0.6,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
HDFCLIFE,12/14/2020,667.45,668.0,653.25,655.75,-1.32,20.01,Normal Volume,0.7,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
HDFCLIFE,12/15/2020,659.9,663.95,644.75,651.45,-0.66,19.95,Normal Volume,1.0,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
HDFCLIFE,12/16/2020,655.4,655.75,647.25,648.7,-0.42,19.13,Normal Volume,0.4,,Close_LT_20EMA,0.0,LH_HL,,,,,,0.5,1.0
HDFCLIFE,12/17/2020,651.0,661.2,650.25,654.55,0.9,18.66,Above Avg Volume,0.6,,Close_LT_20EMA,0.0,HH_HL,Price_Abv_Supp,,,,,2.0,1.0
HDFCLIFE,12/18/2020,656.3,656.3,640.0,654.1,-0.07,18.49,Normal Volume,0.9,,Close_LT_20EMA,0.0,LH_LL,Price_Crs_Abv_Supp,,,,,1.0,2.0
HDFCLIFE,12/21/2020,646.0,653.15,617.4,629.2,-3.81,19.79,Normal Volume,1.8,,Close_LT_20EMA,0.0,LH_LL,,Cur_Sup_Broken_Down,Breakout_10_Down,Price_Crs_Blw_Res,,0.0,5.0
HDFCLIFE,12/22/2020,630.0,643.25,620.6,641.25,1.92,19.99,Normal Volume,1.1,,Close_LT_20EMA,0.0,LH_HL,,,,,,0.5,1.0
HDFCLIFE,12/23/2020,641.25,649.9,633.75,648.6,1.15,19.72,Normal Volume,0.8,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
HDFCLIFE,12/24/2020,651.7,663.6,649.0,657.25,1.33,19.38,Above Avg Volume,0.8,,Cross_Abv_20EMA,1.0,HH_HL,Price_Crs_Abv_Prev_Sup,Cur_Res_Broken_Up,,,,3.5,0.0
