Symbol,Date,Open,High,Low,Close,Close_Chg,ATR,Vol10_Sig,Range_ATR,Fib_Status,EMA20_Sig,EMA20_Cnt,High_Low,Support,Break_Sup_Res,Brakeout_10,Resistance,Brakeout_20,Bull_Signal,Bear_Signal
HDFCLIFE,02/19/2021,715.3,723.45,703.1,710.65,-0.39,18.71,Normal Volume,1.1,Cls_Crs_Abv_F382,Close_GT_20EMA,3.0,HH_HL,,,,,,3.0,0.0
DRREDDY,02/19/2021,4602.0,4728.0,4530.0,4681.45,1.4,134.77,Above Avg Volume,1.5,,Close_LT_20EMA,0.0,HH_LL,,,,,,1.0,1.0
ITC,02/19/2021,218.85,218.9,214.0,215.95,-1.33,6.38,Normal Volume,0.8,,Close_LT_20EMA,0.0,LH_LL,,Cur_Sup_Broken_Down,,Price_Crs_Blw_Res,,0.0,4.0
HINDUNILVR,02/19/2021,2152.9,2194.0,2150.0,2181.1,1.6,47.37,Above Avg Volume,0.9,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
TCS,02/19/2021,3058.0,3087.15,3016.15,3071.85,0.47,72.64,Above Avg Volume,1.0,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
ZEEL,02/19/2021,211.75,213.7,205.75,208.55,-1.51,10.42,Normal Volume,0.8,,Close_LT_20EMA,0.0,LH_LL,,Prev_Sup_Broken_Down,,,,0.0,3.0
JSWSTEEL,02/19/2021,408.1,408.4,390.95,395.65,-2.94,13.75,Normal Volume,1.3,,Cross_Blw_20EMA,0.0,LH_LL,,Cur_Sup_Broken_Down,,,,0.0,3.0
ASIANPAINT,02/19/2021,2470.9,2470.9,2400.0,2416.45,-2.2,74.85,Normal Volume,0.9,,Close_LT_20EMA,0.0,LH_HL,Price_Crs_Abv_Supp,,,Price_Crs_Blw_Prev_Res,,1.5,1.5
HDFC,02/19/2021,2725.0,2765.0,2714.15,2741.3,-0.14,77.52,Normal Volume,0.7,,Close_GT_20EMA,15.0,LH_LL,Price_Crs_Abv_Supp,,,,,2.0,1.0
RELIANCE,02/19/2021,2057.0,2104.95,2053.3,2080.3,0.61,53.36,Normal Volume,1.0,,Close_GT_20EMA,10.0,LH_LL,,,,,,1.0,1.0
