Date,Stock Splits,Stock
6/9/2011,2,MANAPPURAM
12/20/2010,5,BALKRISIND
12/21/2017,2,BALKRISIND
1/21/2008,5,JINDALSTEL
9/14/2009,6,JINDALSTEL
9/10/2007,2,GLENMARK
6/21/2018,2,JUBLFOOD
9/26/2011,10,TATAPOWER
9/28/2007,5,GMRINFRA
10/1/2009,2,GMRINFRA
9/8/2010,2,TVSMOTOR
6/14/2019,5,CHOLAFIN
10/17/2013,5,FEDERALBNK
7/8/2015,2,FEDERALBNK
3/12/2007,5,MFSL
5/13/2015,5,SAIL
7/23/2007,2,SUNTV
7/23/2007,2,SUNTV
4/9/2010,2,CASTROLIND
9/4/2012,2,CASTROLIND
12/21/2017,2,CASTROLIND
3/15/2011,2,NATIONALUM
9/28/2016,2,RECLTD
9/2/2010,2,APOLLOHOSP
9/14/2015,3,BEL
3/16/2017,10,BEL
9/28/2017,1.1,BEL
8/2/2011,2,ASHOKLEY
9/19/2007,5,AMARAJABAT
10/14/2008,1.5,AMARAJABAT
9/25/2012,2,AMARAJABAT
6/3/2014,2,MINDTREE
3/9/2016,2,MINDTREE
10/1/2008,2,RAMCOCEM
12/30/2010,5,LICHSGFIN
2/15/2013,5,M&MFIN
10/7/2015,2,BATAINDIA
3/29/2012,2.5,OIL
1/12/2017,1.333333333,OIL
3/27/2018,1.5,OIL
5/31/2007,2,BHEL
10/3/2011,5,BHEL
9/28/2017,1.5,BHEL
9/28/2017,2,BHARATFORG
11/21/2013,2,GODREJPROP
8/17/2007,10,APOLLOTYRE
2/24/2011,2,HEXAWARE
9/20/2011,1.4,CUMMINSIND
