Date,Stock Splits,Stock
8/3/2010,2,ITC
7/1/2016,1.5,ITC
6/16/2009,2,TCS
5/31/2018,2,TCS
11/11/2010,2,ZEEL
1/4/2017,10,JSWSTEEL
7/30/2013,10,ASIANPAINT
8/18/2010,5,HDFC
11/26/2009,2,RELIANCE
9/7/2017,2,RELIANCE
7/28/2014,5,AXISBANK
6/15/2010,1.666666667,WIPRO
6/13/2017,2,WIPRO
3/6/2019,1.333333333,WIPRO
3/15/2007,2,HCLTECH
3/19/2015,2,HCLTECH
12/5/2019,2,HCLTECH
9/9/2008,1.032,TATAMOTORS
9/12/2011,5,TATAMOTORS
4/6/2015,1.01,TATAMOTORS
11/20/2014,10,SBIN
12/2/2014,2,INFY
6/15/2015,2,INFY
9/4/2018,2,INFY
9/8/2010,2,BAJAJ-AUTO
6/23/2011,10,TITAN
6/23/2011,2,TITAN
12/4/2014,5,ICICIBANK
6/20/2017,1.1,ICICIBANK
9/8/2010,5,BRITANNIA
11/29/2018,2,BRITANNIA
8/24/2020,10,EICHERMOT
11/25/2010,5,SUNPHARMA
7/29/2013,2,SUNPHARMA
10/29/2009,2,IOC
10/18/2016,2,IOC
3/15/2018,2,IOC
3/19/2015,2,TECHM
3/19/2015,2,TECHM
9/23/2010,5,ADANIPORTS
9/13/2010,2,KOTAKBANK
7/8/2015,2,KOTAKBANK
7/13/2012,2,BPCL
7/13/2016,2,BPCL
7/13/2017,1.5,BPCL
7/14/2011,5,HDFCBANK
9/19/2019,2,HDFCBANK
10/1/2008,2,LT
7/11/2013,1.5,LT
7/13/2017,1.5,LT
10/6/2016,5,GRASIM
7/24/2009,2,BHARTIARTL
2/8/2011,2,ONGC
2/8/2011,2,ONGC
12/15/2016,1.5,ONGC
3/19/2019,1.2,NTPC
10/6/2008,1.5,GAIL
3/9/2017,1.333333333,GAIL
3/27/2018,1.333333333,GAIL
7/9/2019,2,GAIL
1/23/2013,1.029,BAJFINANCE
9/8/2016,2,BAJFINANCE
9/8/2016,5,BAJFINANCE
10/29/2008,2,UPL
7/2/2019,1.5,UPL
3/29/2010,2,M&M
12/21/2017,2,M&M
06/30/2010,10,TATACONSUM
